,Energy (kcal/mol)
struct_0,-53.082283699565
struct_1,-53.073171212335
struct_2,-53.082236820319
struct_3,-53.075997568261
struct_4,-53.083731699747
struct_5,-53.080502887584
struct_6,-53.091389156315
struct_7,-53.083175075086
struct_8,-53.105828376266
struct_9,-53.096416340451
struct_10,-53.112232641928
struct_11,-53.109195248337
struct_12,-53.090797067833
struct_13,-53.101518333741
struct_14,-53.107311480672
struct_15,-53.116719064586
struct_16,-53.100973440302
struct_17,-53.107265237351
struct_18,-53.11780652259
struct_19,-53.112658851174
struct_20,-53.115516616899
struct_21,-53.107637655793
struct_22,-53.110281581963
struct_23,-53.122066675766
struct_24,-53.111062460703
struct_25,-53.115824288482
struct_26,-53.108638015306
struct_27,-53.114450537592
struct_28,-53.106262436765
struct_29,-53.113961695414
struct_30,-53.11808627933
struct_31,-53.127204653919
struct_32,-53.1179143611
struct_33,-53.120470007324
struct_34,-53.130099782391
struct_35,-53.12296627306
struct_36,-53.115546813708
struct_37,-53.128748722181
struct_38,-53.124899233584
struct_39,-53.119095064538
struct_40,-53.11699127888
struct_41,-53.113666692907
struct_42,-53.120287259657
struct_43,-53.119415408919
struct_44,-53.120708557188
struct_45,-53.117191548161
struct_46,-53.119910593282
struct_47,-53.131241304768
struct_48,-53.119136310287
struct_49,-53.127330265574
struct_50,-53.128211124597
struct_51,-53.122129970662
struct_52,-53.12799382282
struct_53,-53.126118641944
struct_54,-53.120850600074
struct_55,-53.120113571857
struct_56,-53.121986841599
struct_57,-53.117807114217
struct_58,-53.122357509116
struct_59,-53.134277682256
struct_60,-53.126703429152
struct_61,-53.127436483423
struct_62,-53.127260478443
struct_63,-53.12997160974
struct_64,-53.121468595203
struct_65,-53.123933151663
struct_66,-53.13059288737
struct_67,-53.127072835768
struct_68,-53.121113981759
struct_69,-53.127940932726
struct_70,-53.124385693671
struct_71,-53.124266959032
struct_72,-53.12250123553
struct_73,-53.124449327557
struct_74,-53.114962888826
struct_75,-53.137382176484
struct_76,-53.123294999768
struct_77,-53.130984295074
struct_78,-53.123585004058
struct_79,-53.127002508515
struct_80,-53.126757014325
struct_81,-53.126211598145
struct_82,-53.123841774388
struct_83,-53.126776285182
struct_84,-53.126056474881
struct_85,-53.124873068404
struct_86,-53.131559694449
struct_87,-53.125905727322
struct_88,-53.132520788737
struct_89,-53.135211557275
struct_90,-53.130581081307
struct_91,-53.132245303521
struct_92,-53.123263918535
struct_93,-53.125234416226
struct_94,-53.128222103791
struct_95,-53.122961731601
struct_96,-53.128312194099
struct_97,-53.130084161828
struct_98,-53.130922705871
struct_99,-53.124693458033
struct_100,-53.125603317891
struct_101,-53.130656770309
struct_102,-53.126287152012
struct_103,-53.129024148009
struct_104,-53.126527940272
struct_105,-53.125013342361
struct_106,-53.126665293084
struct_107,-53.131792293304
struct_108,-53.12389169837
struct_109,-53.127430793065
struct_110,-53.132109839278
struct_111,-53.130045302464
struct_112,-53.124699642255
struct_113,-53.128724856252
struct_114,-53.130550338864
struct_115,-53.116664503099
struct_116,-53.123391353851
struct_117,-53.124012237937
struct_118,-53.135479683715
struct_119,-53.127600384126
struct_120,-53.131925026911
struct_121,-53.128895138649
struct_122,-53.127067956145
struct_123,-53.131609551552
struct_124,-53.12628789921
struct_125,-53.12837654518
struct_126,-53.136292784678
struct_127,-53.134516203135
struct_128,-53.122973001457
struct_129,-53.135336756872
struct_130,-53.126976247125
struct_131,-53.12364656571
struct_132,-53.128826963328
struct_133,-53.132582182133
struct_134,-53.132375773292
struct_135,-53.127867077628
struct_136,-53.130137868329
struct_137,-53.129020505919
struct_138,-53.130558094102
struct_139,-53.127526204484
struct_140,-53.129485223471
struct_141,-53.126890228942
struct_142,-53.124883549243
struct_143,-53.130248340622
struct_144,-53.123892031596
struct_145,-53.133831872474
struct_146,-53.121117569425
struct_147,-53.133136830693
struct_148,-53.130012487768
struct_149,-53.130931856554
struct_150,-53.134133482692
struct_151,-53.131163609346
struct_152,-53.124420870338
struct_153,-53.121586459996
struct_154,-53.128918796285
struct_155,-53.12258975929
struct_156,-53.129484358649
struct_157,-53.129574850561
struct_158,-53.12477956751
struct_159,-53.12955282416
struct_160,-53.134039306111
struct_161,-53.128139723694
struct_162,-53.127052188679
struct_163,-53.129180051104
struct_164,-53.122914864184
struct_165,-53.130204409429
struct_166,-53.129224748346
struct_167,-53.127285462661
struct_168,-53.13013189558
struct_169,-53.124448293867
struct_170,-53.124745579997
struct_171,-53.13162934873
struct_172,-53.131846768129
struct_173,-53.132549371455
struct_174,-53.138630054368
struct_175,-53.125795259709
struct_176,-53.125229121547
struct_177,-53.124843683773
struct_178,-53.122008322678
struct_179,-53.12839159453
struct_180,-53.12588317895
struct_181,-53.126589723324
struct_182,-53.127420587274
struct_183,-53.125521879835
struct_184,-53.129449654424
struct_185,-53.131069954994
struct_186,-53.123205699373
struct_187,-53.124022655756
struct_188,-53.121841731733
struct_189,-53.133531271836
struct_190,-53.127200664966
struct_191,-53.124776654384
struct_192,-53.132508033588
struct_193,-53.129936807568
struct_194,-53.12605963729
struct_195,-53.129996483755
struct_196,-53.133877325261
struct_197,-53.124749927478
struct_198,-53.130786175345
struct_199,-53.134373739501
struct_200,-53.124334008099
struct_201,-53.127653912462
struct_202,-53.130510191671
struct_203,-53.124564751666
struct_204,-53.132779509769
struct_205,-53.127377583052
struct_206,-53.131073668022
struct_207,-53.12175980358
struct_208,-53.126348647694
struct_209,-53.127117840393
struct_210,-53.125778239181
struct_211,-53.120946322795
struct_212,-53.128656630067
struct_213,-53.119682874563
struct_214,-53.124973225595
struct_215,-53.126195372826
struct_216,-53.125935172696
struct_217,-53.129187890128
struct_218,-53.129088119957
struct_219,-53.122012771126
struct_220,-53.118476310692
struct_221,-53.123350400644
struct_222,-53.126519035575
struct_223,-53.139619219121
struct_224,-53.122637668697
struct_225,-53.125049828843
struct_226,-53.13149884355
struct_227,-53.128854604746
struct_228,-53.131105949229
