,Energy (kcal/mol)
struct_0,-56.202210420486
struct_1,-56.170411989053
struct_2,-56.173763870381
struct_3,-56.176195396367
struct_4,-56.172255518969
struct_5,-56.182739890542
struct_6,-56.179597444412
struct_7,-56.175212986522
struct_8,-56.173660345068
struct_9,-56.168291335422
struct_10,-56.174949569814
struct_11,-56.182472258496
struct_12,-56.172712718308
struct_13,-56.169816519541
struct_14,-56.174174525442
struct_15,-56.181555594521
struct_16,-56.172220773897
struct_17,-56.171945460761
struct_18,-56.174604958489
struct_19,-56.171532489131
struct_20,-56.174751855963
struct_21,-56.184915374625
struct_22,-56.175284304223
struct_23,-56.173252881331
struct_24,-56.170296852472
struct_25,-56.1803686778
struct_26,-56.180667356729
struct_27,-56.170760150128
struct_28,-56.173713688782
struct_29,-56.167765825549
struct_30,-56.167715088043
struct_31,-56.171511162116
struct_32,-56.179289721764
struct_33,-56.182132147138
struct_34,-56.171660804662
struct_35,-56.17605759972
struct_36,-56.173305690642
struct_37,-56.175686420732
struct_38,-56.175230338656
struct_39,-56.176792648951
struct_40,-56.175347601439
struct_41,-56.178983778583
struct_42,-56.167251050692
struct_43,-56.170989263054
struct_44,-56.172971970828
struct_45,-56.170216302071
struct_46,-56.178198112167
struct_47,-56.178365731643
struct_48,-56.173168349672
struct_49,-56.171105921208
struct_50,-56.169514166609
struct_51,-56.177485633367
struct_52,-56.179657634726
struct_53,-56.175697220987
struct_54,-56.175020996924
struct_55,-56.173530036552
struct_56,-56.172269474465
struct_57,-56.17356778811
struct_58,-56.172189673107
struct_59,-56.173088758321
struct_60,-56.179195080264
struct_61,-56.167045144511
struct_62,-56.183073817738
struct_63,-56.165282362708
struct_64,-56.178456126332
struct_65,-56.17350415903
struct_66,-56.17643458074
struct_67,-56.172226725398
struct_68,-56.178321893846
struct_69,-56.172807286549
struct_70,-56.169020646299
struct_71,-56.165328138268
struct_72,-56.178259177162
struct_73,-56.173712998652
struct_74,-56.174892861237
struct_75,-56.171213859514
struct_76,-56.175357558835
struct_77,-56.172290828427
struct_78,-56.181705506216
struct_79,-56.177434905808
struct_80,-56.181385427548
struct_81,-56.169236475554
struct_82,-56.172235304242
struct_83,-56.17509585419
struct_84,-56.179383755028
struct_85,-56.175065609394
struct_86,-56.174338486711
struct_87,-56.179671341741
struct_88,-56.177145032292
struct_89,-56.17536807622
struct_90,-56.174790233227
struct_91,-56.17933439745
struct_92,-56.172892681496
struct_93,-56.173885768144
struct_94,-56.177664696836
struct_95,-56.184785383928
struct_96,-56.176613444995
struct_97,-56.175621881966
struct_98,-56.173589554669
struct_99,-56.181309758645
struct_100,-56.171630390841
struct_101,-56.177456468052
struct_102,-56.172131576244
struct_103,-56.181378809203
struct_104,-56.173679769151
struct_105,-56.185197528425
struct_106,-56.167441257424
struct_107,-56.175329424532
struct_108,-56.17329767294
struct_109,-56.177962847079
struct_110,-56.171772499393
