,Energy (kcal/mol)
struct_0,-54.527164421377
struct_1,-54.494969954673
struct_2,-54.499916163454
struct_3,-54.493359407294
struct_4,-54.507361516667
struct_5,-54.504160032744
struct_6,-54.493082999553
struct_7,-54.50821739379
struct_8,-54.508851727249
struct_9,-54.498975106857
struct_10,-54.508825593938
struct_11,-54.513090148403
struct_12,-54.513868811027
struct_13,-54.504814940871
struct_14,-54.507339408006
struct_15,-54.506782395296
struct_16,-54.501765018429
struct_17,-54.513414347772
struct_18,-54.505725244653
struct_19,-54.506139857465
struct_20,-54.507353487538
struct_21,-54.503182457632
struct_22,-54.512470939955
struct_23,-54.517824889025
struct_24,-54.511374836075
struct_25,-54.51154910719
struct_26,-54.516066001908
struct_27,-54.49821573334
struct_28,-54.507321181416
struct_29,-54.506127673832
struct_30,-54.522745177758
struct_31,-54.515745527211
struct_32,-54.512554336076
struct_33,-54.514881674205
struct_34,-54.51857898273
struct_35,-54.514943416975
struct_36,-54.521533343045
struct_37,-54.518063646797
struct_38,-54.513751216429
struct_39,-54.515105065775
struct_40,-54.522047386681
struct_41,-54.533093119371
struct_42,-54.518201267287
struct_43,-54.510155173991
struct_44,-54.521016401429
struct_45,-54.517264458339
struct_46,-54.524832227139
struct_47,-54.522433048454
struct_48,-54.527614655328
struct_49,-54.517171764604
struct_50,-54.51538154532
struct_51,-54.524302928509
struct_52,-54.524263063639
struct_53,-54.527539083316
struct_54,-54.523593372921
struct_55,-54.526394820846
struct_56,-54.522749077287
struct_57,-54.517130334344
struct_58,-54.527278372045
struct_59,-54.524150576973
struct_60,-54.523196641016
struct_61,-54.524825198097
struct_62,-54.525393579777
struct_63,-54.529189303855
struct_64,-54.521433431773
struct_65,-54.520904808448
struct_66,-54.525010779279
struct_67,-54.519348178596
struct_68,-54.523143318019
struct_69,-54.523617225408
struct_70,-54.518965640383
struct_71,-54.525066445122
struct_72,-54.519737487018
struct_73,-54.518684793893
struct_74,-54.529797530715
struct_75,-54.52330970834
struct_76,-54.52480329148
struct_77,-54.524096075009
struct_78,-54.530141823514
struct_79,-54.525941692639
struct_80,-54.524088560867
struct_81,-54.519438612855
struct_82,-54.528242240893
struct_83,-54.526985498786
struct_84,-54.524918487418
struct_85,-54.519152609796
struct_86,-54.525126472323
struct_87,-54.525685630459
struct_88,-54.519759510933
struct_89,-54.525176982336
struct_90,-54.524117289604
struct_91,-54.519812219383
struct_92,-54.522548501844
struct_93,-54.533123794652
struct_94,-54.521156540484
struct_95,-54.520025234395
struct_96,-54.52389697091
struct_97,-54.529990488421
struct_98,-54.524560597987
struct_99,-54.528352900932
struct_100,-54.521445428603
struct_101,-54.516436305447
struct_102,-54.522528339768
struct_103,-54.530039367162
struct_104,-54.519719100071
struct_105,-54.52760909419
struct_106,-54.524222587534
struct_107,-54.523377446774
struct_108,-54.519442587282
struct_109,-54.525536325116
struct_110,-54.527299502805
struct_111,-54.520717589885
struct_112,-54.5263714354
struct_113,-54.521313389721
struct_114,-54.518243837615
struct_115,-54.526974352091
struct_116,-54.528868302664
struct_117,-54.528799376873
struct_118,-54.523839554527
struct_119,-54.522285859874
struct_120,-54.519319116575
struct_121,-54.524868771792
struct_122,-54.520838085807
struct_123,-54.527717365356
struct_124,-54.52336487911
struct_125,-54.531695550248
struct_126,-54.525457253888
struct_127,-54.524132846968
struct_128,-54.518104110826
struct_129,-54.529593025176
struct_130,-54.529366676915
struct_131,-54.522688036265
struct_132,-54.525633548726
struct_133,-54.525779672026
struct_134,-54.528230243238
struct_135,-54.527276615025
struct_136,-54.522631898155
struct_137,-54.52682731817
struct_138,-54.5205977686
struct_139,-54.526413079979
struct_140,-54.526818229221
struct_141,-54.527770334179
struct_142,-54.523447711833
struct_143,-54.522339757095
struct_144,-54.523442116389
struct_145,-54.521193496266
struct_146,-54.517833213691
struct_147,-54.526338026391
struct_148,-54.529345540089
struct_149,-54.52055739477
struct_150,-54.530662841046
struct_151,-54.532025802701
struct_152,-54.528335943665
struct_153,-54.520548656764
struct_154,-54.525801416254
struct_155,-54.530821796006
struct_156,-54.528861938428
struct_157,-54.526592933263
struct_158,-54.526606130465
struct_159,-54.525564745234
struct_160,-54.515014470059
struct_161,-54.52950343775
struct_162,-54.525533951468
struct_163,-54.525521834866
struct_164,-54.529534875858
struct_165,-54.517921596215
struct_166,-54.528657616996
struct_167,-54.521754174423
struct_168,-54.51844039304
struct_169,-54.521122444366
struct_170,-54.522090676957
struct_171,-54.527443186295
struct_172,-54.517215070705
struct_173,-54.527043061336
struct_174,-54.522958983703
struct_175,-54.517081875106
struct_176,-54.52052493817
struct_177,-54.516684508992
struct_178,-54.524031650795
struct_179,-54.518568253106
struct_180,-54.520625073217
struct_181,-54.526524987342
struct_182,-54.516654994256
struct_183,-54.518682380146
struct_184,-54.525203299131
struct_185,-54.522254438449
struct_186,-54.524864167771
struct_187,-54.520089144345
struct_188,-54.525161782345
struct_189,-54.521796710426
struct_190,-54.524009812977
struct_191,-54.521909604658
struct_192,-54.528755764048
struct_193,-54.528264488025
struct_194,-54.523737236299
struct_195,-54.534712743725
struct_196,-54.526144346131
struct_197,-54.51843330761
struct_198,-54.528279874541
struct_199,-54.530691491194
struct_200,-54.522272699857
struct_201,-54.519329690886
struct_202,-54.522962721802
struct_203,-54.531130231697
struct_204,-54.521631596718
struct_205,-54.52021038262
struct_206,-54.524872621634
struct_207,-54.518896501817
struct_208,-54.527092292767
struct_209,-54.523518831889
struct_210,-54.518215742934
struct_211,-54.524350778745
struct_212,-54.525098309405
struct_213,-54.524971605695
struct_214,-54.526668862701
struct_215,-54.522793682151
struct_216,-54.521591945959
struct_217,-54.523508925286
struct_218,-54.519377540728
struct_219,-54.517323992277
struct_220,-54.527022708634
struct_221,-54.524008818629
struct_222,-54.525339889532
struct_223,-54.518451590634
struct_224,-54.528602203402
struct_225,-54.522461577075
struct_226,-54.526149704583
struct_227,-54.518923680664
struct_228,-54.521769725005
struct_229,-54.517983130433
struct_230,-54.514897941854
struct_231,-54.515449093309
struct_232,-54.515290782399
struct_233,-54.518056002003
struct_234,-54.523776034069
struct_235,-54.516757081248
struct_236,-54.512856209166
struct_237,-54.519203715351
struct_238,-54.526400342144
struct_239,-54.522890601861
struct_240,-54.525901986435
struct_241,-54.524763716522
struct_242,-54.527070082273
struct_243,-54.518123238071
struct_244,-54.52131934598
struct_245,-54.51913403859
struct_246,-54.520926397054
struct_247,-54.527793025064
struct_248,-54.526378304633
struct_249,-54.526919327299
struct_250,-54.523158630036
struct_251,-54.527537033354
struct_252,-54.525536858011
struct_253,-54.520782887343
struct_254,-54.524311250639
struct_255,-54.533030989535
struct_256,-54.522395944928
struct_257,-54.523014875935
struct_258,-54.527949613572
struct_259,-54.520997743194
struct_260,-54.525939195962
struct_261,-54.526266707093
struct_262,-54.523308567057
struct_263,-54.529584178977
struct_264,-54.52515473614
struct_265,-54.513330785039
struct_266,-54.519572039376
struct_267,-54.516921592346
struct_268,-54.523319367251
struct_269,-54.525147617412
struct_270,-54.526075484814
struct_271,-54.524420530978
struct_272,-54.52586576628
struct_273,-54.522629575126
struct_274,-54.528541243269
struct_275,-54.527775592791
struct_276,-54.523318267303
struct_277,-54.528075010112
struct_278,-54.533856917446
struct_279,-54.521890796434
struct_280,-54.52689008389
struct_281,-54.525234035009
struct_282,-54.523000188285
struct_283,-54.523851786895
struct_284,-54.524603535053
struct_285,-54.527278220176
struct_286,-54.512524328275
struct_287,-54.52189006367
struct_288,-54.52103231538
struct_289,-54.516266636582
struct_290,-54.521369135599
struct_291,-54.519471417661
struct_292,-54.522348104609
struct_293,-54.518438585618
struct_294,-54.522029792763
struct_295,-54.525730259753
struct_296,-54.517033702967
struct_297,-54.523208966141
struct_298,-54.530011871258
struct_299,-54.514918986163
struct_300,-54.522457548803
struct_301,-54.522573157022
struct_302,-54.522750825558
struct_303,-54.529122032162
struct_304,-54.524646477211
struct_305,-54.525353290091
struct_306,-54.529456629286
struct_307,-54.527055007753
struct_308,-54.535729462367
struct_309,-54.529243002575
struct_310,-54.522924618854
struct_311,-54.526394167817
struct_312,-54.525806019742
struct_313,-54.520347175131
struct_314,-54.529857847484
struct_315,-54.512489729346
struct_316,-54.522511606919
struct_317,-54.514537586315
struct_318,-54.516295792575
struct_319,-54.525301333596
struct_320,-54.522087541286
struct_321,-54.525686587595
struct_322,-54.523607090708
struct_323,-54.523708146721
struct_324,-54.520259717003
struct_325,-54.520908560867
struct_326,-54.529907037838
struct_327,-54.52172595266
struct_328,-54.522541243453
struct_329,-54.522636151956
struct_330,-54.525064267138
struct_331,-54.519234025504
struct_332,-54.528869885874
struct_333,-54.524941190424
struct_334,-54.527682864486
struct_335,-54.530801477785
struct_336,-54.530137747927
struct_337,-54.526583306272
struct_338,-54.5279043947
struct_339,-54.524078865861
struct_340,-54.522867076748
struct_341,-54.530824952806
struct_342,-54.526512198301
struct_343,-54.529265463313
struct_344,-54.527571633586
struct_345,-54.528957496519
struct_346,-54.526340715356
struct_347,-54.525867603367
struct_348,-54.51914344676
struct_349,-54.524283163008
struct_350,-54.521813700914
struct_351,-54.528112840052
struct_352,-54.523912908342
struct_353,-54.513267306883
struct_354,-54.521117389078
struct_355,-54.519973181906
struct_356,-54.518602063584
struct_357,-54.516245586816
struct_358,-54.524312079716
struct_359,-54.522103338896
struct_360,-54.526422974719
struct_361,-54.529378117517
struct_362,-54.522779020555
struct_363,-54.523896011354
struct_364,-54.525676835227
struct_365,-54.520095797834
struct_366,-54.531256906041
struct_367,-54.525757460512
struct_368,-54.527429306408
struct_369,-54.526281141164
struct_370,-54.53099296023
struct_371,-54.525537729129
struct_372,-54.519902422456
struct_373,-54.535328654974
struct_374,-54.527607316163
struct_375,-54.517927449021
struct_376,-54.528972191842
struct_377,-54.525199360056
struct_378,-54.526287775738
struct_379,-54.519130929716
struct_380,-54.525030142306
struct_381,-54.527613950601
struct_382,-54.521292670522
struct_383,-54.517979284602
struct_384,-54.52519201693
struct_385,-54.531284082187
struct_386,-54.527062572694
struct_387,-54.523643337218
struct_388,-54.522778886572
struct_389,-54.523593632356
struct_390,-54.516847104033
struct_391,-54.523532632463
struct_392,-54.527581621688
struct_393,-54.521513254388
struct_394,-54.519887892295
struct_395,-54.52449372944
struct_396,-54.523953375351
struct_397,-54.52039266273
struct_398,-54.522022391509
struct_399,-54.529531586252
struct_400,-54.526376052316
struct_401,-54.528330560049
struct_402,-54.532431797704
struct_403,-54.522547646813
struct_404,-54.528746068247
struct_405,-54.529683578205
struct_406,-54.52578594025
struct_407,-54.523217173037
struct_408,-54.52122614773
struct_409,-54.523152182017
struct_410,-54.530084067879
struct_411,-54.528233837196
struct_412,-54.52871063899
struct_413,-54.520992718425
struct_414,-54.522202006141
struct_415,-54.516191675726
struct_416,-54.52695531778
struct_417,-54.524622572874
struct_418,-54.527317934905
struct_419,-54.517949296028
struct_420,-54.525412292588
struct_421,-54.521922828209
struct_422,-54.520845441268
struct_423,-54.520493853318
struct_424,-54.521664754705
struct_425,-54.530071369424
struct_426,-54.517154587697
struct_427,-54.518884348323
struct_428,-54.521635218715
struct_429,-54.520421112947
struct_430,-54.527471303308
struct_431,-54.525120394976
struct_432,-54.523017396205
struct_433,-54.519033485294
struct_434,-54.528113384799
struct_435,-54.526872320601
struct_436,-54.519792107494
struct_437,-54.528205634561
struct_438,-54.514780891658
struct_439,-54.533037595267
struct_440,-54.524925240597
struct_441,-54.528379083851
struct_442,-54.525254139608
struct_443,-54.516909363136
struct_444,-54.530996672864
struct_445,-54.525735577277
struct_446,-54.522670479097
struct_447,-54.531120873048
