,Energy (kcal/mol)
struct_0,-52.292455113431
struct_1,-52.263384312532
struct_2,-52.270309155842
struct_3,-52.264361617414
struct_4,-52.258377437753
struct_5,-52.268962420238
struct_6,-52.269555742624
struct_7,-52.262027593769
struct_8,-52.272037095974
struct_9,-52.257204184578
struct_10,-52.254276574714
struct_11,-52.259965581466
struct_12,-52.266167624381
struct_13,-52.273407169135
struct_14,-52.255006682967
struct_15,-52.260076330201
struct_16,-52.263786072517
struct_17,-52.268859128017
struct_18,-52.272969753458
struct_19,-52.258044834621
struct_20,-52.26852565781
struct_21,-52.260961972348
struct_22,-52.266897059562
struct_23,-52.258587719789
struct_24,-52.259443497266
struct_25,-52.265919654808
struct_26,-52.275458459016
struct_27,-52.26204601757
struct_28,-52.260042462305
struct_29,-52.26605815227
struct_30,-52.26542387225
struct_31,-52.259305771575
struct_32,-52.260033883103
struct_33,-52.258199776147
struct_34,-52.273529775445
struct_35,-52.259094034932
struct_36,-52.256944429107
struct_37,-52.267658989935
struct_38,-52.270681456682
struct_39,-52.267295204074
struct_40,-52.261801343601
struct_41,-52.264708921999
struct_42,-52.26606061607
struct_43,-52.267221700585
struct_44,-52.26637403549
struct_45,-52.268764608602
struct_46,-52.254291871374
struct_47,-52.273750974085
struct_48,-52.260809914706
struct_49,-52.261149275682
struct_50,-52.266078007566
struct_51,-52.268289279476
struct_52,-52.262734456828
struct_53,-52.260667938498
struct_54,-52.265671953
struct_55,-52.264820943942
struct_56,-52.2700848268
struct_57,-52.255761319667
struct_58,-52.267119747941
struct_59,-52.259687207256
struct_60,-52.261700742243
struct_61,-52.262634849278
struct_62,-52.262152160273
struct_63,-52.260023975054
struct_64,-52.267398268035
struct_65,-52.25828718159
struct_66,-52.2645717004
struct_67,-52.263365828869
struct_68,-52.268899104232
struct_69,-52.267166287327
struct_70,-52.265912875146
struct_71,-52.265734672644
struct_72,-52.262802646838
struct_73,-52.269432189889
struct_74,-52.26410339982
struct_75,-52.268375732604
struct_76,-52.271716199263
struct_77,-52.265998196915
struct_78,-52.264679016603
struct_79,-52.268083190635
struct_80,-52.265212468977
struct_81,-52.262645534648
struct_82,-52.265622060103
struct_83,-52.271627965859
struct_84,-52.264203742129
struct_85,-52.262057391355
struct_86,-52.266544627574
struct_87,-52.269797720399
struct_88,-52.263297858805
struct_89,-52.263787712679
struct_90,-52.265218301516
struct_91,-52.274215313794
struct_92,-52.27033916093
struct_93,-52.262821724966
struct_94,-52.270907005223
struct_95,-52.269279780516
struct_96,-52.267619353829
struct_97,-52.260348093752
struct_98,-52.263865800181
struct_99,-52.266905652414
struct_100,-52.269291348
struct_101,-52.257912543963
struct_102,-52.267309106915
struct_103,-52.26598055258
struct_104,-52.262123878916
struct_105,-52.266474498713
struct_106,-52.263172630279
struct_107,-52.268560055643
struct_108,-52.266341985075
struct_109,-52.272025555267
struct_110,-52.262122325834
struct_111,-52.262412584168
struct_112,-52.261110664271
struct_113,-52.265366674363
struct_114,-52.265176303138
struct_115,-52.269625627166
struct_116,-52.267833912532
struct_117,-52.266213776745
struct_118,-52.264823072598
struct_119,-52.274169042148
struct_120,-52.268398413595
struct_121,-52.259966308013
struct_122,-52.270268817253
struct_123,-52.266347073428
struct_124,-52.261694929257
struct_125,-52.269220666328
struct_126,-52.268656085353
struct_127,-52.265156261517
struct_128,-52.268023901273
struct_129,-52.270434969
struct_130,-52.270925656623
struct_131,-52.26284403366
struct_132,-52.272916511575
struct_133,-52.265054634085
struct_134,-52.2649539994
struct_135,-52.26612982937
struct_136,-52.267824449218
struct_137,-52.260823615815
struct_138,-52.264964773447
struct_139,-52.262568861456
struct_140,-52.265896981821
struct_141,-52.264815244761
struct_142,-52.268161925139
struct_143,-52.279865308826
struct_144,-52.262011732507
struct_145,-52.259904625335
struct_146,-52.274536906333
struct_147,-52.271155432612
struct_148,-52.266635479008
struct_149,-52.267483839686
struct_150,-52.262133782398
struct_151,-52.263140769151
struct_152,-52.26174092407
struct_153,-52.260703458674
struct_154,-52.264506916539
struct_155,-52.265451356861
struct_156,-52.270317442246
struct_157,-52.266661809515
struct_158,-52.269345905917
struct_159,-52.270018300994
struct_160,-52.263658892837
struct_161,-52.265702435196
struct_162,-52.266988092988
struct_163,-52.266683888917
struct_164,-52.268200571876
struct_165,-52.263333514889
struct_166,-52.265578579967
struct_167,-52.270095619238
struct_168,-52.265357014978
struct_169,-52.267497269011
struct_170,-52.259752257618
struct_171,-52.264708232967
struct_172,-52.263692037294
struct_173,-52.272793902427
struct_174,-52.265960448744
struct_175,-52.263115893955
struct_176,-52.262426298093
struct_177,-52.265952774241
struct_178,-52.262294617446
struct_179,-52.268694647703
struct_180,-52.262236485041
struct_181,-52.274834072275
struct_182,-52.261461121757
struct_183,-52.260872203439
struct_184,-52.259480313445
struct_185,-52.271313702067
struct_186,-52.271785213338
struct_187,-52.266332933301
struct_188,-52.267982003013
struct_189,-52.264928287684
struct_190,-52.264261514568
struct_191,-52.263340811496
struct_192,-52.264570658911
struct_193,-52.263589146054
struct_194,-52.268637422272
struct_195,-52.263472510401
struct_196,-52.267758518861
struct_197,-52.263203675376
struct_198,-52.271022356911
struct_199,-52.260366527741
struct_200,-52.265780882866
struct_201,-52.264152421822
struct_202,-52.267300034647
struct_203,-52.261637979632
struct_204,-52.265037804238
struct_205,-52.262369220103
struct_206,-52.270028187745
struct_207,-52.262972075657
struct_208,-52.268315103471
struct_209,-52.26597474278
struct_210,-52.264217568422
struct_211,-52.257074728511
struct_212,-52.270579308917
struct_213,-52.255918051299
struct_214,-52.259189363278
struct_215,-52.258415658539
struct_216,-52.264654531605
struct_217,-52.252687878102
struct_218,-52.261816740176
struct_219,-52.269316230648
struct_220,-52.263476246059
struct_221,-52.261885132105
struct_222,-52.272108090978
struct_223,-52.264611037562
struct_224,-52.260902846381
struct_225,-52.26936880374
struct_226,-52.264618275716
struct_227,-52.255193899076
struct_228,-52.270663840733
struct_229,-52.260735407268
struct_230,-52.26563936868
struct_231,-52.26706321431
struct_232,-52.269923849707
struct_233,-52.272375538044
struct_234,-52.26699649604
struct_235,-52.263571412996
struct_236,-52.26469436756
struct_237,-52.268593453664
struct_238,-52.269179471972
struct_239,-52.26570729874
struct_240,-52.262624650795
struct_241,-52.253121239254
struct_242,-52.263441061014
struct_243,-52.269638022338
struct_244,-52.27061621084
struct_245,-52.268305473097
struct_246,-52.267353978279
struct_247,-52.26183541575
struct_248,-52.26221574555
struct_249,-52.262647942158
struct_250,-52.267710717342
struct_251,-52.266974654329
struct_252,-52.273871725277
struct_253,-52.264810402739
