,Energy (kcal/mol)
struct_0,-49.338635865121
struct_1,-49.316054216994
struct_2,-49.307485024121
struct_3,-49.310265476458
struct_4,-49.319026315899
struct_5,-49.314408371798
struct_6,-49.31038388237
struct_7,-49.31757599253
struct_8,-49.317073486329
struct_9,-49.310644330847
struct_10,-49.31558424776
struct_11,-49.315467565955
struct_12,-49.315559342916
struct_13,-49.312158041447
struct_14,-49.312155672389
struct_15,-49.324040028128
struct_16,-49.320472841592
struct_17,-49.316519516175
struct_18,-49.3108404889
struct_19,-49.315775258894
struct_20,-49.321594822266
struct_21,-49.311823330631
struct_22,-49.315822925527
struct_23,-49.318955097806
struct_24,-49.319985330426
struct_25,-49.313734428926
struct_26,-49.314504926525
struct_27,-49.30943221841
struct_28,-49.306056607779
struct_29,-49.313837874169
struct_30,-49.313254360319
struct_31,-49.316944210674
struct_32,-49.317528079728
struct_33,-49.311933846552
struct_34,-49.315514290724
struct_35,-49.318221727452
struct_36,-49.312361249734
struct_37,-49.32199202092
struct_38,-49.314336463092
struct_39,-49.318288873308
struct_40,-49.317750294963
struct_41,-49.316893523831
struct_42,-49.310904374146
struct_43,-49.317351783429
struct_44,-49.311802045241
struct_45,-49.310769805932
struct_46,-49.318322643489
struct_47,-49.312638503874
struct_48,-49.304641595265
struct_49,-49.314548569568
struct_50,-49.314927564195
struct_51,-49.316169795346
struct_52,-49.311141880062
struct_53,-49.315575854995
struct_54,-49.318572787485
struct_55,-49.314786068925
struct_56,-49.3150885678
struct_57,-49.317117026916
struct_58,-49.315653729541
struct_59,-49.315967743289
struct_60,-49.317895400499
struct_61,-49.316332548581
struct_62,-49.31038885898
struct_63,-49.312113766319
struct_64,-49.317976860295
struct_65,-49.310547412826
struct_66,-49.319951286891
struct_67,-49.318346564081
struct_68,-49.311331594093
struct_69,-49.318752020363
struct_70,-49.316325898521
struct_71,-49.318947989676
struct_72,-49.308462679778
struct_73,-49.309088163577
struct_74,-49.315790046094
struct_75,-49.315258021025
struct_76,-49.311627409284
struct_77,-49.316198430637
struct_78,-49.321596034229
struct_79,-49.31035350519
struct_80,-49.311883225091
struct_81,-49.317943851915
struct_82,-49.311580068111
struct_83,-49.319726739171
struct_84,-49.316647489174
struct_85,-49.320164481186
struct_86,-49.320444849045
struct_87,-49.308431293769
struct_88,-49.313999902224
struct_89,-49.319434893632
struct_90,-49.309063049001
struct_91,-49.314153945598
struct_92,-49.315821265263
struct_93,-49.3070119337
struct_94,-49.315652216198
struct_95,-49.317183848443
struct_96,-49.307908570921
struct_97,-49.312679770087
struct_98,-49.318588298532
struct_99,-49.312596967046
struct_100,-49.315523900208
struct_101,-49.319128401284
struct_102,-49.30910922866
struct_103,-49.315864726449
struct_104,-49.313351327306
struct_105,-49.313355582129
struct_106,-49.319718547494
struct_107,-49.312348174002
struct_108,-49.311800188219
struct_109,-49.317419867588
struct_110,-49.315819554628
struct_111,-49.31765177044
struct_112,-49.313811504759
struct_113,-49.310315256105
struct_114,-49.307130384459
struct_115,-49.315169952587
struct_116,-49.314360560559
struct_117,-49.310454117526
struct_118,-49.314627770932
struct_119,-49.315295693857
struct_120,-49.316794549259
struct_121,-49.316379557908
struct_122,-49.312990490037
struct_123,-49.316416722707
struct_124,-49.321147647117
struct_125,-49.312451038331
struct_126,-49.320355209626
struct_127,-49.312070161245
struct_128,-49.317401210458
struct_129,-49.314253145056
struct_130,-49.312891437341
struct_131,-49.314780341508
struct_132,-49.313006022426
struct_133,-49.313514143796
struct_134,-49.317929072809
struct_135,-49.315205568725
struct_136,-49.316610264433
struct_137,-49.311613942677
struct_138,-49.318517024411
struct_139,-49.310031555848
struct_140,-49.316744349022
struct_141,-49.318018661125
struct_142,-49.317093774714
struct_143,-49.313221782689
struct_144,-49.320835670493
struct_145,-49.31107667657
struct_146,-49.318462828408
struct_147,-49.312407680533
struct_148,-49.31425829965
struct_149,-49.312271331763
struct_150,-49.313309465353
struct_151,-49.313439039444
