,Energy (kcal/mol)
struct_0,-49.101504717482
struct_1,-49.13736898106
struct_2,-49.170877667119
struct_3,-49.151319645098
struct_4,-49.160092792181
struct_5,-49.171528753641
struct_6,-49.17252741801
struct_7,-49.166297998776
struct_8,-49.155999823725
struct_9,-49.17536813191
struct_10,-49.18842615565
struct_11,-49.184727161129
struct_12,-49.188425775046
struct_13,-49.182528233502
struct_14,-49.182134889691
struct_15,-49.196470416337
struct_16,-49.181762358777
struct_17,-49.188166056832
struct_18,-49.195823299141
struct_19,-49.191090034141
struct_20,-49.195043018518
struct_21,-49.198482051765
struct_22,-49.217392543746
struct_23,-49.191842896571
struct_24,-49.195667929008
struct_25,-49.194763914443
struct_26,-49.197643121676
struct_27,-49.205559818082
struct_28,-49.200840720582
struct_29,-49.208901443039
struct_30,-49.207818741877
struct_31,-49.200694335374
struct_32,-49.201795228325
struct_33,-49.203133411171
struct_34,-49.217129519539
struct_35,-49.221027917436
struct_36,-49.206609070351
struct_37,-49.208710181635
struct_38,-49.212591313534
struct_39,-49.211072025709
struct_40,-49.212872291878
struct_41,-49.219324739355
struct_42,-49.21437428817
struct_43,-49.224225394786
struct_44,-49.225075097181
struct_45,-49.210446479861
struct_46,-49.221674044157
struct_47,-49.214508260615
struct_48,-49.217528452481
struct_49,-49.218185627967
struct_50,-49.220612841884
struct_51,-49.226630949664
struct_52,-49.220195982071
struct_53,-49.211843212143
struct_54,-49.222950939202
struct_55,-49.227223294027
struct_56,-49.22064270299
struct_57,-49.22363193526
struct_58,-49.222011357155
struct_59,-49.216006126823
struct_60,-49.218217862967
struct_61,-49.225880946477
struct_62,-49.220483735799
struct_63,-49.221364888215
struct_64,-49.224712016539
struct_65,-49.229283711965
struct_66,-49.224522629969
struct_67,-49.219175309026
struct_68,-49.222879587328
struct_69,-49.223314310111
struct_70,-49.224815745628
struct_71,-49.225820928541
struct_72,-49.223013452643
struct_73,-49.221609083508
struct_74,-49.226326034648
struct_75,-49.223911897415
struct_76,-49.223827380848
struct_77,-49.224224738258
struct_78,-49.226502428244
struct_79,-49.222371853769
struct_80,-49.225972380469
struct_81,-49.22752433527
struct_82,-49.224149523162
struct_83,-49.226077378744
struct_84,-49.228291591124
struct_85,-49.228547787931
struct_86,-49.229383020189
struct_87,-49.226944478805
struct_88,-49.225198290608
struct_89,-49.223606836627
struct_90,-49.22877198161
struct_91,-49.227569503762
struct_92,-49.226123635831
struct_93,-49.221455128637
struct_94,-49.224619902079
struct_95,-49.227471413316
struct_96,-49.226955905172
struct_97,-49.22690944629
struct_98,-49.230278757496
struct_99,-49.224640729575
struct_100,-49.224682752181
struct_101,-49.224768853184
struct_102,-49.224035707254
struct_103,-49.228884419722
struct_104,-49.235196778872
struct_105,-49.230122152178
struct_106,-49.225230032124
struct_107,-49.223979752891
struct_108,-49.22597514737
struct_109,-49.22639251215
struct_110,-49.230455080437
struct_111,-49.236151439513
struct_112,-49.229888137665
struct_113,-49.227040647713
struct_114,-49.224931009741
struct_115,-49.229676119641
struct_116,-49.230455654948
struct_117,-49.228874870084
struct_118,-49.231205175477
struct_119,-49.229898782484
struct_120,-49.225344777149
struct_121,-49.224886794582
struct_122,-49.226840867251
struct_123,-49.228168420567
struct_124,-49.232182910019
struct_125,-49.227157309304
struct_126,-49.22455131879
struct_127,-49.226592947893
struct_128,-49.22479703546
struct_129,-49.227570469881
struct_130,-49.227969852962
struct_131,-49.233213406729
struct_132,-49.227337157694
struct_133,-49.230614805563
struct_134,-49.230364404159
struct_135,-49.229293437374
struct_136,-49.225822585633
struct_137,-49.226908554011
struct_138,-49.232398621762
struct_139,-49.224937727705
struct_140,-49.231422015787
struct_141,-49.230003210314
struct_142,-49.229474191652
struct_143,-49.231157370507
struct_144,-49.228113962921
struct_145,-49.222600305314
struct_146,-49.227653198946
struct_147,-49.226828056378
struct_148,-49.227662055925
struct_149,-49.232154560263
struct_150,-49.231560154371
struct_151,-49.233546606287
struct_152,-49.230089430597
struct_153,-49.230647929938
struct_154,-49.230168311105
struct_155,-49.230318511899
struct_156,-49.227253746259
struct_157,-49.230357755243
struct_158,-49.227893280884
struct_159,-49.227018686033
struct_160,-49.227305820783
struct_161,-49.232251091412
struct_162,-49.22995931489
struct_163,-49.229911783327
struct_164,-49.234403147171
struct_165,-49.223662498881
struct_166,-49.233407934999
struct_167,-49.229257565718
struct_168,-49.228009489858
struct_169,-49.230132839906
struct_170,-49.227154867574
struct_171,-49.229640905086
struct_172,-49.22810043505
struct_173,-49.231845686986
struct_174,-49.231354039322
struct_175,-49.229025848202
struct_176,-49.226197057316
struct_177,-49.230306729234
struct_178,-49.226935513688
struct_179,-49.23060286242
struct_180,-49.228954646207
struct_181,-49.23196512413
struct_182,-49.227507066586
struct_183,-49.228636984101
struct_184,-49.223898250255
struct_185,-49.23094575173
struct_186,-49.226430784978
struct_187,-49.228845850043
struct_188,-49.231687148145
struct_189,-49.225665317268
struct_190,-49.230762891869
struct_191,-49.224518249193
struct_192,-49.225137141423
struct_193,-49.22992991312
struct_194,-49.231447329174
struct_195,-49.229185198682
struct_196,-49.230958030065
struct_197,-49.231939886596
struct_198,-49.224620399414
struct_199,-49.227603244313
struct_200,-49.230781862458
struct_201,-49.226365058517
struct_202,-49.232925692394
struct_203,-49.227718746686
struct_204,-49.22840065394
struct_205,-49.229854122059
struct_206,-49.226000866224
struct_207,-49.232234809645
struct_208,-49.227845683598
struct_209,-49.23368290961
struct_210,-49.231101264896
struct_211,-49.227014065272
struct_212,-49.230891503592
struct_213,-49.226149739042
struct_214,-49.230280181857
struct_215,-49.228572727752
struct_216,-49.230419286247
struct_217,-49.233172232135
struct_218,-49.226104671962
struct_219,-49.228067116158
struct_220,-49.226310641053
struct_221,-49.229569639672
struct_222,-49.227295877667
struct_223,-49.226622455755
struct_224,-49.226344462071
struct_225,-49.22721725394
struct_226,-49.233921294058
struct_227,-49.22712495173
struct_228,-49.227424072959
struct_229,-49.232058812813
struct_230,-49.223804256534
struct_231,-49.229178644599
struct_232,-49.22889110225
struct_233,-49.229073319852
struct_234,-49.232935534142
struct_235,-49.231776350792
struct_236,-49.229870664455
struct_237,-49.226918209489
struct_238,-49.228939259244
struct_239,-49.23052223803
struct_240,-49.232842903526
struct_241,-49.227919031276
struct_242,-49.230827824664
struct_243,-49.231577672381
struct_244,-49.230064632015
struct_245,-49.227573503617
struct_246,-49.228007930575
struct_247,-49.228028232951
struct_248,-49.231757741075
struct_249,-49.229968769544
struct_250,-49.226467750349
struct_251,-49.232305675108
struct_252,-49.226384292129
struct_253,-49.230076366198
struct_254,-49.227242117806
struct_255,-49.231443964118
struct_256,-49.227631514522
struct_257,-49.229588490217
struct_258,-49.230450958704
struct_259,-49.232299352265
struct_260,-49.22763830007
struct_261,-49.228975711072
struct_262,-49.230499635219
struct_263,-49.230262923692
struct_264,-49.229868520753
struct_265,-49.227002191083
struct_266,-49.233404174471
struct_267,-49.227222545466
struct_268,-49.229385317017
struct_269,-49.227424010551
struct_270,-49.224587755201
struct_271,-49.233641282972
struct_272,-49.230454978386
struct_273,-49.225596171645
struct_274,-49.229735044614
struct_275,-49.232850357872
struct_276,-49.227761331221
struct_277,-49.228688023392
struct_278,-49.2303995143
struct_279,-49.226228633786
struct_280,-49.233437924478
struct_281,-49.229357119414
struct_282,-49.22832077381
struct_283,-49.229564477725
struct_284,-49.224528565697
struct_285,-49.229873635601
struct_286,-49.233676501
struct_287,-49.226794625861
struct_288,-49.226774303371
struct_289,-49.231307487578
struct_290,-49.228928817634
struct_291,-49.228725510341
struct_292,-49.231019931186
struct_293,-49.226761729605
struct_294,-49.233911896776
struct_295,-49.23406790779
struct_296,-49.226614562884
struct_297,-49.229488987971
struct_298,-49.234870923432
struct_299,-49.228741102682
struct_300,-49.231042260266
struct_301,-49.228333423026
struct_302,-49.228484778688
struct_303,-49.225932729187
struct_304,-49.230467720678
struct_305,-49.229830978681
struct_306,-49.231693395842
struct_307,-49.230729000126
struct_308,-49.227869043957
struct_309,-49.228148267018
struct_310,-49.226987979672
struct_311,-49.234906866594
struct_312,-49.224136389951
struct_313,-49.232620588048
struct_314,-49.229375798565
struct_315,-49.226007485445
struct_316,-49.225460276585
struct_317,-49.229148266458
struct_318,-49.23178572204
struct_319,-49.231460876939
struct_320,-49.224696396305
struct_321,-49.226708910396
struct_322,-49.233402030583
struct_323,-49.227509058363
struct_324,-49.2301207853
struct_325,-49.231894999249
struct_326,-49.22938993466
struct_327,-49.227024450456
struct_328,-49.226319696277
struct_329,-49.22498982068
struct_330,-49.230883445504
struct_331,-49.22842072357
struct_332,-49.231134541991
struct_333,-49.226906194633
struct_334,-49.230139747965
struct_335,-49.227971270558
struct_336,-49.222771182065
struct_337,-49.235904443065
struct_338,-49.230457942185
struct_339,-49.230680672739
struct_340,-49.229878558874
struct_341,-49.229462170592
struct_342,-49.225355636563
struct_343,-49.22993147198
struct_344,-49.22809929261
struct_345,-49.230674525948
struct_346,-49.230243494926
struct_347,-49.226519595736
struct_348,-49.230864367786
struct_349,-49.231387959639
struct_350,-49.23112930392
struct_351,-49.229623716459
struct_352,-49.227031913905
struct_353,-49.227048602714
struct_354,-49.231271778955
struct_355,-49.227534135943
struct_356,-49.229146872772
struct_357,-49.229853967346
struct_358,-49.234700066337
struct_359,-49.224919397105
struct_360,-49.225276907416
struct_361,-49.231853873401
struct_362,-49.229560265622
struct_363,-49.230101008813
struct_364,-49.230193920075
struct_365,-49.233455715171
struct_366,-49.226450215008
struct_367,-49.228800238344
struct_368,-49.230422228514
struct_369,-49.234550653094
struct_370,-49.229162983956
struct_371,-49.231125958035
struct_372,-49.228302986173
struct_373,-49.227068215618
struct_374,-49.230374926845
struct_375,-49.227798770622
struct_376,-49.230964472875
struct_377,-49.232923516806
struct_378,-49.228465079913
struct_379,-49.226787141614
struct_380,-49.232322711636
struct_381,-49.224671044327
struct_382,-49.230941472391
struct_383,-49.228284662419
struct_384,-49.2274379067
struct_385,-49.228085625959
struct_386,-49.227410471289
struct_387,-49.228164084695
struct_388,-49.227721879023
struct_389,-49.2342338471
struct_390,-49.231652541686
struct_391,-49.231259563587
struct_392,-49.226950811676
struct_393,-49.233068757118
struct_394,-49.228582309653
struct_395,-49.22814726718
struct_396,-49.231203680238
struct_397,-49.231680000649
struct_398,-49.228810124244
struct_399,-49.228362054524
struct_400,-49.232123687577
struct_401,-49.228934730032
struct_402,-49.226879756498
struct_403,-49.227273635093
struct_404,-49.229333172698
struct_405,-49.224728819538
struct_406,-49.227706514987
struct_407,-49.226345138159
struct_408,-49.233161445279
struct_409,-49.227806383506
struct_410,-49.228706716488
struct_411,-49.22986492498
struct_412,-49.229483009186
struct_413,-49.230005760049
struct_414,-49.231056151512
struct_415,-49.233045453805
struct_416,-49.230821324933
struct_417,-49.231717864864
struct_418,-49.226198251731
struct_419,-49.22844269309
struct_420,-49.225646812699
struct_421,-49.232655013393
struct_422,-49.231293821938
struct_423,-49.22812798117
struct_424,-49.227849188332
struct_425,-49.22925937392
struct_426,-49.227906910399
struct_427,-49.227229851888
struct_428,-49.227499730881
struct_429,-49.231690987745
struct_430,-49.228386308181
struct_431,-49.22263597451
struct_432,-49.230532240684
struct_433,-49.227973620472
struct_434,-49.228775247947
struct_435,-49.228740228954
struct_436,-49.229878665093
struct_437,-49.229975046034
struct_438,-49.226453863291
struct_439,-49.228198775513
struct_440,-49.228816960588
struct_441,-49.2339115049
struct_442,-49.2298889109
struct_443,-49.228510115078
struct_444,-49.228511157251
struct_445,-49.226195463108
struct_446,-49.230518705294
struct_447,-49.231688394659
struct_448,-49.232654882716
struct_449,-49.229573466965
struct_450,-49.230384715954
struct_451,-49.228190394425
struct_452,-49.228714482754
struct_453,-49.228888167499
struct_454,-49.232606250436
struct_455,-49.231344610233
struct_456,-49.229306835172
struct_457,-49.22788376526
struct_458,-49.227950221361
struct_459,-49.226951637864
struct_460,-49.230433458561
struct_461,-49.230138471416
struct_462,-49.232787555613
struct_463,-49.224817402093
struct_464,-49.230023847015
struct_465,-49.230996268761
struct_466,-49.230589660218
struct_467,-49.233660185185
struct_468,-49.22896749918
struct_469,-49.231323943136
struct_470,-49.226718565357
struct_471,-49.232666277165
struct_472,-49.233345394886
struct_473,-49.235834653405
struct_474,-49.229836130109
struct_475,-49.228296827017
struct_476,-49.233601738298
struct_477,-49.224529679598
struct_478,-49.231633359759
struct_479,-49.227312235624
struct_480,-49.231455275494
struct_481,-49.226863167204
struct_482,-49.228117321343
struct_483,-49.225999489277
struct_484,-49.22991802399
struct_485,-49.227656878972
struct_486,-49.230479288742
struct_487,-49.22878956542
struct_488,-49.229383129629
struct_489,-49.226333603362
struct_490,-49.22769831599
struct_491,-49.2343842194
struct_492,-49.224230375907
struct_493,-49.233634972294
struct_494,-49.229309224824
struct_495,-49.231276421005
struct_496,-49.224529544208
struct_497,-49.235396986607
struct_498,-49.232073660195
struct_499,-49.232476360732
struct_500,-49.231107719641
struct_501,-49.229765781713
struct_502,-49.232390236885
struct_503,-49.226608411873
struct_504,-49.231814957403
