,Energy (kcal/mol)
struct_0,-49.268729023556
struct_1,-49.246523710764
struct_2,-49.26117789829
struct_3,-49.274149283979
struct_4,-49.27180078519
struct_5,-49.262821714231
struct_6,-49.263934744231
struct_7,-49.280721426542
struct_8,-49.288242924565
struct_9,-49.27993417144
struct_10,-49.268544656211
struct_11,-49.273863851259
struct_12,-49.28127732148
struct_13,-49.29301701257
struct_14,-49.2733093014
struct_15,-49.272808618326
struct_16,-49.282731521665
struct_17,-49.282480873008
struct_18,-49.276125218219
struct_19,-49.272932985766
struct_20,-49.279672588865
struct_21,-49.280060601432
struct_22,-49.284898183995
struct_23,-49.278740997128
struct_24,-49.279182264293
struct_25,-49.289847060312
struct_26,-49.288410577855
struct_27,-49.281389673572
struct_28,-49.285279420581
struct_29,-49.297196877888
struct_30,-49.287719190813
struct_31,-49.2822413019
struct_32,-49.284802031101
struct_33,-49.284553009818
struct_34,-49.286741638142
struct_35,-49.2863689951
struct_36,-49.288532469592
struct_37,-49.285993445023
struct_38,-49.292554115142
struct_39,-49.281711917139
struct_40,-49.281809411072
struct_41,-49.290722845641
struct_42,-49.281429718912
struct_43,-49.295509813167
struct_44,-49.286525426143
struct_45,-49.293430882431
struct_46,-49.285820647275
struct_47,-49.283226282017
struct_48,-49.285671982431
struct_49,-49.28894122582
struct_50,-49.296522723365
struct_51,-49.290901003605
struct_52,-49.286567965077
struct_53,-49.281976536029
struct_54,-49.284465152959
struct_55,-49.281053113368
struct_56,-49.28812156313
struct_57,-49.285071947663
struct_58,-49.293569142515
struct_59,-49.293947997353
struct_60,-49.292352428327
struct_61,-49.286519798998
struct_62,-49.290845252435
struct_63,-49.289858472015
struct_64,-49.287072622321
struct_65,-49.285349795916
struct_66,-49.291667064126
struct_67,-49.292978731246
struct_68,-49.293398018521
struct_69,-49.291378710975
struct_70,-49.287297124799
struct_71,-49.284167057269
struct_72,-49.288232546498
struct_73,-49.292683090628
struct_74,-49.290517488816
struct_75,-49.289202320313
struct_76,-49.285889164735
struct_77,-49.285052227262
struct_78,-49.29578107733
struct_79,-49.29874029411
struct_80,-49.287725825552
struct_81,-49.293328643376
struct_82,-49.292630861483
struct_83,-49.290205493803
struct_84,-49.29336668682
struct_85,-49.284379030562
struct_86,-49.284609103021
struct_87,-49.297492074682
struct_88,-49.291816611821
struct_89,-49.294531137283
struct_90,-49.287664080239
struct_91,-49.283619361897
struct_92,-49.292520887107
struct_93,-49.284689255269
struct_94,-49.290578486443
struct_95,-49.289823717481
struct_96,-49.283750525881
struct_97,-49.297167399249
struct_98,-49.288760154864
struct_99,-49.282971919285
struct_100,-49.285556067381
struct_101,-49.286410576129
struct_102,-49.297000133474
struct_103,-49.285591507094
struct_104,-49.290933234376
struct_105,-49.287687496646
struct_106,-49.294703326988
struct_107,-49.286782675149
struct_108,-49.286831209819
struct_109,-49.289750831517
struct_110,-49.2907892016
struct_111,-49.298015528713
struct_112,-49.285558229923
struct_113,-49.294496240464
struct_114,-49.292280833598
struct_115,-49.295504191146
struct_116,-49.28974416515
struct_117,-49.291227966806
struct_118,-49.29117630323
struct_119,-49.294608093385
struct_120,-49.292444524399
struct_121,-49.282655229755
struct_122,-49.28611305563
struct_123,-49.290818855641
struct_124,-49.288020653698
struct_125,-49.291753494569
struct_126,-49.291797672709
struct_127,-49.295239533966
struct_128,-49.286552304697
struct_129,-49.284678766235
struct_130,-49.286469648231
struct_131,-49.289335707543
struct_132,-49.28818730856
struct_133,-49.289564497064
struct_134,-49.296988403997
struct_135,-49.286597466534
struct_136,-49.286602109083
struct_137,-49.289602209797
struct_138,-49.288634593229
struct_139,-49.283867040137
struct_140,-49.288945121519
struct_141,-49.287788651062
struct_142,-49.294068325638
struct_143,-49.289609140854
struct_144,-49.290055033459
struct_145,-49.289714868553
struct_146,-49.285004758417
struct_147,-49.282266995964
struct_148,-49.291564044216
