,Energy (kcal/mol)
struct_0,-49.378703802793
struct_1,-49.526886258119
struct_2,-49.603772899317
struct_3,-49.675198883036
struct_4,-49.644130233447
struct_5,-49.607141055698
struct_6,-49.662656723155
struct_7,-49.70873429916
struct_8,-49.653389299423
struct_9,-49.644102077582
struct_10,-49.703730732502
struct_11,-49.710765322283
struct_12,-49.722693146495
struct_13,-49.677819496437
struct_14,-49.70092727609
struct_15,-49.753686624489
struct_16,-49.717677354078
struct_17,-49.703351908144
struct_18,-49.752116924147
struct_19,-49.730772606741
struct_20,-49.757275761699
struct_21,-49.745853319743
struct_22,-49.761454102488
struct_23,-49.774716043449
struct_24,-49.774864373912
struct_25,-49.774533364846
struct_26,-49.782988886247
struct_27,-49.778558752264
struct_28,-49.76699885728
struct_29,-49.800195040972
struct_30,-49.801749588352
struct_31,-49.799568578749
struct_32,-49.808220167092
struct_33,-49.807957922505
struct_34,-49.802673478046
struct_35,-49.793114731388
struct_36,-49.819266129798
struct_37,-49.812803459588
struct_38,-49.786400800417
struct_39,-49.801652097042
struct_40,-49.799874794318
struct_41,-49.813987947939
struct_42,-49.812369008506
struct_43,-49.813250393536
struct_44,-49.818381270692
struct_45,-49.828447639803
struct_46,-49.83076386774
struct_47,-49.812486254996
struct_48,-49.823098440271
struct_49,-49.83184875109
struct_50,-49.812210076709
struct_51,-49.831731255001
struct_52,-49.832280001489
struct_53,-49.822255539485
struct_54,-49.83001005364
struct_55,-49.829189483026
struct_56,-49.836514006603
struct_57,-49.830282791429
struct_58,-49.81340873359
struct_59,-49.832175413556
struct_60,-49.830843371769
struct_61,-49.823304679585
struct_62,-49.829946368733
struct_63,-49.8326544545
struct_64,-49.834847527995
struct_65,-49.833965179859
struct_66,-49.842543726695
struct_67,-49.831753009146
struct_68,-49.845381039338
struct_69,-49.84920096598
struct_70,-49.833734274378
struct_71,-49.838767906025
struct_72,-49.839449842844
struct_73,-49.83684769622
struct_74,-49.838248228435
struct_75,-49.840431768938
struct_76,-49.844466807261
struct_77,-49.838821357395
struct_78,-49.839749943376
struct_79,-49.843714180551
struct_80,-49.845906378852
struct_81,-49.846207093809
struct_82,-49.841826350591
struct_83,-49.841987331613
struct_84,-49.834960066893
struct_85,-49.841692583508
struct_86,-49.847141640807
struct_87,-49.843723860397
struct_88,-49.839229227529
struct_89,-49.847532268648
struct_90,-49.849936537487
struct_91,-49.847292005012
struct_92,-49.850212305091
struct_93,-49.849149864618
struct_94,-49.841831701122
struct_95,-49.851555058726
struct_96,-49.845025319073
struct_97,-49.846921222916
struct_98,-49.849406861143
struct_99,-49.849128984489
struct_100,-49.846425656308
struct_101,-49.848090713935
struct_102,-49.85025613787
struct_103,-49.848107207476
struct_104,-49.85016292774
struct_105,-49.849813750899
struct_106,-49.850301440875
struct_107,-49.846583965371
struct_108,-49.855088057946
struct_109,-49.845848267907
struct_110,-49.856352553163
struct_111,-49.849779076726
struct_112,-49.846666322599
struct_113,-49.855253531818
struct_114,-49.854456314552
struct_115,-49.850055701837
struct_116,-49.852858465308
struct_117,-49.853349070928
struct_118,-49.849208002604
struct_119,-49.853798401331
struct_120,-49.854509259766
struct_121,-49.850183784003
struct_122,-49.851043462741
struct_123,-49.855527522955
struct_124,-49.852142766629
struct_125,-49.854433168658
struct_126,-49.853094714807
struct_127,-49.851109061074
struct_128,-49.85341309677
struct_129,-49.848293567895
struct_130,-49.853751276534
struct_131,-49.848400820694
struct_132,-49.854223796519
struct_133,-49.851718427419
struct_134,-49.852182217165
struct_135,-49.846088124241
struct_136,-49.85273423008
struct_137,-49.854322226523
struct_138,-49.849991367559
struct_139,-49.853751931437
struct_140,-49.851880006789
struct_141,-49.857813758014
struct_142,-49.856827380043
struct_143,-49.851332564294
struct_144,-49.852464986265
struct_145,-49.852882366564
struct_146,-49.853779079411
struct_147,-49.852548909932
struct_148,-49.847826672589
struct_149,-49.854853853252
struct_150,-49.85494834285
struct_151,-49.851525487595
struct_152,-49.856915467215
struct_153,-49.851149910762
struct_154,-49.853687718516
struct_155,-49.853029219039
struct_156,-49.855251362801
struct_157,-49.852253095014
struct_158,-49.853439626123
struct_159,-49.853676223086
struct_160,-49.853942033933
struct_161,-49.85598602742
struct_162,-49.855092014227
struct_163,-49.850335510055
struct_164,-49.856246291499
struct_165,-49.852982647577
struct_166,-49.851313934091
struct_167,-49.856573299269
struct_168,-49.852860403852
struct_169,-49.849488522418
struct_170,-49.851721476508
struct_171,-49.858132483226
struct_172,-49.852976200795
struct_173,-49.853531988943
struct_174,-49.857691163993
struct_175,-49.852752598747
struct_176,-49.858256287715
struct_177,-49.856600051829
struct_178,-49.858026591336
struct_179,-49.854044000625
struct_180,-49.853483585891
struct_181,-49.855813249237
struct_182,-49.85140731523
struct_183,-49.857822665953
struct_184,-49.85312598861
struct_185,-49.856780324339
struct_186,-49.851873229934
struct_187,-49.85337932215
struct_188,-49.855370768298
struct_189,-49.853226798395
struct_190,-49.858944223959
struct_191,-49.853996864228
struct_192,-49.856281823345
struct_193,-49.856371022569
struct_194,-49.858170043295
struct_195,-49.850537558868
struct_196,-49.857701614287
struct_197,-49.851621925028
struct_198,-49.856264765854
struct_199,-49.85400829412
struct_200,-49.849101701924
struct_201,-49.854615007773
struct_202,-49.851877635076
struct_203,-49.857463194142
struct_204,-49.851533275198
struct_205,-49.856393763512
struct_206,-49.855145245839
struct_207,-49.85697529818
struct_208,-49.858567308733
struct_209,-49.85435632161
struct_210,-49.856964617252
struct_211,-49.851818282302
struct_212,-49.854940916603
struct_213,-49.853473796276
struct_214,-49.85734399579
struct_215,-49.852068997324
struct_216,-49.849650072983
struct_217,-49.856867050929
struct_218,-49.852076721175
struct_219,-49.854145563104
struct_220,-49.854181905176
struct_221,-49.859293264372
struct_222,-49.853578253406
struct_223,-49.855805714086
struct_224,-49.851520366364
struct_225,-49.854759243009
struct_226,-49.851969924757
struct_227,-49.858954510203
struct_228,-49.858401004698
struct_229,-49.854664229541
struct_230,-49.851282997423
struct_231,-49.852362663481
struct_232,-49.855416094459
struct_233,-49.851611437456
struct_234,-49.856159519251
struct_235,-49.851321783511
