,Energy (kcal/mol)
struct_0,-51.099666946499
struct_1,-51.079238482821
struct_2,-51.082233937501
struct_3,-51.082102718013
struct_4,-51.093804965492
struct_5,-51.094841454447
struct_6,-51.08827705417
struct_7,-51.077700620555
struct_8,-51.083369212511
struct_9,-51.082330224463
struct_10,-51.084061029137
struct_11,-51.091766065536
struct_12,-51.084346933828
struct_13,-51.092613251607
struct_14,-51.088895602343
struct_15,-51.095002137388
struct_16,-51.089601632716
struct_17,-51.088951683904
struct_18,-51.086772627129
struct_19,-51.082823790784
struct_20,-51.091657773465
struct_21,-51.084379807331
struct_22,-51.082006609141
struct_23,-51.084698553668
struct_24,-51.092252482776
struct_25,-51.089972034541
struct_26,-51.078887293931
struct_27,-51.085922935684
struct_28,-51.090551185809
struct_29,-51.077426944742
struct_30,-51.082255264333
struct_31,-51.080276733271
struct_32,-51.085271704111
struct_33,-51.091021247899
struct_34,-51.091324128901
struct_35,-51.084712739874
struct_36,-51.090589038698
struct_37,-51.080598250272
struct_38,-51.071756935993
struct_39,-51.088849254605
struct_40,-51.076571931446
struct_41,-51.086235388758
struct_42,-51.083537738199
struct_43,-51.08150070678
struct_44,-51.086788555348
struct_45,-51.085596965624
struct_46,-51.079246797156
struct_47,-51.08025357316
struct_48,-51.091135174919
struct_49,-51.087625060871
struct_50,-51.079803271067
struct_51,-51.082660986995
struct_52,-51.077584630534
struct_53,-51.083563182729
struct_54,-51.085440849506
struct_55,-51.085113728339
struct_56,-51.089926235589
struct_57,-51.085031783438
struct_58,-51.076800861293
struct_59,-51.080387777638
struct_60,-51.087564161843
struct_61,-51.085884433559
struct_62,-51.086904135297
struct_63,-51.084167471479
struct_64,-51.084414342467
struct_65,-51.088450004712
struct_66,-51.081405251637
struct_67,-51.079694671797
struct_68,-51.084943581607
struct_69,-51.087200253357
struct_70,-51.085373886027
struct_71,-51.086676949896
struct_72,-51.082569354739
struct_73,-51.079645668444
struct_74,-51.079640142047
struct_75,-51.078290697156
struct_76,-51.083587542029
struct_77,-51.076880640885
struct_78,-51.088753024408
struct_79,-51.085570066715
struct_80,-51.084998186061
struct_81,-51.083262531882
struct_82,-51.080729468373
struct_83,-51.084773087502
struct_84,-51.088375362425
struct_85,-51.082417774503
struct_86,-51.074441504367
struct_87,-51.087910348216
struct_88,-51.07963045309
struct_89,-51.084095746525
struct_90,-51.080972093335
struct_91,-51.088990074461
struct_92,-51.084148592936
struct_93,-51.085949563151
struct_94,-51.078646224014
struct_95,-51.079273977532
struct_96,-51.087518456572
struct_97,-51.085370576914
struct_98,-51.084718574023
struct_99,-51.081723832795
struct_100,-51.083369820531
struct_101,-51.088247943343
struct_102,-51.079596205185
struct_103,-51.080504257034
struct_104,-51.076723808377
struct_105,-51.089470370112
struct_106,-51.087675529838
struct_107,-51.080711461716
struct_108,-51.08539520171
struct_109,-51.085721650747
struct_110,-51.072551020762
struct_111,-51.082616888469
struct_112,-51.080591040887
struct_113,-51.088768024743
struct_114,-51.081423424694
struct_115,-51.083269397777
struct_116,-51.088158356518
struct_117,-51.083523007031
struct_118,-51.087023901842
struct_119,-51.079234620112
struct_120,-51.090698715592
struct_121,-51.087349122285
struct_122,-51.084879910646
struct_123,-51.087933581454
struct_124,-51.07956135258
struct_125,-51.080788150759
struct_126,-51.087045930539
struct_127,-51.078404295091
struct_128,-51.078550215796
struct_129,-51.093509040395
struct_130,-51.084886891068
struct_131,-51.086299434677
struct_132,-51.079307758048
struct_133,-51.085487915235
struct_134,-51.084110885823
struct_135,-51.081415385369
struct_136,-51.080687238355
struct_137,-51.07758167547
struct_138,-51.089987561073
struct_139,-51.083574121805
struct_140,-51.088219927701
struct_141,-51.08248574393
struct_142,-51.076897392334
struct_143,-51.087570713379
struct_144,-51.089135885294
struct_145,-51.085687808038
struct_146,-51.090146501359
struct_147,-51.084646306707
struct_148,-51.086473828023
struct_149,-51.099957009034
struct_150,-51.094190623176
struct_151,-51.086372458289
struct_152,-51.086701902978
struct_153,-51.090981216159
struct_154,-51.079596501098
struct_155,-51.089488799253
struct_156,-51.085866964103
struct_157,-51.087064585949
struct_158,-51.080102335317
struct_159,-51.094378094717
struct_160,-51.090385061448
struct_161,-51.09220316258
struct_162,-51.097228329095
struct_163,-51.086914186803
struct_164,-51.082770199682
struct_165,-51.092910559883
struct_166,-51.086610721224
struct_167,-51.087892911202
struct_168,-51.088277422201
struct_169,-51.080565385437
struct_170,-51.087645601514
struct_171,-51.092648908945
struct_172,-51.094139680934
struct_173,-51.085116415405
struct_174,-51.08780768047
struct_175,-51.076973085263
struct_176,-51.08886637044
struct_177,-51.08898733528
struct_178,-51.090171883088
struct_179,-51.090148172271
struct_180,-51.087693260873
struct_181,-51.100324833412
struct_182,-51.088778438863
struct_183,-51.084819685712
struct_184,-51.088741401267
struct_185,-51.092795357795
struct_186,-51.090971211036
struct_187,-51.086202537925
struct_188,-51.084323934228
struct_189,-51.088948851825
struct_190,-51.087981289443
struct_191,-51.093782415524
struct_192,-51.094961646759
struct_193,-51.09590715478
struct_194,-51.08749140861
struct_195,-51.090915066597
struct_196,-51.093619480916
struct_197,-51.091430388654
struct_198,-51.084409204315
struct_199,-51.089509683324
struct_200,-51.094244718001
struct_201,-51.083837397411
struct_202,-51.084169555107
struct_203,-51.091710562871
struct_204,-51.093545802041
struct_205,-51.094438931954
struct_206,-51.089643498604
struct_207,-51.090146998886
struct_208,-51.09357656707
struct_209,-51.088773733082
struct_210,-51.083734221503
struct_211,-51.084917112383
struct_212,-51.092289690306
struct_213,-51.094383412146
struct_214,-51.090329980967
struct_215,-51.08423580659
struct_216,-51.090646768821
struct_217,-51.082786324007
struct_218,-51.081077041878
struct_219,-51.093868695347
struct_220,-51.081518735428
struct_221,-51.092452917512
struct_222,-51.081408948174
struct_223,-51.084349429009
struct_224,-51.088225409882
struct_225,-51.090667772726
struct_226,-51.091961376102
struct_227,-51.0821116671
struct_228,-51.083376806779
struct_229,-51.08690970212
struct_230,-51.087061394347
struct_231,-51.088786391794
struct_232,-51.095097472823
struct_233,-51.087942840649
struct_234,-51.090121301318
struct_235,-51.090964550952
struct_236,-51.086479938721
struct_237,-51.09238661287
struct_238,-51.090832828162
struct_239,-51.083665154977
struct_240,-51.081423589867
struct_241,-51.088293927774
struct_242,-51.089305224179
struct_243,-51.08801104615
struct_244,-51.082685924463
struct_245,-51.083950474844
struct_246,-51.084744320864
struct_247,-51.09021293025
struct_248,-51.08878534462
struct_249,-51.094899542655
struct_250,-51.08841900217
struct_251,-51.091381416661
struct_252,-51.092202558972
struct_253,-51.08763055684
struct_254,-51.089119031714
struct_255,-51.086533899591
struct_256,-51.09348194557
struct_257,-51.094474144437
struct_258,-51.087171981951
struct_259,-51.091114115886
struct_260,-51.093039192814
struct_261,-51.08813517673
struct_262,-51.084356062403
struct_263,-51.095125933427
struct_264,-51.082452978674
struct_265,-51.083821594945
struct_266,-51.083437839832
struct_267,-51.090546454306
struct_268,-51.091362974814
struct_269,-51.098961391628
struct_270,-51.092302972713
struct_271,-51.092720236615
struct_272,-51.094368745048
