,Energy (kcal/mol)
struct_245,-48.311502456025
struct_246,-48.313393536014
struct_247,-48.311085848401
struct_248,-48.306784594834
struct_249,-48.309167235118
struct_250,-48.308464739622
struct_251,-48.307804131027
struct_252,-48.309423273864
struct_253,-48.29891637057
struct_254,-48.308747976986
struct_255,-48.303992367207
struct_256,-48.307636972257
struct_257,-48.315489613903
struct_258,-48.308193345274
struct_259,-48.308980028845
struct_260,-48.313311507364
struct_261,-48.308773634398
struct_262,-48.304240378492
struct_263,-48.314447540313
struct_264,-48.301197315017
struct_265,-48.319384352572
struct_266,-48.309595301338
struct_267,-48.309459512143
struct_268,-48.312301818918
struct_269,-48.301502517941
struct_270,-48.313731629538
struct_271,-48.311408792055
struct_272,-48.308950658486
struct_273,-48.307456986239
struct_274,-48.308946438626
struct_275,-48.311771396324
struct_276,-48.306591209388
struct_277,-48.306612776091
struct_278,-48.309048780417
struct_279,-48.313372662501
struct_280,-48.304095437796
struct_281,-48.316645304861
struct_282,-48.309784343186
struct_283,-48.307453872374
struct_284,-48.312143097018
struct_285,-48.304331807282
struct_286,-48.311799774083
struct_287,-48.306446321797
struct_288,-48.313531090364
struct_289,-48.311519748593
struct_290,-48.306760760969
struct_291,-48.309880787607
struct_292,-48.310821198288
struct_293,-48.309721103387
struct_294,-48.308695523392
struct_295,-48.313409881846
struct_296,-48.305219354987
struct_297,-48.309078388357
struct_298,-48.308844782309
struct_299,-48.302070283245
struct_300,-48.316506616334
struct_301,-48.309203287061
struct_302,-48.309127557441
struct_303,-48.300180068446
struct_304,-48.306228959128
struct_305,-48.315271085895
struct_306,-48.308621496555
struct_307,-48.309405665137
struct_308,-48.309109231949
struct_309,-48.311501268548
struct_310,-48.308645835489
struct_311,-48.313972799577
struct_312,-48.309469005071
struct_313,-48.305459240606
struct_314,-48.314762422788
struct_315,-48.303978892344
struct_316,-48.313694045592
struct_317,-48.314008397426
struct_318,-48.309243008987
struct_319,-48.305375187072
struct_320,-48.310706241558
struct_321,-48.311303249933
struct_322,-48.305787684479
struct_323,-48.30485487005
struct_324,-48.310073171687
struct_325,-48.309479909099
struct_326,-48.312712426856
struct_327,-48.310691420462
struct_328,-48.314907538541
struct_329,-48.306648300109
struct_330,-48.309063251498
struct_331,-48.312043390094
struct_332,-48.311121795821
struct_333,-48.316705352683
struct_334,-48.30786827034
struct_335,-48.310391496652
struct_336,-48.307348547341
struct_337,-48.306675576389
struct_338,-48.310842280115
struct_339,-48.308702181451
struct_340,-48.304038960346
struct_341,-48.307753133975
struct_342,-48.310579288049
struct_343,-48.307338795155
struct_344,-48.307188883632
struct_345,-48.313664466633
struct_346,-48.304398441273
