,Energy (kcal/mol)
struct_0,-49.712196292158
struct_1,-49.700774353725
struct_2,-49.691944394358
struct_3,-49.690550566745
struct_4,-49.713357140201
struct_5,-49.724067977351
struct_6,-49.702171148858
struct_7,-49.699367859414
struct_8,-49.704567042344
struct_9,-49.714445240054
struct_10,-49.707199170634
struct_11,-49.698489697769
struct_12,-49.707332771839
struct_13,-49.709206144082
struct_14,-49.714089289996
struct_15,-49.706776040368
struct_16,-49.700995068189
struct_17,-49.715760453327
struct_18,-49.706194587569
struct_19,-49.706268518647
struct_20,-49.717179041677
struct_21,-49.717245644615
struct_22,-49.718841520832
struct_23,-49.714499344166
struct_24,-49.715388889786
struct_25,-49.712532837339
struct_26,-49.719369472907
struct_27,-49.721213556396
struct_28,-49.720976791957
struct_29,-49.714967195696
struct_30,-49.712363181271
struct_31,-49.713702205105
struct_32,-49.719965519978
struct_33,-49.714545876083
struct_34,-49.714659621938
struct_35,-49.715257981714
struct_36,-49.716713644946
struct_37,-49.720928971122
struct_38,-49.718808450857
struct_39,-49.709394219058
struct_40,-49.716725003783
struct_41,-49.720659787256
struct_42,-49.722727898124
struct_43,-49.713846834843
struct_44,-49.72442030547
struct_45,-49.714405152461
struct_46,-49.717455259466
struct_47,-49.72628643967
struct_48,-49.717102265713
struct_49,-49.718120067804
struct_50,-49.727456117712
struct_51,-49.721686963133
struct_52,-49.722781483986
struct_53,-49.720973050147
struct_54,-49.721066371725
struct_55,-49.719529687335
struct_56,-49.721967901409
struct_57,-49.718119281918
struct_58,-49.727275303614
struct_59,-49.722361736966
struct_60,-49.719379295019
struct_61,-49.71678935524
struct_62,-49.725573489951
struct_63,-49.720626095822
struct_64,-49.719967499969
struct_65,-49.73000736079
struct_66,-49.720770904511
struct_67,-49.718833893654
struct_68,-49.723988688079
struct_69,-49.719266925422
struct_70,-49.722820349047
struct_71,-49.721779835639
struct_72,-49.722832579408
struct_73,-49.716688738249
struct_74,-49.729590227071
struct_75,-49.715707030246
struct_76,-49.719415811125
struct_77,-49.72115468471
struct_78,-49.718432870217
struct_79,-49.726400623253
struct_80,-49.711956539798
struct_81,-49.72013807134
struct_82,-49.718825095117
struct_83,-49.718898006233
struct_84,-49.720890292353
struct_85,-49.721140910999
struct_86,-49.720992346742
struct_87,-49.722609019874
struct_88,-49.723586177007
struct_89,-49.718078344524
struct_90,-49.721302622118
struct_91,-49.720144698191
struct_92,-49.720308864555
struct_93,-49.721127852772
struct_94,-49.715599031506
struct_95,-49.722715538371
struct_96,-49.725944799422
struct_97,-49.723665310832
struct_98,-49.712765150923
struct_99,-49.727407382667
struct_100,-49.720075246811
struct_101,-49.718127019481
struct_102,-49.729343716256
struct_103,-49.720757754426
struct_104,-49.725042086718
struct_105,-49.718861609652
struct_106,-49.720702290824
struct_107,-49.722509781537
struct_108,-49.723197179998
struct_109,-49.715951798673
struct_110,-49.72494406405
struct_111,-49.727992807731
struct_112,-49.72056706793
struct_113,-49.721979456113
struct_114,-49.726451621048
struct_115,-49.718794448811
struct_116,-49.721159275847
struct_117,-49.714818415191
struct_118,-49.719396554645
struct_119,-49.719223375838
struct_120,-49.721686552053
struct_121,-49.717983098758
struct_122,-49.724307117604
struct_123,-49.723234913083
struct_124,-49.717403357941
struct_125,-49.72609255973
struct_126,-49.715231798703
struct_127,-49.723456148579
struct_128,-49.718780640703
struct_129,-49.726118923123
struct_130,-49.724243531699
struct_131,-49.720256300308
struct_132,-49.720067204743
struct_133,-49.721139053306
struct_134,-49.725378250614
struct_135,-49.713805388759
struct_136,-49.730298089737
struct_137,-49.720450289539
struct_138,-49.73120426482
struct_139,-49.715167820008
struct_140,-49.721571984592
struct_141,-49.724776039556
struct_142,-49.712882156275
struct_143,-49.719829916863
struct_144,-49.731789929723
struct_145,-49.724763007026
struct_146,-49.72048461715
struct_147,-49.72021411323
struct_148,-49.7256439151
struct_149,-49.730018316638
struct_150,-49.716462098439
struct_151,-49.719715240238
struct_152,-49.722252274223
struct_153,-49.72862990699
struct_154,-49.719891545304
struct_155,-49.720233907865
struct_156,-49.730433969424
struct_157,-49.726233554407
struct_158,-49.718341534179
struct_159,-49.721122988996
struct_160,-49.717433067468
struct_161,-49.716754420683
struct_162,-49.72220082533
struct_163,-49.72598030362
struct_164,-49.720271316677
struct_165,-49.713954744159
struct_166,-49.726319820013
struct_167,-49.719238297387
struct_168,-49.726959665091
struct_169,-49.719776916047
struct_170,-49.719682456907
struct_171,-49.730257440231
struct_172,-49.716668187661
struct_173,-49.711940059512
struct_174,-49.726651399533
struct_175,-49.72139404311
struct_176,-49.717865975512
struct_177,-49.72666797029
struct_178,-49.719363143167
struct_179,-49.716593109676
struct_180,-49.723369339607
struct_181,-49.725046213537
struct_182,-49.728651498129
struct_183,-49.712683502164
struct_184,-49.722965597452
struct_185,-49.726277881877
struct_186,-49.723256436565
struct_187,-49.721031477098
struct_188,-49.727331664806
struct_189,-49.718207854671
struct_190,-49.717337452223
struct_191,-49.722163095651
struct_192,-49.724489837788
struct_193,-49.721575846722
struct_194,-49.724901877306
struct_195,-49.719373178387
struct_196,-49.720382068935
struct_197,-49.711751208777
struct_198,-49.724497107981
struct_199,-49.731185090407
struct_200,-49.727607390894
struct_201,-49.725164798654
struct_202,-49.722401256955
struct_203,-49.717174558366
struct_204,-49.72348009723
