,Energy (kcal/mol)
struct_0,-44.318212938683
struct_1,-44.296699138436
struct_2,-44.329172687665
struct_3,-44.320261548951
struct_4,-44.319900829161
struct_5,-44.326424490498
struct_6,-44.319115123929
struct_7,-44.330667467817
struct_8,-44.33666491966
struct_9,-44.331478429343
struct_10,-44.325812935428
struct_11,-44.323472273966
struct_12,-44.321839751863
struct_13,-44.329887019531
struct_14,-44.335413425549
struct_15,-44.323657919409
struct_16,-44.333000255311
struct_17,-44.333105521055
struct_18,-44.331753302825
struct_19,-44.326763965749
struct_20,-44.334681884275
struct_21,-44.33380204161
struct_22,-44.327364846619
struct_23,-44.344819151017
struct_24,-44.335044251972
struct_25,-44.340722911553
struct_26,-44.330801364145
struct_27,-44.331511166621
struct_28,-44.336018956785
struct_29,-44.339995533721
struct_30,-44.338372090901
struct_31,-44.335328666522
struct_32,-44.339911006613
struct_33,-44.340176763521
struct_34,-44.337006385654
struct_35,-44.341044676226
struct_36,-44.336499338804
struct_37,-44.33992378928
struct_38,-44.345452960163
struct_39,-44.337669159261
struct_40,-44.3353973927
struct_41,-44.335104636747
struct_42,-44.344182343793
struct_43,-44.340287716148
struct_44,-44.347108258214
struct_45,-44.345493358421
struct_46,-44.33982552055
struct_47,-44.343104980439
struct_48,-44.340580219356
struct_49,-44.334320911052
struct_50,-44.341235705883
struct_51,-44.343681393464
struct_52,-44.341049277737
struct_53,-44.3405478183
struct_54,-44.345229944994
struct_55,-44.342308663399
struct_56,-44.338568005259
struct_57,-44.341870083638
struct_58,-44.340195328299
struct_59,-44.342546445288
struct_60,-44.340750016497
struct_61,-44.343693703755
struct_62,-44.344906245142
struct_63,-44.342818921442
struct_64,-44.339381671868
struct_65,-44.340835868725
struct_66,-44.343239117908
struct_67,-44.348302825098
struct_68,-44.343763748374
struct_69,-44.338817047956
struct_70,-44.33813924084
struct_71,-44.339291463286
struct_72,-44.33845842893
struct_73,-44.339836593582
struct_74,-44.345315883845
struct_75,-44.340287874286
struct_76,-44.347299729224
struct_77,-44.342610044229
struct_78,-44.344009667897
struct_79,-44.34046368149
struct_80,-44.338808777515
struct_81,-44.345402812951
struct_82,-44.345182610038
struct_83,-44.341823028414
struct_84,-44.34219856146
struct_85,-44.338433068878
struct_86,-44.344360050553
struct_87,-44.341235149693
struct_88,-44.337415366901
struct_89,-44.343622938418
struct_90,-44.33696670713
struct_91,-44.343359355651
struct_92,-44.33758696367
struct_93,-44.34547808803
struct_94,-44.336974490478
struct_95,-44.348226886943
struct_96,-44.345670566547
struct_97,-44.343007087882
struct_98,-44.339363213778
struct_99,-44.342526884667
struct_100,-44.335266590601
struct_101,-44.342432318567
struct_102,-44.343114409991
struct_103,-44.342675073003
struct_104,-44.336539051606
struct_105,-44.347690619079
struct_106,-44.339833528219
struct_107,-44.342540869791
struct_108,-44.34674452959
struct_109,-44.340099565369
struct_110,-44.333742574664
struct_111,-44.344274423203
struct_112,-44.341020896912
struct_113,-44.346878741838
struct_114,-44.347434843327
struct_115,-44.349088205761
struct_116,-44.338470049
struct_117,-44.344745870183
struct_118,-44.335430960917
struct_119,-44.336616410129
struct_120,-44.342775486013
struct_121,-44.3381846838
struct_122,-44.348006679214
struct_123,-44.345379784336
struct_124,-44.339604869138
struct_125,-44.339638843194
struct_126,-44.339959673211
struct_127,-44.346765313897
struct_128,-44.342791484712
struct_129,-44.347596817457
struct_130,-44.341659413184
struct_131,-44.339355157083
struct_132,-44.342659885598
struct_133,-44.340169518588
struct_134,-44.342516146746
struct_135,-44.343775567249
struct_136,-44.351952301996
struct_137,-44.348169344028
struct_138,-44.3360318208
struct_139,-44.344969839047
struct_140,-44.339253892206
struct_141,-44.342355005494
struct_142,-44.344164227858
struct_143,-44.346958902262
struct_144,-44.343579206865
struct_145,-44.349822927817
struct_146,-44.338848861746
struct_147,-44.339643358581
struct_148,-44.343433860842
struct_149,-44.343753781025
struct_150,-44.346476035982
struct_151,-44.343097419628
struct_152,-44.343194941374
struct_153,-44.347251974821
struct_154,-44.339607174751
struct_155,-44.343767397502
struct_156,-44.340531203225
struct_157,-44.33792267944
struct_158,-44.353541825869
struct_159,-44.344773090576
struct_160,-44.342553839473
struct_161,-44.343484565018
struct_162,-44.344613889584
struct_163,-44.338678899779
struct_164,-44.348567703613
struct_165,-44.345915151835
struct_166,-44.336820908611
struct_167,-44.348229993859
struct_168,-44.350820335405
struct_169,-44.340132298478
struct_170,-44.348686551483
