,Energy (kcal/mol)
struct_0,-57.470151386161
struct_1,-57.455898814905
struct_2,-57.461140002039
struct_3,-57.46760642554
struct_4,-57.466300104025
struct_5,-57.47426679311
struct_6,-57.465909027352
struct_7,-57.468996174656
struct_8,-57.466298987529
struct_9,-57.472957961222
struct_10,-57.460646892876
struct_11,-57.470914310749
struct_12,-57.470814586264
struct_13,-57.466563409484
struct_14,-57.476308533794
struct_15,-57.467876112729
struct_16,-57.475732462787
struct_17,-57.469108264295
struct_18,-57.473602934883
struct_19,-57.461317707523
struct_20,-57.464723800188
struct_21,-57.473103896335
struct_22,-57.464994408918
struct_23,-57.472398319625
struct_24,-57.458977559765
struct_25,-57.46962133967
struct_26,-57.469786256266
struct_27,-57.46327206658
struct_28,-57.470073179052
struct_29,-57.472767809956
struct_30,-57.465370608866
struct_31,-57.469360334302
struct_32,-57.474891310334
struct_33,-57.475812164275
struct_34,-57.471923418743
struct_35,-57.466834305718
struct_36,-57.470258956782
struct_37,-57.465031250991
struct_38,-57.47307324055
struct_39,-57.474456965782
struct_40,-57.468618058036
struct_41,-57.468618074575
struct_42,-57.475806910491
struct_43,-57.477095205213
struct_44,-57.471040447185
struct_45,-57.47564371792
struct_46,-57.473566265957
struct_47,-57.47479437016
struct_48,-57.467461442135
struct_49,-57.476134403988
struct_50,-57.471518075841
struct_51,-57.468773011464
struct_52,-57.47174092356
struct_53,-57.477984902192
struct_54,-57.467105642743
struct_55,-57.476944212494
struct_56,-57.473732876932
struct_57,-57.469032136803
struct_58,-57.47017917244
struct_59,-57.473045620531
struct_60,-57.477979438033
struct_61,-57.471312038701
struct_62,-57.471737063873
struct_63,-57.47225369441
struct_64,-57.474536765745
struct_65,-57.469707845742
struct_66,-57.472833676072
struct_67,-57.471255738971
struct_68,-57.473141056599
struct_69,-57.473753835013
struct_70,-57.470945055298
struct_71,-57.471624634987
struct_72,-57.469554706808
struct_73,-57.469150054297
struct_74,-57.471801549779
struct_75,-57.472480970633
struct_76,-57.475969479925
struct_77,-57.466384922006
struct_78,-57.46298354757
struct_79,-57.476871566708
struct_80,-57.471215828489
struct_81,-57.471827703233
struct_82,-57.46901085917
struct_83,-57.474758453926
struct_84,-57.47449093126
struct_85,-57.4756104533
struct_86,-57.481080313179
struct_87,-57.468870088537
struct_88,-57.472029626843
struct_89,-57.481476400439
struct_90,-57.48211981729
struct_91,-57.470875377192
struct_92,-57.477104385981
struct_93,-57.476837853103
struct_94,-57.473387942631
struct_95,-57.473924548368
struct_96,-57.477085252004
struct_97,-57.478381309475
struct_98,-57.469110887533
struct_99,-57.473723215111
struct_100,-57.473535278087
struct_101,-57.477789500058
struct_102,-57.47563220309
struct_103,-57.467689829967
struct_104,-57.472348235175
struct_105,-57.473661796471
struct_106,-57.476160665183
struct_107,-57.46838734947
struct_108,-57.470833198764
struct_109,-57.475294086856
struct_110,-57.473714023136
struct_111,-57.476433195709
struct_112,-57.473191914738
struct_113,-57.471649764446
struct_114,-57.472948874106
struct_115,-57.473544746702
struct_116,-57.469921733749
struct_117,-57.47540111452
struct_118,-57.473030372385
struct_119,-57.468896386788
struct_120,-57.476732758992
struct_121,-57.47472767467
struct_122,-57.468863147192
struct_123,-57.473494290588
struct_124,-57.474058692954
struct_125,-57.468916041769
struct_126,-57.473728280797
struct_127,-57.482052139325
struct_128,-57.474761972626
struct_129,-57.470861528516
struct_130,-57.473528506581
struct_131,-57.473298779356
struct_132,-57.477263463516
struct_133,-57.473344493838
struct_134,-57.47623750597
struct_135,-57.472659718688
struct_136,-57.468559646069
struct_137,-57.474548088046
struct_138,-57.475398326159
struct_139,-57.475528129153
struct_140,-57.46924665315
struct_141,-57.473423234948
struct_142,-57.477852442964
struct_143,-57.467270224067
struct_144,-57.476144899838
struct_145,-57.476739361967
struct_146,-57.470664714293
struct_147,-57.473269793684
struct_148,-57.477764890353
struct_149,-57.476391961384
struct_150,-57.468124030898
struct_151,-57.473321474516
struct_152,-57.46542358972
struct_153,-57.470313595958
struct_154,-57.482860662939
struct_155,-57.476322617648
struct_156,-57.465449885513
struct_157,-57.465695083366
struct_158,-57.472495225381
struct_159,-57.477292168133
struct_160,-57.47271696236
struct_161,-57.467486487116
struct_162,-57.467866538286
struct_163,-57.469970724133
struct_164,-57.470468726542
struct_165,-57.472586027815
struct_166,-57.468616119076
struct_167,-57.471344318922
struct_168,-57.47357096057
struct_169,-57.483097202256
struct_170,-57.474740311181
struct_171,-57.471213397575
struct_172,-57.47169114675
struct_173,-57.472592851972
struct_174,-57.471943697898
struct_175,-57.470591499208
struct_176,-57.469202377656
struct_177,-57.478978786068
struct_178,-57.473757388755
struct_179,-57.471821519274
struct_180,-57.472122325203
struct_181,-57.476793653211
struct_182,-57.477731235691
struct_183,-57.468669420779
struct_184,-57.471022964972
struct_185,-57.47132200621
struct_186,-57.465901514483
struct_187,-57.473652846121
struct_188,-57.472522145067
struct_189,-57.474595761176
struct_190,-57.466596841147
struct_191,-57.472299985474
struct_192,-57.475549111156
struct_193,-57.46637932957
struct_194,-57.471687228405
struct_195,-57.471538166208
struct_196,-57.47489753075
struct_197,-57.473583352064
struct_198,-57.472505502516
struct_199,-57.470652284593
struct_200,-57.468634745377
struct_201,-57.477508077342
struct_202,-57.476603485732
struct_203,-57.474522648684
struct_204,-57.468396613889
struct_205,-57.474290730405
struct_206,-57.476859518066
struct_207,-57.470562533206
struct_208,-57.476034318596
struct_209,-57.466987905973
struct_210,-57.470245175837
struct_211,-57.476701084437
struct_212,-57.468194091229
struct_213,-57.470942759504
struct_214,-57.471473128299
struct_215,-57.475375193743
struct_216,-57.47162697926
struct_217,-57.469514819988
struct_218,-57.471295040183
struct_219,-57.466631351724
struct_220,-57.470248922629
struct_221,-57.471389769006
struct_222,-57.47331025852
struct_223,-57.471418925928
struct_224,-57.471307025786
struct_225,-57.47378214827
struct_226,-57.469795661465
struct_227,-57.468933120145
struct_228,-57.475388386106
struct_229,-57.479478960101
struct_230,-57.469012136908
struct_231,-57.472563905363
struct_232,-57.47139006138
struct_233,-57.470460901332
struct_234,-57.47211437946
struct_235,-57.468209875139
struct_236,-57.473651409065
struct_237,-57.48111202018
struct_238,-57.476926319307
struct_239,-57.466200472819
struct_240,-57.470176005109
struct_241,-57.477895253678
struct_242,-57.470489141184
struct_243,-57.468769082955
struct_244,-57.476457519069
struct_245,-57.4716715414
struct_246,-57.465638689168
struct_247,-57.471880472426
struct_248,-57.476037315125
struct_249,-57.469888018636
struct_250,-57.46112739594
struct_251,-57.476507755213
struct_252,-57.472580049349
struct_253,-57.471212292328
struct_254,-57.471946844889
struct_255,-57.476272744196
struct_256,-57.47498811167
struct_257,-57.475571407313
struct_258,-57.472321108201
struct_259,-57.466854717386
struct_260,-57.464996005139
struct_261,-57.481752676993
struct_262,-57.475575554644
struct_263,-57.464643128959
struct_264,-57.472968359194
struct_265,-57.471507006726
struct_266,-57.478496458863
struct_267,-57.476766610685
struct_268,-57.476602179282
struct_269,-57.470073107394
struct_270,-57.470712749571
struct_271,-57.475960724509
struct_272,-57.466003429195
struct_273,-57.472119027755
struct_274,-57.481293044552
struct_275,-57.479426974554
struct_276,-57.469296832389
struct_277,-57.473466989025
struct_278,-57.475485220933
struct_279,-57.469076523692
struct_280,-57.474681865405
struct_281,-57.473254699352
struct_282,-57.471953783258
