,Energy (kcal/mol)
struct_0,-45.994367465389
struct_1,-45.976423487769
struct_2,-45.976596660018
struct_3,-45.977424140004
struct_4,-45.979503402915
struct_5,-45.980015432272
struct_6,-45.979295071792
struct_7,-45.973495418055
struct_8,-45.971439445866
struct_9,-45.975659730921
struct_10,-45.981528889938
struct_11,-45.973223234783
struct_12,-45.974628515298
struct_13,-45.979023302409
struct_14,-45.973426111466
struct_15,-45.974616285087
struct_16,-45.970927846661
struct_17,-45.979013350446
struct_18,-45.972154395878
struct_19,-45.974589719316
struct_20,-45.976432790665
struct_21,-45.974157447137
struct_22,-45.978270860443
struct_23,-45.97882245708
struct_24,-45.981108321263
struct_25,-45.976063602991
struct_26,-45.979969036828
struct_27,-45.982014881187
struct_28,-45.974916922185
struct_29,-45.975404197335
struct_30,-45.984577889931
struct_31,-45.975803278118
struct_32,-45.974756872988
struct_33,-45.977651525119
struct_34,-45.977352457301
struct_35,-45.977389197948
struct_36,-45.97811008531
struct_37,-45.972492241701
struct_38,-45.977016506445
struct_39,-45.974201384252
struct_40,-45.980502039228
struct_41,-45.969444451206
struct_42,-45.976075006467
struct_43,-45.977259327301
struct_44,-45.975796007567
struct_45,-45.971582836044
struct_46,-45.970530158184
struct_47,-45.984967649035
struct_48,-45.969907904151
struct_49,-45.980102135694
struct_50,-45.977385323361
struct_51,-45.974436497849
struct_52,-45.97736057706
struct_53,-45.979302693512
struct_54,-45.976453885062
struct_55,-45.973660838089
struct_56,-45.97642547358
struct_57,-45.981186777294
struct_58,-45.97474170093
struct_59,-45.975417694861
struct_60,-45.981873614509
struct_61,-45.977453244857
struct_62,-45.970691492939
struct_63,-45.975587322739
struct_64,-45.982994855186
struct_65,-45.981457348121
struct_66,-45.978867034433
struct_67,-45.979682131465
struct_68,-45.980120871611
struct_69,-45.973337424868
struct_70,-45.983837754178
struct_71,-45.976577885147
struct_72,-45.968700419756
struct_73,-45.974836043738
struct_74,-45.981238026598
struct_75,-45.978999251109
struct_76,-45.970230831034
struct_77,-45.975161666275
struct_78,-45.97471912172
struct_79,-45.973159478536
struct_80,-45.972352377571
struct_81,-45.980591723518
struct_82,-45.975083609284
struct_83,-45.974767339575
struct_84,-45.975040783156
struct_85,-45.975150467149
struct_86,-45.980287376861
struct_87,-45.976504251996
struct_88,-45.972206043053
struct_89,-45.974404225014
struct_90,-45.977832263095
struct_91,-45.988244742527
struct_92,-45.974942227419
struct_93,-45.971313056405
struct_94,-45.982728551372
struct_95,-45.977003477886
struct_96,-45.974340326416
struct_97,-45.979035813082
struct_98,-45.975867644766
struct_99,-45.974019068922
struct_100,-45.976601457667
struct_101,-45.978920896318
struct_102,-45.979103007334
struct_103,-45.975997560612
struct_104,-45.979140830558
struct_105,-45.977876655533
struct_106,-45.973246542689
struct_107,-45.975972884122
struct_108,-45.977752065108
struct_109,-45.972045398441
struct_110,-45.971997656969
struct_111,-45.976075856294
struct_112,-45.984666611343
struct_113,-45.977347948351
struct_114,-45.97059949868
struct_115,-45.972936229658
struct_116,-45.982740682717
struct_117,-45.977880453059
struct_118,-45.976224207175
struct_119,-45.976334127955
struct_120,-45.977841310433
struct_121,-45.974460020603
struct_122,-45.97797295869
struct_123,-45.976708699768
struct_124,-45.978543711728
struct_125,-45.974833640052
struct_126,-45.975091880097
struct_127,-45.979679768991
struct_128,-45.973560895452
struct_129,-45.980712037937
struct_130,-45.979435863088
struct_131,-45.972692923094
struct_132,-45.984004176684
struct_133,-45.981794079534
struct_134,-45.969703471096
struct_135,-45.976603491706
struct_136,-45.978012736411
struct_137,-45.979035857065
struct_138,-45.978264694509
struct_139,-45.975798008806
struct_140,-45.974614449025
struct_141,-45.974302059892
struct_142,-45.983308362054
struct_143,-45.971771297233
struct_144,-45.973144454294
struct_145,-45.977711035069
struct_146,-45.982307563125
struct_147,-45.974937064475
struct_148,-45.969959578962
struct_149,-45.971744427214
struct_150,-45.982512820522
struct_151,-45.975387589007
struct_152,-45.973312040102
struct_153,-45.9786106099
struct_154,-45.975656302146
struct_155,-45.980785540491
struct_156,-45.977979612024
struct_157,-45.980969619883
struct_158,-45.971871322891
struct_159,-45.978685458313
struct_160,-45.976170402343
struct_161,-45.976149628733
struct_162,-45.975706567958
struct_163,-45.973297238652
struct_164,-45.977933522198
struct_165,-45.972384770432
struct_166,-45.976895305337
struct_167,-45.980627544285
struct_168,-45.971279947071
struct_169,-45.970887221289
struct_170,-45.980682272137
struct_171,-45.977655096402
struct_172,-45.973697960044
struct_173,-45.975176871043
struct_174,-45.983523110874
struct_175,-45.971957915634
struct_176,-45.985425487009
struct_177,-45.976368240534
struct_178,-45.969910308895
struct_179,-45.973062450358
struct_180,-45.975196951703
struct_181,-45.974473845664
struct_182,-45.972736487973
struct_183,-45.978388981663
struct_184,-45.978858662739
struct_185,-45.979593470029
struct_186,-45.975134339724
struct_187,-45.976084564709
struct_188,-45.979743009206
struct_189,-45.975592629261
struct_190,-45.977599198376
struct_191,-45.978856584825
struct_192,-45.976226330166
struct_193,-45.980520113908
struct_194,-45.979045489947
struct_195,-45.974272596362
struct_196,-45.97816795644
struct_197,-45.9775370443
struct_198,-45.974968348216
struct_199,-45.977193308531
struct_200,-45.978256504309
struct_201,-45.974698193509
struct_202,-45.972227236684
struct_203,-45.975478606036
struct_204,-45.975302680958
struct_205,-45.975771795916
struct_206,-45.975752351122
struct_207,-45.973697600876
struct_208,-45.982044439344
struct_209,-45.982866331754
struct_210,-45.980609820648
struct_211,-45.977403738998
struct_212,-45.970586260829
struct_213,-45.975580421913
struct_214,-45.975491203156
struct_215,-45.971729041807
struct_216,-45.971044328444
struct_217,-45.980778827599
struct_218,-45.976792532086
struct_219,-45.97590494568
struct_220,-45.977463994636
struct_221,-45.978087946728
struct_222,-45.97690177116
struct_223,-45.975376042131
struct_224,-45.972678888633
struct_225,-45.972638181507
struct_226,-45.978392254482
struct_227,-45.978855068379
struct_228,-45.984041533083
struct_229,-45.981180821018
struct_230,-45.975137108372
struct_231,-45.979823845689
struct_232,-45.974286487422
struct_233,-45.973967577024
struct_234,-45.97599736106
struct_235,-45.968173012862
struct_236,-45.974291930578
struct_237,-45.973414699138
struct_238,-45.979509279487
struct_239,-45.976964829953
struct_240,-45.978674411071
struct_241,-45.976729568431
struct_242,-45.974795882814
struct_243,-45.980645624905
struct_244,-45.977470131188
struct_245,-45.972343527257
struct_246,-45.972181614714
struct_247,-45.980181834633
struct_248,-45.977279286839
struct_249,-45.978606651731
struct_250,-45.972951565794
struct_251,-45.97760096922
struct_252,-45.97533469303
struct_253,-45.977660257988
struct_254,-45.979502594461
struct_255,-45.969707820285
struct_256,-45.968626401973
struct_257,-45.977673818558
struct_258,-45.983396714682
struct_259,-45.978483575328
struct_260,-45.981219642781
struct_261,-45.972976858464
struct_262,-45.970177007518
struct_263,-45.975970912426
struct_264,-45.977603043837
struct_265,-45.97482897531
struct_266,-45.975142863382
struct_267,-45.971485920749
struct_268,-45.987857670929
struct_269,-45.974615384965
struct_270,-45.979737167569
struct_271,-45.974138192052
struct_272,-45.973996691958
struct_273,-45.977738555745
struct_274,-45.977687916055
struct_275,-45.978145381235
struct_276,-45.97086890263
struct_277,-45.977717216199
struct_278,-45.976467511785
struct_279,-45.981720872677
struct_280,-45.973802107778
struct_281,-45.978614349527
struct_282,-45.976951718162
struct_283,-45.97023289355
struct_284,-45.977158015375
struct_285,-45.983906213493
struct_286,-45.976594607222
struct_287,-45.975901305438
struct_288,-45.973564863195
struct_289,-45.977506683378
struct_290,-45.978571433893
struct_291,-45.979125650533
struct_292,-45.97936420017
struct_293,-45.973576728799
struct_294,-45.974213394771
struct_295,-45.979884234649
struct_296,-45.978535015274
struct_297,-45.973176726542
struct_298,-45.979826434763
struct_299,-45.972432129195
struct_300,-45.981287229137
struct_301,-45.97817371832
struct_302,-45.976962901109
struct_303,-45.972465077239
struct_304,-45.975848752195
struct_305,-45.977596646736
struct_306,-45.969774922214
struct_307,-45.973687114288
struct_308,-45.972799339456
struct_309,-45.982843724864
struct_310,-45.974025285995
struct_311,-45.976762929492
struct_312,-45.974910409918
struct_313,-45.977680878409
struct_314,-45.978303825424
struct_315,-45.972370103162
struct_316,-45.973469055063
struct_317,-45.97252906282
struct_318,-45.978480688521
struct_319,-45.982797569788
struct_320,-45.976551137388
struct_321,-45.977167917812
struct_322,-45.977577911145
struct_323,-45.97264439979
struct_324,-45.978534503056
struct_325,-45.974634547526
struct_326,-45.972959624698
struct_327,-45.971823638841
struct_328,-45.969382618634
struct_329,-45.98139952315
struct_330,-45.984373998141
struct_331,-45.974245169093
struct_332,-45.969956292389
struct_333,-45.978389890302
struct_334,-45.977654111218
struct_335,-45.977486992696
struct_336,-45.973419234378
struct_337,-45.973663679338
struct_338,-45.976119425849
struct_339,-45.977624589285
struct_340,-45.977988042091
struct_341,-45.977330970086
struct_342,-45.977495414331
struct_343,-45.980178960575
struct_344,-45.97250275682
struct_345,-45.971941101814
struct_346,-45.978521926746
struct_347,-45.972077956451
struct_348,-45.976194082338
struct_349,-45.977838025772
struct_350,-45.972907188501
struct_351,-45.981954415224
struct_352,-45.975740040525
struct_353,-45.97480001526
struct_354,-45.976795474811
struct_355,-45.976413869601
struct_356,-45.977930721216
struct_357,-45.976781479572
struct_358,-45.97008017452
struct_359,-45.978382541021
struct_360,-45.979398395847
struct_361,-45.974954561355
struct_362,-45.971133634646
struct_363,-45.978845856355
struct_364,-45.976966791539
struct_365,-45.977973234699
struct_366,-45.973530288369
struct_367,-45.97337472611
struct_368,-45.979232033499
struct_369,-45.976092153545
struct_370,-45.978172429585
struct_371,-45.973531234103
struct_372,-45.977274989104
struct_373,-45.982869291674
struct_374,-45.970584572093
struct_375,-45.973816816508
struct_376,-45.980489983928
struct_377,-45.97547716683
struct_378,-45.978013136981
struct_379,-45.977389248058
struct_380,-45.979030771179
struct_381,-45.977871985534
struct_382,-45.972783207512
struct_383,-45.976077811825
struct_384,-45.981988757428
struct_385,-45.974759667413
struct_386,-45.975977995805
struct_387,-45.974515915979
struct_388,-45.9763708339
struct_389,-45.983906632505
struct_390,-45.970621577635
struct_391,-45.975709795709
struct_392,-45.975512225817
struct_393,-45.973651474292
struct_394,-45.986692298582
struct_395,-45.978336974021
struct_396,-45.966999133167
struct_397,-45.977245689669
struct_398,-45.979824458728
struct_399,-45.973533919551
struct_400,-45.972909700662
struct_401,-45.982169841831
struct_402,-45.975085763265
struct_403,-45.977955878485
struct_404,-45.97231802915
struct_405,-45.974099155837
struct_406,-45.983176267456
struct_407,-45.970080839687
struct_408,-45.970182566324
struct_409,-45.978145738589
struct_410,-45.97784361098
struct_411,-45.976173034405
struct_412,-45.978965365814
struct_413,-45.973501189375
struct_414,-45.971613371718
struct_415,-45.982343051562
struct_416,-45.979452570786
struct_417,-45.974105058219
struct_418,-45.977703297449
struct_419,-45.97799425532
struct_420,-45.98137706737
struct_421,-45.975009160008
struct_422,-45.971624502518
struct_423,-45.978687966237
struct_424,-45.972610471059
struct_425,-45.977685711845
struct_426,-45.975403839478
struct_427,-45.978908074498
struct_428,-45.97535760924
struct_429,-45.977680257728
struct_430,-45.976208163256
struct_431,-45.981658135711
struct_432,-45.976318254381
struct_433,-45.964254540897
struct_434,-45.977315440074
struct_435,-45.975624172785
struct_436,-45.979015584091
struct_437,-45.977678077196
struct_438,-45.970715684882
struct_439,-45.977480155342
struct_440,-45.975410192007
struct_441,-45.976618095499
struct_442,-45.97406140806
struct_443,-45.977402056218
struct_444,-45.973496433486
struct_445,-45.983700927793
struct_446,-45.97736982648
struct_447,-45.974086583079
struct_448,-45.974882130933
struct_449,-45.975161493271
struct_450,-45.980053270032
struct_451,-45.972845087243
struct_452,-45.970737890714
struct_453,-45.977589209489
struct_454,-45.976477613891
struct_455,-45.980945127167
struct_456,-45.979138041639
struct_457,-45.976917706417
struct_458,-45.971292535162
struct_459,-45.981648570178
struct_460,-45.972069289384
struct_461,-45.975177804416
struct_462,-45.974176938503
struct_463,-45.97718705566
struct_464,-45.985842803011
struct_465,-45.972243881329
struct_466,-45.97642613935
struct_467,-45.980131978705
struct_468,-45.969680344182
struct_469,-45.978104526482
struct_470,-45.973226665792
struct_471,-45.976066606926
struct_472,-45.983973025364
struct_473,-45.971442879651
struct_474,-45.982936747911
struct_475,-45.978129714572
struct_476,-45.969446802336
struct_477,-45.980423490375
struct_478,-45.974999201242
struct_479,-45.97318048338
struct_480,-45.979320255093
struct_481,-45.970615330181
struct_482,-45.97865098692
struct_483,-45.978888732903
struct_484,-45.982249588131
struct_485,-45.972386809463
struct_486,-45.983650314528
struct_487,-45.966867847863
struct_488,-45.978064105218
struct_489,-45.978474805879
struct_490,-45.973063100483
struct_491,-45.980875965789
struct_492,-45.98007415056
struct_493,-45.973123263427
struct_494,-45.979801030329
struct_495,-45.971552770222
struct_496,-45.975586581533
struct_497,-45.97806465701
struct_498,-45.977242242554
struct_499,-45.980155330048
struct_500,-45.97649457201
struct_501,-45.97241187985
struct_502,-45.974519876649
struct_503,-45.973753210809
struct_504,-45.974262171735
struct_505,-45.978961579382
struct_506,-45.97498449626
struct_507,-45.982200520955
struct_508,-45.977350567169
struct_509,-45.978045052058
struct_510,-45.977068453585
struct_511,-45.976979775574
struct_512,-45.973830136815
struct_513,-45.979518768199
struct_514,-45.970608573506
struct_515,-45.977833580025
struct_516,-45.972917356168
struct_517,-45.978401619796
struct_518,-45.979062972719
struct_519,-45.976863214639
struct_520,-45.977589246753
struct_521,-45.987955405236
struct_522,-45.978132736087
struct_523,-45.977707465788
struct_524,-45.971234526809
struct_525,-45.977932070921
struct_526,-45.978952508159
struct_527,-45.970673543439
struct_528,-45.980007583164
struct_529,-45.976804852019
struct_530,-45.971371073785
struct_531,-45.97720023666
struct_532,-45.977730690683
struct_533,-45.977711127899
struct_534,-45.980273035314
struct_535,-45.977785182377
struct_536,-45.975051418744
struct_537,-45.980253726968
struct_538,-45.981921742814
struct_539,-45.978716336102
struct_540,-45.977297653564
struct_541,-45.970893216919
struct_542,-45.980754359439
struct_543,-45.985232246532
struct_544,-45.983143551412
struct_545,-45.975737161202
struct_546,-45.980909213131
struct_547,-45.976457079144
struct_548,-45.977715923596
struct_549,-45.980717263172
struct_550,-45.970370477061
struct_551,-45.975378180813
struct_552,-45.979245610292
struct_553,-45.975413865906
struct_554,-45.979808652132
struct_555,-45.978862465971
struct_556,-45.972784424714
struct_557,-45.9796550548
struct_558,-45.97330739413
struct_559,-45.974977037194
struct_560,-45.975504912163
struct_561,-45.980520549158
struct_562,-45.974331782536
struct_563,-45.980099925058
struct_564,-45.975094322812
struct_565,-45.980358954623
struct_566,-45.976375182805
struct_567,-45.978344925591
struct_568,-45.97349702871
struct_569,-45.978262017594
struct_570,-45.972415296499
struct_571,-45.971640838747
struct_572,-45.981170461593
struct_573,-45.981967987088
struct_574,-45.97715390724
struct_575,-45.974311365946
struct_576,-45.97754958986
struct_577,-45.977298245985
struct_578,-45.98048102832
struct_579,-45.97393401907
struct_580,-45.97382266804
struct_581,-45.974552916525
struct_582,-45.971685928603
struct_583,-45.984048993687
struct_584,-45.977897464484
struct_585,-45.96849579302
struct_586,-45.978563037575
struct_587,-45.97416566672
struct_588,-45.978074730768
struct_589,-45.980549573001
struct_590,-45.976477514403
struct_591,-45.973252709086
struct_592,-45.980457316216
struct_593,-45.980598231345
struct_594,-45.978587549905
struct_595,-45.975060111143
struct_596,-45.977223106489
struct_597,-45.979723425549
struct_598,-45.978137413765
struct_599,-45.975188737802
struct_600,-45.97407302548
struct_601,-45.982271591657
struct_602,-45.977487298744
struct_603,-45.97003191038
struct_604,-45.971475665313
struct_605,-45.976911465444
struct_606,-45.977388689658
struct_607,-45.975045874986
struct_608,-45.978744986067
struct_609,-45.973726182263
struct_610,-45.986810585267
struct_611,-45.972963610573
struct_612,-45.970225610571
struct_613,-45.980245592743
struct_614,-45.976905996252
struct_615,-45.970401798689
struct_616,-45.979590757085
struct_617,-45.980257473881
struct_618,-45.977364604587
struct_619,-45.976516120131
struct_620,-45.972923334461
struct_621,-45.976507736095
struct_622,-45.981344849802
struct_623,-45.974008696307
struct_624,-45.971727765291
struct_625,-45.976626447029
struct_626,-45.9760793133
struct_627,-45.981565256993
struct_628,-45.981664075203
struct_629,-45.971972237985
struct_630,-45.975224576954
struct_631,-45.975385041858
struct_632,-45.974801250276
struct_633,-45.9850696311
struct_634,-45.973846124185
struct_635,-45.978442659083
struct_636,-45.973339795647
struct_637,-45.980358634037
struct_638,-45.979072467918
struct_639,-45.97486100235
struct_640,-45.97672070485
struct_641,-45.973567120981
struct_642,-45.978263631087
struct_643,-45.97343984143
struct_644,-45.977004676628
struct_645,-45.971636097267
struct_646,-45.97591544974
struct_647,-45.975918786112
struct_648,-45.978997558634
struct_649,-45.973350273594
struct_650,-45.978313899588
struct_651,-45.974444805211
struct_652,-45.978282471756
struct_653,-45.978821070262
