,Energy (kcal/mol)
struct_0,-47.810242808687
struct_1,-47.805545589981
struct_2,-47.826259920291
struct_3,-47.807369338469
struct_4,-47.816135438675
struct_5,-47.82302158043
struct_6,-47.817121799809
struct_7,-47.81719296144
struct_8,-47.829586208338
struct_9,-47.814451006679
struct_10,-47.813807481423
struct_11,-47.821583040864
struct_12,-47.822618875324
struct_13,-47.821000032019
struct_14,-47.820906971887
struct_15,-47.819789224048
struct_16,-47.82421397876
struct_17,-47.82767921818
struct_18,-47.815835431111
struct_19,-47.822759703064
struct_20,-47.818846534751
struct_21,-47.824590823194
struct_22,-47.832140235447
struct_23,-47.823035420305
struct_24,-47.815462489009
struct_25,-47.829216610907
struct_26,-47.827727278098
struct_27,-47.838850175565
struct_28,-47.835292998189
struct_29,-47.828895544824
struct_30,-47.83279767168
struct_31,-47.843942455
struct_32,-47.838064985721
struct_33,-47.840369116216
struct_34,-47.826680077879
struct_35,-47.829969861316
struct_36,-47.834514196993
struct_37,-47.832208444685
struct_38,-47.837074379076
struct_39,-47.834542164633
struct_40,-47.835307427995
struct_41,-47.835842624746
struct_42,-47.832696846802
struct_43,-47.836215824397
struct_44,-47.837259594258
struct_45,-47.838941608942
struct_46,-47.841170836836
struct_47,-47.834445456283
struct_48,-47.838470509566
struct_49,-47.831661576195
struct_50,-47.840288355076
struct_51,-47.847506160306
struct_52,-47.833636842967
struct_53,-47.835494556504
struct_54,-47.832838233506
struct_55,-47.838432772784
struct_56,-47.836169340661
struct_57,-47.838929017656
struct_58,-47.834398620322
struct_59,-47.844099373501
struct_60,-47.829642233372
struct_61,-47.83884296998
struct_62,-47.83754399468
struct_63,-47.843621427974
struct_64,-47.83743716806
struct_65,-47.840734677683
struct_66,-47.835444986651
struct_67,-47.837521463162
struct_68,-47.829314772449
struct_69,-47.837756907501
struct_70,-47.839203775887
struct_71,-47.839434540849
struct_72,-47.843028567899
struct_73,-47.846437653731
struct_74,-47.841092247126
struct_75,-47.841275806905
struct_76,-47.844968284554
struct_77,-47.838153533387
struct_78,-47.842192994541
struct_79,-47.837207747399
struct_80,-47.834921620423
struct_81,-47.851162400643
struct_82,-47.84004251978
struct_83,-47.838348319905
struct_84,-47.843924575798
struct_85,-47.838114921705
struct_86,-47.843222901826
struct_87,-47.837627043023
struct_88,-47.850241685048
struct_89,-47.843167192583
struct_90,-47.834518080339
struct_91,-47.836992396414
struct_92,-47.843294936431
struct_93,-47.836085806302
struct_94,-47.839204578841
struct_95,-47.840363699079
struct_96,-47.842712880665
struct_97,-47.846857814757
struct_98,-47.840725138681
struct_99,-47.837355448174
struct_100,-47.848004144944
struct_101,-47.838237219897
struct_102,-47.841102941255
struct_103,-47.846379082855
struct_104,-47.844078696148
struct_105,-47.839856792276
struct_106,-47.840152401153
struct_107,-47.839959902671
struct_108,-47.837761361292
struct_109,-47.842422471326
struct_110,-47.840188063474
struct_111,-47.84915826286
struct_112,-47.840592483369
struct_113,-47.845469391071
struct_114,-47.847527174409
struct_115,-47.844880172745
struct_116,-47.842790258781
struct_117,-47.840334499974
struct_118,-47.850086427973
struct_119,-47.846818345903
struct_120,-47.845417345898
struct_121,-47.843530419371
struct_122,-47.839824918439
struct_123,-47.838684391172
struct_124,-47.834624241082
struct_125,-47.83584932243
struct_126,-47.835849123868
struct_127,-47.839172010206
struct_128,-47.840690204032
struct_129,-47.837417719608
struct_130,-47.8448763573
struct_131,-47.845418595415
struct_132,-47.841863326625
struct_133,-47.841489356298
struct_134,-47.845975090369
struct_135,-47.839918463118
struct_136,-47.837664486813
struct_137,-47.842404611949
struct_138,-47.8413625205
struct_139,-47.838143605443
struct_140,-47.84356314448
struct_141,-47.834605673875
struct_142,-47.836044709809
struct_143,-47.844037890173
struct_144,-47.845726327925
struct_145,-47.844569102126
struct_146,-47.842848985271
struct_147,-47.844095619867
struct_148,-47.841550932586
struct_149,-47.841686882007
struct_150,-47.834521849823
struct_151,-47.845450495088
struct_152,-47.840083504969
struct_153,-47.844096828998
struct_154,-47.841735840896
struct_155,-47.844762042991
struct_156,-47.845966700404
struct_157,-47.839524548437
struct_158,-47.841495286433
struct_159,-47.838005808237
struct_160,-47.837520383572
struct_161,-47.839115470912
struct_162,-47.838228640077
struct_163,-47.844291010484
struct_164,-47.841825633038
struct_165,-47.84492194478
struct_166,-47.844634620001
struct_167,-47.844325556178
struct_168,-47.844243760014
struct_169,-47.842486079413
struct_170,-47.842194291943
struct_171,-47.83868722505
struct_172,-47.846112884474
struct_173,-47.83973462456
struct_174,-47.840528225321
struct_175,-47.845009042105
struct_176,-47.846625896024
struct_177,-47.836728582015
struct_178,-47.844089194264
struct_179,-47.846745592495
struct_180,-47.846276914945
struct_181,-47.845017330009
struct_182,-47.839541485383
struct_183,-47.841725734825
struct_184,-47.843036257944
struct_185,-47.844674982809
struct_186,-47.842682942146
struct_187,-47.846587451638
struct_188,-47.844077320945
struct_189,-47.842222624073
struct_190,-47.84247876477
struct_191,-47.845940026502
struct_192,-47.847502835442
struct_193,-47.838781812121
struct_194,-47.845588096577
struct_195,-47.843927541843
struct_196,-47.840585282824
struct_197,-47.841671854254
struct_198,-47.847077309313
struct_199,-47.845328921737
struct_200,-47.84507475846
struct_201,-47.841332211383
struct_202,-47.837252112454
struct_203,-47.849233346736
struct_204,-47.842233728879
struct_205,-47.841093400693
struct_206,-47.845707790749
struct_207,-47.847537420475
struct_208,-47.845794808075
struct_209,-47.83932395134
struct_210,-47.841591312835
struct_211,-47.841882026158
struct_212,-47.838646892106
struct_213,-47.848474976106
struct_214,-47.845820611964
struct_215,-47.840665988553
struct_216,-47.842796293694
struct_217,-47.842616274839
struct_218,-47.844500424823
struct_219,-47.845501380831
struct_220,-47.840439027153
struct_221,-47.845789806111
struct_222,-47.839691382482
struct_223,-47.840356580934
struct_224,-47.835761041505
struct_225,-47.844703527957
struct_226,-47.847024235747
struct_227,-47.844113430712
struct_228,-47.836601809818
struct_229,-47.845121704579
struct_230,-47.840687238379
struct_231,-47.840930109962
struct_232,-47.836731378035
struct_233,-47.848239047582
struct_234,-47.844597968094
struct_235,-47.840949298429
struct_236,-47.845632211443
struct_237,-47.850585762819
struct_238,-47.831407370432
struct_239,-47.841710045692
struct_240,-47.85240834766
struct_241,-47.845520276639
struct_242,-47.84177058147
struct_243,-47.846163461677
struct_244,-47.835942994043
struct_245,-47.848970665526
struct_246,-47.840061635707
struct_247,-47.843166996225
struct_248,-47.846375001443
struct_249,-47.842515538269
struct_250,-47.847372470428
struct_251,-47.840250583122
struct_252,-47.839364969006
struct_253,-47.847206865086
struct_254,-47.845011812793
struct_255,-47.833665971892
struct_256,-47.845295757302
struct_257,-47.851667452418
struct_258,-47.836153862406
struct_259,-47.839311254661
struct_260,-47.849067290248
struct_261,-47.843907341496
struct_262,-47.845759611481
struct_263,-47.846978798027
struct_264,-47.842009353721
struct_265,-47.84838542732
struct_266,-47.837775492993
struct_267,-47.841469940548
struct_268,-47.840577228876
struct_269,-47.843348726546
struct_270,-47.846537926658
struct_271,-47.839805376304
struct_272,-47.843836352636
struct_273,-47.852617906667
struct_274,-47.837171661713
struct_275,-47.846387026719
struct_276,-47.843844174363
struct_277,-47.845484233664
struct_278,-47.844001894446
struct_279,-47.846018665604
struct_280,-47.839434275449
struct_281,-47.844012082754
struct_282,-47.84042142909
struct_283,-47.851027952561
struct_284,-47.844179517601
struct_285,-47.842022839444
struct_286,-47.842733802088
struct_287,-47.839472307524
struct_288,-47.839200407145
struct_289,-47.848715516461
struct_290,-47.841704555971
struct_291,-47.837841223369
struct_292,-47.849765759963
struct_293,-47.844274224209
struct_294,-47.846219812948
struct_295,-47.848351053466
struct_296,-47.83783048318
struct_297,-47.843088786038
struct_298,-47.840882486778
struct_299,-47.842808340001
struct_300,-47.839814981627
struct_301,-47.841597725743
struct_302,-47.841367834713
struct_303,-47.841493830443
struct_304,-47.845178774534
struct_305,-47.849423232955
struct_306,-47.847595616423
struct_307,-47.843206059546
struct_308,-47.837398502006
struct_309,-47.838849937239
struct_310,-47.847059323961
struct_311,-47.844908987888
struct_312,-47.837398454763
struct_313,-47.843680051842
struct_314,-47.846264347722
struct_315,-47.845977481068
struct_316,-47.843633105778
struct_317,-47.843423553727
struct_318,-47.840085636895
struct_319,-47.845702479131
struct_320,-47.837385255156
struct_321,-47.848886857907
struct_322,-47.838728649301
struct_323,-47.843204653475
struct_324,-47.842132045753
struct_325,-47.842160619146
struct_326,-47.850120722703
struct_327,-47.842334468582
struct_328,-47.846601284578
struct_329,-47.845488209562
struct_330,-47.840395675082
struct_331,-47.840127106352
struct_332,-47.853814275442
struct_333,-47.845263192436
struct_334,-47.838063411063
struct_335,-47.839544545642
struct_336,-47.844075260835
struct_337,-47.841137560159
struct_338,-47.843208045801
struct_339,-47.842898166568
struct_340,-47.841311455512
struct_341,-47.836802445806
struct_342,-47.842802532778
struct_343,-47.844400370768
struct_344,-47.844054127757
struct_345,-47.844601046317
struct_346,-47.842512298044
struct_347,-47.835784415033
struct_348,-47.842949512636
struct_349,-47.844216934906
struct_350,-47.844953196891
struct_351,-47.845402338286
struct_352,-47.846473436169
struct_353,-47.837329645946
struct_354,-47.848332126369
struct_355,-47.840874813578
struct_356,-47.840239204993
struct_357,-47.848762507694
struct_358,-47.842016114645
struct_359,-47.838257673029
struct_360,-47.844410981586
struct_361,-47.845202484749
struct_362,-47.843671179187
struct_363,-47.839374155987
struct_364,-47.837423189797
struct_365,-47.844668895557
struct_366,-47.850953818636
struct_367,-47.840508141939
struct_368,-47.83878741277
struct_369,-47.847955979824
struct_370,-47.842802979121
struct_371,-47.846037834596
struct_372,-47.843872542508
struct_373,-47.842720448575
struct_374,-47.845161381784
struct_375,-47.840406519914
struct_376,-47.839602306066
struct_377,-47.846528020719
struct_378,-47.84780238234
struct_379,-47.849048976534
struct_380,-47.843595559585
struct_381,-47.837699821111
struct_382,-47.836522768766
struct_383,-47.84408172369
struct_384,-47.846179238216
struct_385,-47.840586740123
struct_386,-47.841682978029
struct_387,-47.842236534149
struct_388,-47.846440060855
struct_389,-47.842535996081
struct_390,-47.839360502389
struct_391,-47.843113143799
struct_392,-47.843273036565
struct_393,-47.838538693601
struct_394,-47.844267396234
struct_395,-47.84063336134
struct_396,-47.842143201583
struct_397,-47.851546921632
struct_398,-47.841730083673
struct_399,-47.846750713708
struct_400,-47.846593648014
struct_401,-47.842351461267
struct_402,-47.843553440711
struct_403,-47.840222535933
struct_404,-47.845127006517
struct_405,-47.843734652199
struct_406,-47.843179603058
struct_407,-47.83607529603
struct_408,-47.846140878048
struct_409,-47.850803035823
struct_410,-47.83600122479
struct_411,-47.847919917358
struct_412,-47.846966841402
struct_413,-47.841196058263
struct_414,-47.843546915801
struct_415,-47.837735749014
struct_416,-47.845676748621
struct_417,-47.842563169634
struct_418,-47.843537875709
struct_419,-47.838942390155
struct_420,-47.845448552932
struct_421,-47.850106254512
struct_422,-47.840405479064
struct_423,-47.843321768298
struct_424,-47.845869812291
struct_425,-47.837490270345
struct_426,-47.840180592555
struct_427,-47.838720288478
struct_428,-47.8399234145
struct_429,-47.843214102674
struct_430,-47.837880387796
struct_431,-47.849668466915
struct_432,-47.845187585182
struct_433,-47.835731170913
struct_434,-47.85414012991
struct_435,-47.844457872708
struct_436,-47.841404343463
struct_437,-47.848196597833
struct_438,-47.837675258082
struct_439,-47.84946259489
struct_440,-47.839407632623
struct_441,-47.841595144041
struct_442,-47.843971859758
struct_443,-47.841401089818
struct_444,-47.845868718926
struct_445,-47.841118043764
struct_446,-47.846057492093
struct_447,-47.838186897803
struct_448,-47.844072771837
struct_449,-47.84216489958
struct_450,-47.844386560062
struct_451,-47.840949879939
struct_452,-47.842827885861
struct_453,-47.83770265427
struct_454,-47.845212552544
struct_455,-47.846524093911
struct_456,-47.835035120405
struct_457,-47.853317530907
struct_458,-47.841072583433
struct_459,-47.841759411842
struct_460,-47.843454867239
struct_461,-47.841746346685
struct_462,-47.844967086359
struct_463,-47.841170823347
struct_464,-47.843192364104
struct_465,-47.845149963901
struct_466,-47.84299241954
struct_467,-47.847015069211
struct_468,-47.842853849205
struct_469,-47.845627257023
struct_470,-47.8442872512
struct_471,-47.844836633804
struct_472,-47.847673804374
struct_473,-47.838902517732
struct_474,-47.848178843319
struct_475,-47.839933991339
struct_476,-47.837900020445
struct_477,-47.840860605866
struct_478,-47.83984563386
struct_479,-47.84298236641
struct_480,-47.842583738866
struct_481,-47.851698400621
struct_482,-47.846584639331
struct_483,-47.850052323422
struct_484,-47.84393755637
struct_485,-47.845480630898
struct_486,-47.839272681648
struct_487,-47.842933483259
struct_488,-47.838558913204
struct_489,-47.843181186249
struct_490,-47.838480975971
struct_491,-47.834600880673
struct_492,-47.845353815213
struct_493,-47.845973006665
struct_494,-47.841646503837
struct_495,-47.847722708424
struct_496,-47.837545488486
struct_497,-47.84175341538
struct_498,-47.846409557029
struct_499,-47.841422430428
struct_500,-47.849901043236
struct_501,-47.838240620362
struct_502,-47.836874240329
struct_503,-47.844063350895
struct_504,-47.84805625728
struct_505,-47.84497576701
struct_506,-47.84784429634
struct_507,-47.848522671349
struct_508,-47.845967164901
struct_509,-47.834914495884
struct_510,-47.844147172003
struct_511,-47.840220932028
struct_512,-47.840640894344
struct_513,-47.839108252498
struct_514,-47.840588688257
struct_515,-47.844578303928
struct_516,-47.841693866733
struct_517,-47.845444686479
struct_518,-47.847457269046
struct_519,-47.841941213604
struct_520,-47.847254154545
struct_521,-47.846248811856
struct_522,-47.842013568018
struct_523,-47.838157893391
struct_524,-47.843529238966
struct_525,-47.839151509525
struct_526,-47.84733752749
struct_527,-47.843742555316
struct_528,-47.839936767843
struct_529,-47.842370644154
struct_530,-47.844453083275
struct_531,-47.846677967832
struct_532,-47.849313500126
struct_533,-47.843894556195
struct_534,-47.841714097438
struct_535,-47.838339442404
struct_536,-47.837779181218
struct_537,-47.840557104528
struct_538,-47.845688587564
struct_539,-47.842689599107
struct_540,-47.840745742276
struct_541,-47.843566055977
struct_542,-47.843372558244
struct_543,-47.843382283472
struct_544,-47.847563485694
struct_545,-47.839766655499
struct_546,-47.840276597858
struct_547,-47.844611559721
struct_548,-47.835961029202
struct_549,-47.842258682096
struct_550,-47.840731416894
struct_551,-47.841838987425
struct_552,-47.842540366045
struct_553,-47.840493987525
struct_554,-47.845385453265
struct_555,-47.839961444213
struct_556,-47.845636719971
struct_557,-47.842898203934
struct_558,-47.846490666056
struct_559,-47.846361960093
struct_560,-47.840649768382
struct_561,-47.840784321994
struct_562,-47.835628243448
struct_563,-47.846699011003
struct_564,-47.838576600678
struct_565,-47.846481668487
struct_566,-47.841916652082
struct_567,-47.844863507722
struct_568,-47.846878082492
struct_569,-47.841011519956
struct_570,-47.845418004658
struct_571,-47.841108451279
struct_572,-47.842256236465
struct_573,-47.839986623638
struct_574,-47.843307561339
struct_575,-47.842290044229
struct_576,-47.843721467473
struct_577,-47.845851093077
struct_578,-47.839379500162
struct_579,-47.846846208842
struct_580,-47.840198592473
struct_581,-47.847214577245
struct_582,-47.842379367364
struct_583,-47.843772815714
struct_584,-47.845996637703
struct_585,-47.844597515258
struct_586,-47.844398210993
struct_587,-47.83696355509
struct_588,-47.844111122295
struct_589,-47.842427829576
struct_590,-47.844873623474
struct_591,-47.845246102631
struct_592,-47.837322344152
struct_593,-47.848845681801
struct_594,-47.850565277095
struct_595,-47.841529165333
struct_596,-47.843236212845
struct_597,-47.847102925215
struct_598,-47.842865862533
struct_599,-47.846595015844
struct_600,-47.839775000291
struct_601,-47.841361870524
struct_602,-47.847562858846
struct_603,-47.84283027571
struct_604,-47.839793106302
struct_605,-47.84126706282
struct_606,-47.846337525115
struct_607,-47.853668964572
struct_608,-47.836541675682
struct_609,-47.847467652121
struct_610,-47.849331425064
struct_611,-47.843445254003
struct_612,-47.838615655258
struct_613,-47.847117997323
struct_614,-47.842957639825
struct_615,-47.846045505637
struct_616,-47.842832335383
struct_617,-47.836326447948
struct_618,-47.84814378235
struct_619,-47.841184657845
struct_620,-47.842832248573
struct_621,-47.845842469195
struct_622,-47.843148790739
struct_623,-47.848194064062
struct_624,-47.838933291085
struct_625,-47.844056063735
struct_626,-47.835930023881
struct_627,-47.847213245132
struct_628,-47.837176541289
struct_629,-47.843231263618
struct_630,-47.84393779004
struct_631,-47.840084746798
struct_632,-47.843191663491
struct_633,-47.845897783204
struct_634,-47.843951991054
struct_635,-47.835301262616
struct_636,-47.840277789008
struct_637,-47.847515933162
struct_638,-47.844177650169
struct_639,-47.837202495264
struct_640,-47.840836767983
struct_641,-47.844866900959
struct_642,-47.842418480829
struct_643,-47.845691333563
struct_644,-47.840050838502
struct_645,-47.843603803453
struct_646,-47.844944162852
struct_647,-47.848809917614
struct_648,-47.833910679877
struct_649,-47.839949812861
struct_650,-47.842721157878
struct_651,-47.844948213014
struct_652,-47.841278965156
struct_653,-47.837139683632
struct_654,-47.84529256859
struct_655,-47.841912825533
struct_656,-47.840731397848
struct_657,-47.842761157193
struct_658,-47.84722860228
struct_659,-47.846821324673
struct_660,-47.837243525603
struct_661,-47.848971235168
struct_662,-47.842768449175
struct_663,-47.844500161844
struct_664,-47.837166428905
struct_665,-47.84052517556
struct_666,-47.839019287937
struct_667,-47.849252209201
struct_668,-47.839299232472
struct_669,-47.842644257212
struct_670,-47.843713619358
struct_671,-47.839576244576
struct_672,-47.84013204388
struct_673,-47.847294237002
struct_674,-47.840376578678
struct_675,-47.839799437459
struct_676,-47.847307992
struct_677,-47.840671835178
struct_678,-47.843008894391
struct_679,-47.841257317677
struct_680,-47.842776016702
struct_681,-47.846349776866
struct_682,-47.833868605988
struct_683,-47.847567528608
struct_684,-47.84280074845
struct_685,-47.842145318946
struct_686,-47.843157315901
struct_687,-47.846154432425
struct_688,-47.843779240216
struct_689,-47.844117150833
struct_690,-47.837301672601
struct_691,-47.849128369437
struct_692,-47.8409166478
struct_693,-47.835085319216
struct_694,-47.845203722774
struct_695,-47.840384395596
struct_696,-47.842171681167
struct_697,-47.845317354206
struct_698,-47.84120165838
struct_699,-47.846641628361
struct_700,-47.839706681029
struct_701,-47.84486289885
struct_702,-47.839719222616
struct_703,-47.841680600802
struct_704,-47.843277337749
struct_705,-47.840297081133
struct_706,-47.848788598967
struct_707,-47.841572979942
struct_708,-47.837735195161
struct_709,-47.84917925289
struct_710,-47.844385010247
struct_711,-47.847594627562
struct_712,-47.842286459346
struct_713,-47.837497674105
struct_714,-47.840517393438
struct_715,-47.840923716048
struct_716,-47.838620710494
struct_717,-47.845513331698
struct_718,-47.836697353155
struct_719,-47.845277913878
struct_720,-47.843838867915
struct_721,-47.843965750546
struct_722,-47.849728721431
struct_723,-47.84080531285
struct_724,-47.840844593844
struct_725,-47.847428853572
struct_726,-47.839871400891
struct_727,-47.840686166407
struct_728,-47.844506200131
struct_729,-47.840896403055
struct_730,-47.843278813785
struct_731,-47.840560315054
struct_732,-47.845653517711
struct_733,-47.843968999826
struct_734,-47.841017499675
struct_735,-47.846786354999
struct_736,-47.84175577727
struct_737,-47.849156885653
struct_738,-47.845542638295
struct_739,-47.836246757827
struct_740,-47.844157808821
struct_741,-47.847271190399
struct_742,-47.841175070514
struct_743,-47.845144056677
struct_744,-47.842302505016
struct_745,-47.845370750305
struct_746,-47.848952047287
struct_747,-47.846087655519
struct_748,-47.847255368295
struct_749,-47.837338092657
struct_750,-47.841556776356
struct_751,-47.844403110427
struct_752,-47.846577754375
struct_753,-47.844148257808
struct_754,-47.843635660729
struct_755,-47.83580343316
struct_756,-47.845862247465
struct_757,-47.851058022602
struct_758,-47.842775977711
struct_759,-47.844294830863
struct_760,-47.841253287101
struct_761,-47.843273897107
struct_762,-47.844441585311
struct_763,-47.8414226907
struct_764,-47.844428611101
struct_765,-47.84026916481
struct_766,-47.849704653356
struct_767,-47.83749590084
struct_768,-47.846677876122
struct_769,-47.847134645486
struct_770,-47.842140515893
struct_771,-47.840083261297
struct_772,-47.847106941246
struct_773,-47.84413332249
struct_774,-47.849429681515
struct_775,-47.839173464336
struct_776,-47.844139874925
struct_777,-47.837419681357
struct_778,-47.846790087154
struct_779,-47.842810543704
struct_780,-47.848759539466
struct_781,-47.843564392087
struct_782,-47.84778716485
struct_783,-47.845962754755
struct_784,-47.839983489294
struct_785,-47.839570038289
struct_786,-47.848158939754
struct_787,-47.833460889131
struct_788,-47.852284526584
struct_789,-47.848717178375
struct_790,-47.842202660864
struct_791,-47.842810200267
struct_792,-47.836348200028
struct_793,-47.840893640019
struct_794,-47.845475953128
struct_795,-47.842504381508
struct_796,-47.83794922036
struct_797,-47.835598449426
struct_798,-47.843685164396
struct_799,-47.842643712249
struct_800,-47.83849152703
struct_801,-47.845394807211
struct_802,-47.845967314533
struct_803,-47.842773151968
struct_804,-47.845037450277
struct_805,-47.842870019391
struct_806,-47.842991515749
struct_807,-47.840232409889
struct_808,-47.843508885912
struct_809,-47.846382714843
struct_810,-47.840233698368
struct_811,-47.847096363484
struct_812,-47.839078335494
struct_813,-47.846568559754
struct_814,-47.841378184315
struct_815,-47.83670153672
struct_816,-47.846401475721
struct_817,-47.846010271524
struct_818,-47.845658428967
struct_819,-47.847904014556
struct_820,-47.830431263044
struct_821,-47.845564984365
struct_822,-47.846906290102
struct_823,-47.840412677642
struct_824,-47.846146555092
struct_825,-47.838921923901
struct_826,-47.844234369746
struct_827,-47.840233598285
struct_828,-47.843308156765
struct_829,-47.844790226439
struct_830,-47.841258915047
struct_831,-47.841595284568
struct_832,-47.847306870303
struct_833,-47.839443106206
struct_834,-47.846264546641
struct_835,-47.84361132968
struct_836,-47.841015468864
struct_837,-47.845133055424
struct_838,-47.843131591048
struct_839,-47.848587222891
struct_840,-47.839162750984
struct_841,-47.844037911985
struct_842,-47.843117189224
struct_843,-47.844236645727
struct_844,-47.84396082295
struct_845,-47.836178091228
struct_846,-47.840640421313
struct_847,-47.844974476166
struct_848,-47.837430685374
struct_849,-47.840369080962
struct_850,-47.836438514901
struct_851,-47.841545116924
struct_852,-47.845286582584
struct_853,-47.838949171851
struct_854,-47.83877311194
struct_855,-47.854027739935
struct_856,-47.842729784024
struct_857,-47.849704142017
struct_858,-47.842024125499
struct_859,-47.845825661041
struct_860,-47.841319477406
struct_861,-47.845045837297
struct_862,-47.842739005282
struct_863,-47.849444763258
struct_864,-47.840546793217
struct_865,-47.841971108495
struct_866,-47.837897794722
struct_867,-47.845153178228
struct_868,-47.842829406352
struct_869,-47.851418106599
struct_870,-47.836114881333
struct_871,-47.843207940294
struct_872,-47.841742305942
struct_873,-47.849319769961
struct_874,-47.837709640248
struct_875,-47.83654355438
struct_876,-47.844360846175
struct_877,-47.847402583171
struct_878,-47.841451722368
struct_879,-47.845019373166
struct_880,-47.844927571374
struct_881,-47.844954199792
struct_882,-47.841459356333
struct_883,-47.837090203821
struct_884,-47.846057694412
struct_885,-47.83752655281
struct_886,-47.839832670063
struct_887,-47.841973428633
struct_888,-47.845907786035
struct_889,-47.837241667576
struct_890,-47.838900504759
struct_891,-47.846798109619
struct_892,-47.843568821545
struct_893,-47.838017243893
struct_894,-47.835248303912
struct_895,-47.845379728981
struct_896,-47.842204409814
struct_897,-47.843336920523
struct_898,-47.842336894802
struct_899,-47.835686863492
