,Energy (kcal/mol)
struct_0,-50.514646716749
struct_1,-50.490105025753
struct_2,-50.487855685817
struct_3,-50.496700702684
struct_4,-50.496033804966
struct_5,-50.490685428232
struct_6,-50.500399560743
struct_7,-50.498088915195
struct_8,-50.494159988294
struct_9,-50.495737009362
struct_10,-50.497279860158
struct_11,-50.492027196472
struct_12,-50.493054573345
struct_13,-50.503711876792
struct_14,-50.501056169374
struct_15,-50.498639717242
struct_16,-50.494480944592
struct_17,-50.501471119834
struct_18,-50.493499199434
struct_19,-50.504364345987
struct_20,-50.50071335696
struct_21,-50.503417162518
struct_22,-50.50123357295
struct_23,-50.505277215947
struct_24,-50.501135999975
struct_25,-50.493993044034
struct_26,-50.499738878874
struct_27,-50.501860211705
struct_28,-50.501319461634
struct_29,-50.503115153024
struct_30,-50.499295435188
struct_31,-50.502728212529
struct_32,-50.497572651596
struct_33,-50.500888799359
struct_34,-50.503721014328
struct_35,-50.513149419578
struct_36,-50.499257366601
struct_37,-50.50057662517
struct_38,-50.503504650063
struct_39,-50.505137280299
struct_40,-50.504836886766
struct_41,-50.502404704383
struct_42,-50.50232590756
struct_43,-50.50552650516
struct_44,-50.497910126845
struct_45,-50.504821238362
struct_46,-50.504474477973
struct_47,-50.500238960893
struct_48,-50.503504572202
struct_49,-50.509118628248
struct_50,-50.506498848714
struct_51,-50.506308163224
struct_52,-50.505256724791
struct_53,-50.504465986847
struct_54,-50.503615142486
struct_55,-50.505866485914
struct_56,-50.501861348021
struct_57,-50.509419248387
struct_58,-50.500884231519
struct_59,-50.508719348878
struct_60,-50.508101660317
struct_61,-50.506843524352
struct_62,-50.508547629888
struct_63,-50.504881146475
struct_64,-50.506141559713
struct_65,-50.508010641537
struct_66,-50.510078647804
struct_67,-50.502511075068
struct_68,-50.505538376651
struct_69,-50.506080748813
struct_70,-50.510877297141
struct_71,-50.507869373175
struct_72,-50.505750799366
struct_73,-50.51039608962
struct_74,-50.509334273629
struct_75,-50.510481693264
struct_76,-50.509434757661
struct_77,-50.509916111961
struct_78,-50.507680753128
struct_79,-50.507268095384
struct_80,-50.506604359373
struct_81,-50.51062690149
struct_82,-50.504961243619
struct_83,-50.509003349991
struct_84,-50.511306159649
struct_85,-50.508799921388
struct_86,-50.513419214579
struct_87,-50.509155280768
struct_88,-50.511452224639
struct_89,-50.506810398305
struct_90,-50.505164848754
struct_91,-50.508407773515
struct_92,-50.516422425716
struct_93,-50.508879268254
struct_94,-50.507574465612
struct_95,-50.506518492979
struct_96,-50.510080442061
struct_97,-50.509096017749
struct_98,-50.512534847142
struct_99,-50.512239101004
struct_100,-50.508797806842
struct_101,-50.511293772875
struct_102,-50.507118081276
struct_103,-50.511632998331
struct_104,-50.510352079097
struct_105,-50.505546223533
struct_106,-50.508755451689
struct_107,-50.507458495563
struct_108,-50.509664617097
struct_109,-50.513291777216
struct_110,-50.51421243063
struct_111,-50.509395317635
struct_112,-50.510861051909
struct_113,-50.507120119273
struct_114,-50.51202293081
struct_115,-50.517742859994
struct_116,-50.514598855863
struct_117,-50.51317206631
struct_118,-50.511956914991
struct_119,-50.512098591633
struct_120,-50.514331286762
struct_121,-50.512629970902
struct_122,-50.51465002421
struct_123,-50.518377348672
struct_124,-50.514650804965
struct_125,-50.515235556684
struct_126,-50.512296587237
struct_127,-50.516479250069
struct_128,-50.513186692319
struct_129,-50.512130085948
struct_130,-50.512487509984
struct_131,-50.520670395257
struct_132,-50.514343251931
struct_133,-50.515697574434
struct_134,-50.515015829906
struct_135,-50.517304253062
struct_136,-50.513698114591
struct_137,-50.512242561359
struct_138,-50.516416838856
struct_139,-50.516547879344
struct_140,-50.516039472394
struct_141,-50.516071497155
struct_142,-50.514694368559
struct_143,-50.516108382892
struct_144,-50.513897282961
struct_145,-50.515302050947
struct_146,-50.51429134716
struct_147,-50.516834676569
struct_148,-50.514486362114
struct_149,-50.517136219775
struct_150,-50.51778866327
struct_151,-50.512594710794
struct_152,-50.514008760994
struct_153,-50.521241566242
struct_154,-50.515770318892
struct_155,-50.516563121737
struct_156,-50.515803854141
struct_157,-50.515623348345
struct_158,-50.51661204009
struct_159,-50.515163275083
struct_160,-50.516217144353
struct_161,-50.51971107266
struct_162,-50.513634500871
struct_163,-50.519514381399
struct_164,-50.522026530985
struct_165,-50.519281052438
struct_166,-50.513992277911
struct_167,-50.511211916891
struct_168,-50.517103926329
struct_169,-50.518704481762
struct_170,-50.522041342102
struct_171,-50.520233833279
struct_172,-50.518810767047
struct_173,-50.522064889816
struct_174,-50.513681581063
struct_175,-50.51809103704
struct_176,-50.5169389327
struct_177,-50.514383503573
struct_178,-50.517587620364
struct_179,-50.516898502749
struct_180,-50.51947818252
struct_181,-50.518521717822
struct_182,-50.52051130063
struct_183,-50.517087173217
struct_184,-50.518391765895
struct_185,-50.522528753048
struct_186,-50.515626870794
struct_187,-50.518556525928
struct_188,-50.518726263004
struct_189,-50.516247264343
struct_190,-50.516609859616
struct_191,-50.516552588915
struct_192,-50.51815840865
struct_193,-50.521199263458
struct_194,-50.515610615644
struct_195,-50.514259441821
struct_196,-50.515141187967
struct_197,-50.516438801883
struct_198,-50.512766687469
struct_199,-50.522136538896
struct_200,-50.516457551678
struct_201,-50.514767676657
struct_202,-50.516337008267
struct_203,-50.517747343099
struct_204,-50.519107517747
struct_205,-50.518845284214
struct_206,-50.515536521534
struct_207,-50.515765675608
struct_208,-50.519431921499
struct_209,-50.520879440785
struct_210,-50.518941098933
struct_211,-50.516183520563
struct_212,-50.520222307464
struct_213,-50.516425561268
struct_214,-50.519320213832
struct_215,-50.519679939311
struct_216,-50.519125897159
struct_217,-50.513501020049
struct_218,-50.516072164622
struct_219,-50.517824450363
struct_220,-50.516819763201
struct_221,-50.516532912947
struct_222,-50.515786805268
struct_223,-50.515288844318
struct_224,-50.520359275443
struct_225,-50.518496013239
struct_226,-50.51697472746
struct_227,-50.518667680958
struct_228,-50.518171464056
struct_229,-50.518098520791
struct_230,-50.518082792805
struct_231,-50.52159467774
struct_232,-50.519366003317
struct_233,-50.521457042131
struct_234,-50.516791834497
struct_235,-50.518252957603
struct_236,-50.520202298173
struct_237,-50.518907486089
struct_238,-50.519605981904
struct_239,-50.517886862491
struct_240,-50.515209355749
struct_241,-50.522203039873
struct_242,-50.515231354902
struct_243,-50.520106664935
struct_244,-50.517173491355
struct_245,-50.515329048005
struct_246,-50.518408760363
struct_247,-50.519197623295
struct_248,-50.518747279314
struct_249,-50.517210048909
struct_250,-50.518122509601
struct_251,-50.516190475989
struct_252,-50.523143365247
struct_253,-50.513790046136
struct_254,-50.514665691641
struct_255,-50.516508414502
struct_256,-50.521606258518
struct_257,-50.523714790101
struct_258,-50.515080309745
struct_259,-50.519288300227
struct_260,-50.516374489721
struct_261,-50.517558819027
struct_262,-50.515332762432
struct_263,-50.515485209641
struct_264,-50.516050209745
struct_265,-50.520789099472
struct_266,-50.516695854819
struct_267,-50.524739365234
struct_268,-50.51981676304
struct_269,-50.517582078735
struct_270,-50.519560963972
struct_271,-50.517863703523
struct_272,-50.514272254803
struct_273,-50.51989806532
struct_274,-50.520753918196
struct_275,-50.518104989698
struct_276,-50.517721988847
struct_277,-50.518782302837
struct_278,-50.521749146486
struct_279,-50.517469060812
struct_280,-50.521855518047
struct_281,-50.522608195872
struct_282,-50.517474544313
struct_283,-50.519911506908
struct_284,-50.517716652466
struct_285,-50.521467000306
struct_286,-50.51995903059
struct_287,-50.517991486267
struct_288,-50.521442123973
struct_289,-50.521523484805
struct_290,-50.51987678455
struct_291,-50.515062738953
struct_292,-50.520050241171
struct_293,-50.514831484301
struct_294,-50.519686042946
struct_295,-50.515610069335
struct_296,-50.518262047838
struct_297,-50.511884268903
struct_298,-50.517562619149
struct_299,-50.516600704288
struct_300,-50.521890251074
struct_301,-50.520313283875
struct_302,-50.517683474204
struct_303,-50.514590837487
struct_304,-50.517567455518
struct_305,-50.517001516477
struct_306,-50.513995213069
struct_307,-50.518186286691
struct_308,-50.522801625733
struct_309,-50.519193947012
struct_310,-50.519736765458
struct_311,-50.519472286873
struct_312,-50.519232453734
struct_313,-50.517619558705
struct_314,-50.513916253779
struct_315,-50.517509294784
struct_316,-50.517801847837
struct_317,-50.52054343898
struct_318,-50.517660635297
struct_319,-50.517669481145
struct_320,-50.51629850771
struct_321,-50.516739697827
struct_322,-50.519011058597
struct_323,-50.519940555279
struct_324,-50.51941686243
struct_325,-50.516711045168
struct_326,-50.518131802626
struct_327,-50.520392137766
struct_328,-50.51485450375
struct_329,-50.518673199666
struct_330,-50.519726555727
struct_331,-50.522688363097
struct_332,-50.517967978277
struct_333,-50.51625085189
struct_334,-50.518290061225
struct_335,-50.515800666872
struct_336,-50.517549317581
struct_337,-50.518588008303
struct_338,-50.524225427294
struct_339,-50.517825921295
struct_340,-50.517755095631
struct_341,-50.518198895968
struct_342,-50.517127353784
struct_343,-50.517132608311
struct_344,-50.514065659672
struct_345,-50.519053786602
struct_346,-50.517163017095
struct_347,-50.518130658745
struct_348,-50.519916968136
struct_349,-50.516051007645
struct_350,-50.523676661802
struct_351,-50.519331570923
struct_352,-50.513145434326
struct_353,-50.514573446309
struct_354,-50.51990076154
struct_355,-50.518159621115
struct_356,-50.518666650744
struct_357,-50.51608685224
struct_358,-50.51857876065
struct_359,-50.516907632566
struct_360,-50.518147060225
struct_361,-50.523995340388
struct_362,-50.518768003455
struct_363,-50.516149837688
struct_364,-50.517027976532
struct_365,-50.516374741925
struct_366,-50.518365150941
struct_367,-50.516432269772
struct_368,-50.516527693482
struct_369,-50.521527889147
struct_370,-50.523744585088
struct_371,-50.52175786963
struct_372,-50.522592155101
struct_373,-50.51834142377
struct_374,-50.513815725801
struct_375,-50.520495853244
struct_376,-50.516501804937
struct_377,-50.517182133855
struct_378,-50.516813183707
struct_379,-50.518188961265
struct_380,-50.520109515785
struct_381,-50.518008186132
struct_382,-50.520861737115
struct_383,-50.517518182386
struct_384,-50.51346532279
struct_385,-50.517448603844
struct_386,-50.515642373295
struct_387,-50.514436885562
struct_388,-50.513247847648
struct_389,-50.515157045786
struct_390,-50.51733395381
struct_391,-50.51749016951
struct_392,-50.522242332177
struct_393,-50.522734117063
struct_394,-50.51844075319
struct_395,-50.516393560602
struct_396,-50.521899388019
struct_397,-50.520232654312
struct_398,-50.513809535488
struct_399,-50.515691499199
struct_400,-50.517140245347
struct_401,-50.517251754086
struct_402,-50.526636934186
struct_403,-50.52212253866
struct_404,-50.515727307943
struct_405,-50.515673214542
struct_406,-50.517921425914
struct_407,-50.514285708148
struct_408,-50.513391415624
struct_409,-50.517633451275
struct_410,-50.515480147545
struct_411,-50.516476919171
struct_412,-50.520205650555
struct_413,-50.520677849593
struct_414,-50.524925322151
struct_415,-50.51871613733
struct_416,-50.516817568328
struct_417,-50.515258661909
struct_418,-50.518977865086
struct_419,-50.515994800452
struct_420,-50.521265572715
struct_421,-50.519716897401
struct_422,-50.51657121651
struct_423,-50.522223663358
struct_424,-50.518879731093
struct_425,-50.515440233212
struct_426,-50.516991898527
struct_427,-50.519197893652
struct_428,-50.514849259159
struct_429,-50.515354830021
struct_430,-50.518305207854
struct_431,-50.518257750819
struct_432,-50.519197211943
struct_433,-50.519187721407
struct_434,-50.522498280938
struct_435,-50.518637515845
struct_436,-50.515336636563
struct_437,-50.520086330234
struct_438,-50.522022893456
struct_439,-50.523439361582
struct_440,-50.515852185668
struct_441,-50.518647272395
struct_442,-50.520560564615
struct_443,-50.520227896859
struct_444,-50.520122154234
struct_445,-50.517012732757
struct_446,-50.520429948379
struct_447,-50.517660403038
struct_448,-50.517576069893
struct_449,-50.518378428835
struct_450,-50.518192619237
struct_451,-50.515832558027
struct_452,-50.515817525118
struct_453,-50.51831661635
struct_454,-50.515484816037
struct_455,-50.519442947649
struct_456,-50.520543464715
struct_457,-50.520447296752
struct_458,-50.514894806544
struct_459,-50.520302843566
struct_460,-50.520783869947
struct_461,-50.511849114627
struct_462,-50.51810588312
struct_463,-50.52721634348
struct_464,-50.520760865947
struct_465,-50.521599468403
struct_466,-50.520584315147
struct_467,-50.519949936871
struct_468,-50.516748598529
struct_469,-50.517514095133
struct_470,-50.518649818154
struct_471,-50.517355986291
struct_472,-50.517552998259
struct_473,-50.516742330127
struct_474,-50.518338845244
struct_475,-50.515128085933
struct_476,-50.519033636287
struct_477,-50.514706422495
struct_478,-50.518472314044
struct_479,-50.513487808849
struct_480,-50.51419176745
struct_481,-50.518952743006
struct_482,-50.519860010103
struct_483,-50.520482477597
struct_484,-50.517235812916
struct_485,-50.516894338012
struct_486,-50.517563778823
struct_487,-50.52024574476
struct_488,-50.517398921438
struct_489,-50.517106045493
struct_490,-50.519535230742
struct_491,-50.520244868824
struct_492,-50.517713682016
struct_493,-50.518299721648
struct_494,-50.516566274754
struct_495,-50.515298218213
struct_496,-50.517259606047
struct_497,-50.518192816029
struct_498,-50.521066689715
struct_499,-50.519254204858
struct_500,-50.520131436306
struct_501,-50.518758676021
struct_502,-50.517240078373
struct_503,-50.519494943372
struct_504,-50.516748585619
struct_505,-50.518241444873
struct_506,-50.515356721194
struct_507,-50.518131352315
struct_508,-50.519073689812
struct_509,-50.516752779379
struct_510,-50.511438100105
struct_511,-50.513191974598
struct_512,-50.518539317391
struct_513,-50.520745127603
struct_514,-50.516433474322
struct_515,-50.514620657105
struct_516,-50.516793391559
struct_517,-50.516586250686
struct_518,-50.517272612599
struct_519,-50.521068283115
struct_520,-50.52037169009
struct_521,-50.516811727889
struct_522,-50.520849593187
struct_523,-50.521293909949
struct_524,-50.518978602696
struct_525,-50.517389082945
struct_526,-50.517824518012
struct_527,-50.51889415677
struct_528,-50.51615887653
struct_529,-50.51853537702
struct_530,-50.519619125567
struct_531,-50.517209321889
struct_532,-50.514286824904
struct_533,-50.520862380037
struct_534,-50.519355830208
struct_535,-50.515641652058
struct_536,-50.516079459552
struct_537,-50.51706595755
struct_538,-50.518109598396
struct_539,-50.520446056591
struct_540,-50.51962570164
struct_541,-50.51830650118
struct_542,-50.521352618435
struct_543,-50.516694596663
struct_544,-50.515494693348
struct_545,-50.517569785259
struct_546,-50.516747447184
struct_547,-50.518855862597
struct_548,-50.522179662202
struct_549,-50.519340607393
struct_550,-50.517536565363
struct_551,-50.520129170674
struct_552,-50.524222547593
struct_553,-50.522148398319
struct_554,-50.515507387263
struct_555,-50.514397796166
struct_556,-50.521947751617
struct_557,-50.518064783845
struct_558,-50.520116675003
struct_559,-50.519454311642
struct_560,-50.515314444982
struct_561,-50.519438333926
struct_562,-50.520224090571
struct_563,-50.517051196755
