,Energy (kcal/mol)
struct_0,-41.997884679162
struct_1,-42.006161548069
struct_2,-42.007915558508
struct_3,-42.011205485369
struct_4,-42.007645188472
struct_5,-42.017257960273
struct_6,-42.038963175885
struct_7,-42.013454264523
struct_8,-42.021628441316
struct_9,-42.022497315325
struct_10,-42.023690449704
struct_11,-42.020165426688
struct_12,-42.01242367712
struct_13,-42.018409077968
struct_14,-42.013884814356
struct_15,-42.028483627978
struct_16,-42.030277509729
struct_17,-42.020584813556
struct_18,-42.040707609548
struct_19,-42.031848896383
struct_20,-42.019046877944
struct_21,-42.032706348479
struct_22,-42.037518597792
struct_23,-42.030153948692
struct_24,-42.033786539486
struct_25,-42.02583099583
struct_26,-42.0216355911
struct_27,-42.034885810196
struct_28,-42.032606782276
struct_29,-42.035581173669
struct_30,-42.028848806964
struct_31,-42.033115062446
struct_32,-42.036129040051
struct_33,-42.038747535923
struct_34,-42.038389333773
struct_35,-42.035742576804
struct_36,-42.035739037977
struct_37,-42.040721669699
struct_38,-42.042263360255
struct_39,-42.040546678284
struct_40,-42.038727302667
struct_41,-42.042929470184
struct_42,-42.046543270551
struct_43,-42.039949138452
struct_44,-42.036552352344
struct_45,-42.036246872402
struct_46,-42.036261039799
struct_47,-42.044073928902
struct_48,-42.038757093769
struct_49,-42.041017282516
struct_50,-42.041967391982
struct_51,-42.042717272826
struct_52,-42.039085802316
struct_53,-42.0417674623
struct_54,-42.044685125452
struct_55,-42.044565003079
struct_56,-42.043898872147
struct_57,-42.048753076025
struct_58,-42.050176195264
struct_59,-42.044355545259
struct_60,-42.045300013631
struct_61,-42.042931506117
struct_62,-42.047944981864
struct_63,-42.044201989891
struct_64,-42.04604078693
struct_65,-42.04719021268
struct_66,-42.046265822275
struct_67,-42.042666030514
struct_68,-42.048396574929
struct_69,-42.042602979069
struct_70,-42.041862897007
struct_71,-42.04379364673
struct_72,-42.043449382837
struct_73,-42.043002672274
struct_74,-42.046136962146
struct_75,-42.048479547825
struct_76,-42.045404698949
struct_77,-42.042305201212
struct_78,-42.045045281189
struct_79,-42.044386376463
struct_80,-42.049897501582
struct_81,-42.04334399888
struct_82,-42.045949024429
struct_83,-42.044278035583
struct_84,-42.050248094155
struct_85,-42.043860952377
struct_86,-42.048432078543
struct_87,-42.042893723526
struct_88,-42.050597058476
struct_89,-42.046617040667
struct_90,-42.044019895766
struct_91,-42.048744344561
struct_92,-42.048440237054
struct_93,-42.044513950353
struct_94,-42.046387670001
struct_95,-42.046803406801
struct_96,-42.049132816801
struct_97,-42.045026019055
struct_98,-42.049397194771
struct_99,-42.043369569209
struct_100,-42.044954667586
struct_101,-42.047283933462
struct_102,-42.046878424749
struct_103,-42.049750055901
struct_104,-42.050328205065
struct_105,-42.051189174102
struct_106,-42.046207527023
struct_107,-42.051122277695
struct_108,-42.050278793666
struct_109,-42.046229034144
struct_110,-42.04201113139
struct_111,-42.04563554623
struct_112,-42.045673704352
struct_113,-42.048286337955
struct_114,-42.047692479709
struct_115,-42.048662613716
struct_116,-42.049304326984
struct_117,-42.04930430507
struct_118,-42.048929426138
struct_119,-42.047901116786
struct_120,-42.045178213396
struct_121,-42.046866846077
struct_122,-42.047820880469
struct_123,-42.047262995358
struct_124,-42.046920822171
struct_125,-42.051833799959
struct_126,-42.049669307801
struct_127,-42.051045186944
struct_128,-42.053190791433
struct_129,-42.049495699283
struct_130,-42.051986869972
struct_131,-42.046691346776
struct_132,-42.05096340613
struct_133,-42.053017831691
struct_134,-42.048672054237
struct_135,-42.047981889736
struct_136,-42.049507089058
struct_137,-42.046437106026
struct_138,-42.046957770669
struct_139,-42.04883202274
struct_140,-42.052634521443
struct_141,-42.048421713689
struct_142,-42.049029626436
struct_143,-42.053107575897
struct_144,-42.050333345599
struct_145,-42.051077568916
struct_146,-42.043275269781
struct_147,-42.047485079588
struct_148,-42.049437464289
struct_149,-42.045588288311
