,Energy (kcal/mol)
struct_0,-46.155802622744
struct_1,-46.14873800724
struct_2,-46.140284891212
struct_3,-46.146891782199
struct_4,-46.149020252687
struct_5,-46.144610699342
struct_6,-46.14272946643
struct_7,-46.144142433624
struct_8,-46.150874462304
struct_9,-46.145534108281
struct_10,-46.146102565071
struct_11,-46.146853849294
struct_12,-46.152486162948
struct_13,-46.150585478256
struct_14,-46.144161878884
struct_15,-46.143660940687
struct_16,-46.151411591032
struct_17,-46.149708334563
struct_18,-46.148643492973
struct_19,-46.146961519926
struct_20,-46.147204347218
struct_21,-46.150902359959
struct_22,-46.149186738919
struct_23,-46.149511674504
struct_24,-46.150460171833
struct_25,-46.145870922065
struct_26,-46.145306875382
struct_27,-46.152269275855
struct_28,-46.153732142752
struct_29,-46.151559947681
struct_30,-46.146867248103
struct_31,-46.149443932041
struct_32,-46.148751003171
struct_33,-46.148535310967
struct_34,-46.146930870684
struct_35,-46.148539712907
struct_36,-46.151129765253
struct_37,-46.152496443749
struct_38,-46.148859213968
struct_39,-46.147404146921
struct_40,-46.153114487207
struct_41,-46.149086609717
struct_42,-46.148996220801
struct_43,-46.152341561706
struct_44,-46.149999107459
struct_45,-46.146654364052
struct_46,-46.148375011364
struct_47,-46.154786602957
struct_48,-46.153942458373
struct_49,-46.150260607384
struct_50,-46.145086090712
struct_51,-46.148619883339
struct_52,-46.153240244489
struct_53,-46.15668867465
struct_54,-46.152596883326
struct_55,-46.146235524946
struct_56,-46.145389716107
struct_57,-46.151733541877
struct_58,-46.153220937469
struct_59,-46.154013167392
struct_60,-46.150670385557
struct_61,-46.149446664079
struct_62,-46.15501065039
struct_63,-46.152259739705
struct_64,-46.154000503376
struct_65,-46.151679493459
struct_66,-46.148633446064
struct_67,-46.150807932717
struct_68,-46.155842751838
struct_69,-46.155749415935
struct_70,-46.152264672203
struct_71,-46.151334815136
struct_72,-46.149849695333
struct_73,-46.149548226997
struct_74,-46.149362923811
struct_75,-46.155078941858
struct_76,-46.157666256269
struct_77,-46.151032425384
struct_78,-46.151776201615
struct_79,-46.150839147695
struct_80,-46.151099629742
struct_81,-46.150073321544
struct_82,-46.148718257787
struct_83,-46.153574532732
struct_84,-46.157604522719
struct_85,-46.155965805654
struct_86,-46.147068731432
struct_87,-46.149809385047
struct_88,-46.153794040484
struct_89,-46.14881514474
struct_90,-46.14921297683
struct_91,-46.152642376648
struct_92,-46.149578753696
struct_93,-46.152176992732
struct_94,-46.148010653114
struct_95,-46.148228667386
struct_96,-46.156622414064
struct_97,-46.153971549752
struct_98,-46.14733458031
struct_99,-46.148999920561
struct_100,-46.145864049197
struct_101,-46.151193305555
struct_102,-46.148590054263
struct_103,-46.150274739801
struct_104,-46.155397699305
struct_105,-46.155751078775
struct_106,-46.153266282207
struct_107,-46.153506632657
struct_108,-46.149225270345
struct_109,-46.152042447179
struct_110,-46.152264906384
struct_111,-46.154029729361
struct_112,-46.151809634798
struct_113,-46.149906913513
struct_114,-46.151284988214
struct_115,-46.156523798796
struct_116,-46.154105198667
struct_117,-46.153184827009
struct_118,-46.153168490519
struct_119,-46.148595345974
struct_120,-46.151120643467
struct_121,-46.154357759584
struct_122,-46.154950401358
struct_123,-46.157364412802
struct_124,-46.155999112255
struct_125,-46.150374372079
struct_126,-46.15139712908
struct_127,-46.154473156214
struct_128,-46.150851135462
struct_129,-46.152216419205
struct_130,-46.1539954947
struct_131,-46.149665881461
struct_132,-46.152240551664
struct_133,-46.153517163958
struct_134,-46.148980646331
struct_135,-46.151420940435
struct_136,-46.14874392169
struct_137,-46.150186956005
struct_138,-46.150769742327
struct_139,-46.148248174863
struct_140,-46.148196581683
struct_141,-46.146121010557
struct_142,-46.151450576448
struct_143,-46.151731587545
struct_144,-46.149744232338
struct_145,-46.14741294857
struct_146,-46.150266915456
struct_147,-46.147952960372
struct_148,-46.154047256154
struct_149,-46.15399589795
struct_150,-46.148802379252
struct_151,-46.149894130001
struct_152,-46.152548043511
struct_153,-46.147419840095
struct_154,-46.156764139108
struct_155,-46.153198317937
struct_156,-46.146840106867
struct_157,-46.152465951656
struct_158,-46.151536883209
struct_159,-46.152778903447
struct_160,-46.158330761377
struct_161,-46.149945135152
struct_162,-46.150232411856
struct_163,-46.155443863751
struct_164,-46.151069600722
struct_165,-46.152077531115
struct_166,-46.149209409472
struct_167,-46.149341897597
struct_168,-46.154123555431
struct_169,-46.150134764671
struct_170,-46.154033825031
struct_171,-46.156098831821
struct_172,-46.15219300401
struct_173,-46.152716837293
struct_174,-46.154819887495
struct_175,-46.149581476501
struct_176,-46.156387080192
struct_177,-46.15200613008
struct_178,-46.149167873195
struct_179,-46.155351769746
struct_180,-46.149717591648
struct_181,-46.149759562708
struct_182,-46.153529867062
struct_183,-46.153845040883
struct_184,-46.150494441884
struct_185,-46.155325494746
struct_186,-46.151597309688
struct_187,-46.15311506787
struct_188,-46.152682526709
struct_189,-46.152554458399
struct_190,-46.151830727288
struct_191,-46.1563969052
struct_192,-46.152419745779
struct_193,-46.151100987144
struct_194,-46.149729596756
struct_195,-46.156038359899
struct_196,-46.155319329334
struct_197,-46.152284798896
struct_198,-46.155597524718
struct_199,-46.147266534791
struct_200,-46.153035848819
struct_201,-46.153774036439
struct_202,-46.151735053789
struct_203,-46.153157536205
struct_204,-46.152563223447
struct_205,-46.150642219091
struct_206,-46.151125075341
struct_207,-46.151725950258
struct_208,-46.154031846095
struct_209,-46.152969412534
struct_210,-46.152018273939
struct_211,-46.152459856465
struct_212,-46.148890260226
struct_213,-46.154748664583
struct_214,-46.15139478223
struct_215,-46.152652090368
struct_216,-46.150294859865
struct_217,-46.150537373972
struct_218,-46.152580476682
struct_219,-46.150681236705
struct_220,-46.147160388069
struct_221,-46.149382055381
struct_222,-46.154047388824
struct_223,-46.151201817442
struct_224,-46.154252465418
struct_225,-46.150566982408
struct_226,-46.149249541073
struct_227,-46.147085483577
struct_228,-46.152349435169
struct_229,-46.150122230897
struct_230,-46.150675976567
struct_231,-46.154008403241
struct_232,-46.156439232409
struct_233,-46.147948927009
struct_234,-46.14905544737
struct_235,-46.149937596807
struct_236,-46.153867900172
struct_237,-46.156090734592
struct_238,-46.14825970313
struct_239,-46.146227672231
struct_240,-46.150473190155
struct_241,-46.153000929594
struct_242,-46.154783012879
struct_243,-46.152335973472
struct_244,-46.15252186464
