,Energy (kcal/mol)
struct_0,-47.968986424723
struct_1,-47.957078169989
struct_2,-47.957099671018
struct_3,-47.959206547077
struct_4,-47.952183152821
struct_5,-47.959942822397
struct_6,-47.962096941209
struct_7,-47.961048874985
struct_8,-47.95218615568
struct_9,-47.954640916488
struct_10,-47.95870570009
struct_11,-47.954469409315
struct_12,-47.956580047721
struct_13,-47.95238675414
struct_14,-47.956692892307
struct_15,-47.955712779713
struct_16,-47.953451685046
struct_17,-47.952311338921
struct_18,-47.951548216414
struct_19,-47.955883814753
struct_20,-47.954773106773
struct_21,-47.952458672603
struct_22,-47.950325206625
struct_23,-47.955525646569
struct_24,-47.950951486488
struct_25,-47.952518391591
struct_26,-47.953135827614
struct_27,-47.956075417821
struct_28,-47.956390788211
struct_29,-47.950914969421
struct_30,-47.950571005984
struct_31,-47.952134711314
struct_32,-47.949132125336
struct_33,-47.950175266082
struct_34,-47.956658503589
struct_35,-47.948281741952
struct_36,-47.950363760565
struct_37,-47.955478111788
struct_38,-47.956273018447
struct_39,-47.958721170509
struct_40,-47.953063946391
struct_41,-47.945658850935
struct_42,-47.947199467416
struct_43,-47.951102108559
struct_44,-47.953747244321
struct_45,-47.954007307265
struct_46,-47.958029833478
struct_47,-47.951854761788
struct_48,-47.948850088353
struct_49,-47.94271592224
struct_50,-47.950739030481
struct_51,-47.951218856832
struct_52,-47.956841077685
struct_53,-47.948151032178
struct_54,-47.952656275018
struct_55,-47.953085764868
struct_56,-47.952493470281
struct_57,-47.955550676481
struct_58,-47.955060571005
struct_59,-47.952497033052
struct_60,-47.952573487259
struct_61,-47.949420839129
struct_62,-47.94279644505
struct_63,-47.950212646664
struct_64,-47.957321185522
struct_65,-47.953158578642
struct_66,-47.948609821363
struct_67,-47.949292991298
struct_68,-47.946516559524
struct_69,-47.956015662954
struct_70,-47.950996005052
struct_71,-47.944633333257
struct_72,-47.947907312898
struct_73,-47.950711249518
struct_74,-47.953490664251
struct_75,-47.944733342815
struct_76,-47.949541278581
struct_77,-47.952580543966
struct_78,-47.953350248754
struct_79,-47.9522220949
struct_80,-47.954965848632
struct_81,-47.955775145731
struct_82,-47.94915278908
struct_83,-47.951674738561
struct_84,-47.948194510721
struct_85,-47.955021229425
struct_86,-47.945779807869
struct_87,-47.949541680809
struct_88,-47.953509838245
struct_89,-47.951134483713
struct_90,-47.953929239364
struct_91,-47.950246316973
struct_92,-47.950711128045
struct_93,-47.953142848283
struct_94,-47.950725535906
struct_95,-47.948081219129
struct_96,-47.950650054329
struct_97,-47.952780737157
struct_98,-47.945690021166
struct_99,-47.945815387159
struct_100,-47.952012197227
struct_101,-47.949330191293
struct_102,-47.945381395017
struct_103,-47.951775443941
struct_104,-47.956434554399
struct_105,-47.957248622247
struct_106,-47.9494739746
struct_107,-47.94651751877
struct_108,-47.95091426768
struct_109,-47.950696574341
struct_110,-47.950424210694
struct_111,-47.955137172043
struct_112,-47.94778420402
struct_113,-47.948635259597
struct_114,-47.951066651667
struct_115,-47.949541746124
struct_116,-47.954242388638
struct_117,-47.958809305495
struct_118,-47.947840448882
struct_119,-47.950199636603
struct_120,-47.946010225549
struct_121,-47.948947342861
struct_122,-47.947418675908
struct_123,-47.951398107052
struct_124,-47.947601035293
struct_125,-47.950444886971
struct_126,-47.948494966274
struct_127,-47.950791980202
struct_128,-47.94179319721
struct_129,-47.95224718575
struct_130,-47.944524968177
struct_131,-47.94833377718
struct_132,-47.951695975359
struct_133,-47.95101328569
struct_134,-47.948126243972
struct_135,-47.94611654037
struct_136,-47.951081769378
struct_137,-47.944455401618
struct_138,-47.957084808639
struct_139,-47.947470789915
struct_140,-47.959201645256
struct_141,-47.947144481745
struct_142,-47.957288422998
struct_143,-47.948406593887
struct_144,-47.95144296668
struct_145,-47.951898959351
struct_146,-47.949018782708
struct_147,-47.949649318265
struct_148,-47.951226583211
struct_149,-47.955794253699
struct_150,-47.951898929493
struct_151,-47.954113123649
struct_152,-47.946897900837
struct_153,-47.950897184272
struct_154,-47.956179682181
struct_155,-47.955911034425
struct_156,-47.953427899877
struct_157,-47.955599272936
struct_158,-47.95494852655
struct_159,-47.95351931978
struct_160,-47.947017703505
struct_161,-47.954661438961
struct_162,-47.950843344814
struct_163,-47.94703823513
struct_164,-47.948641660425
struct_165,-47.952814167724
struct_166,-47.952664601683
struct_167,-47.952104818512
struct_168,-47.950309132529
struct_169,-47.950443954901
struct_170,-47.944755666381
struct_171,-47.95460580236
struct_172,-47.948751457568
struct_173,-47.957410652605
struct_174,-47.947645578396
struct_175,-47.954627576179
struct_176,-47.952225755686
struct_177,-47.95736386855
struct_178,-47.955529675656
struct_179,-47.945807766259
struct_180,-47.953369122544
struct_181,-47.949576209697
struct_182,-47.956012799731
struct_183,-47.958131164494
struct_184,-47.950193841194
struct_185,-47.959358764587
struct_186,-47.950121059772
struct_187,-47.951639353554
struct_188,-47.950570393845
struct_189,-47.950072261017
struct_190,-47.947977869996
struct_191,-47.954847458436
struct_192,-47.960325750137
struct_193,-47.948634394795
struct_194,-47.954937554475
struct_195,-47.955902913087
struct_196,-47.948001682914
struct_197,-47.954315721999
struct_198,-47.955097947438
struct_199,-47.947474424752
struct_200,-47.951821341329
struct_201,-47.953180723747
struct_202,-47.960604222965
struct_203,-47.950698450112
struct_204,-47.957128267654
struct_205,-47.952178932098
struct_206,-47.952320131351
struct_207,-47.954540015272
struct_208,-47.945125551165
struct_209,-47.955979816652
struct_210,-47.95101161808
struct_211,-47.957585772198
struct_212,-47.957427210468
struct_213,-47.954688405206
struct_214,-47.955686671232
struct_215,-47.947102736568
struct_216,-47.951474054171
struct_217,-47.954866308732
struct_218,-47.958913730708
struct_219,-47.957520162194
struct_220,-47.953094898324
struct_221,-47.952615862678
struct_222,-47.948562773018
struct_223,-47.95541624073
struct_224,-47.956800540614
struct_225,-47.951506206553
struct_226,-47.949437949784
struct_227,-47.9462815894
struct_228,-47.94921305957
struct_229,-47.951208442232
struct_230,-47.958347071478
struct_231,-47.954500297386
struct_232,-47.950825588636
struct_233,-47.953625922393
struct_234,-47.95218513238
struct_235,-47.953904399386
struct_236,-47.949608823256
struct_237,-47.954465109621
struct_238,-47.953559521267
struct_239,-47.950934684469
struct_240,-47.957717570697
struct_241,-47.953619221878
struct_242,-47.95287717238
struct_243,-47.954115560337
struct_244,-47.953736408452
struct_245,-47.950818022317
struct_246,-47.951740461654
struct_247,-47.951253603787
struct_248,-47.954757695407
struct_249,-47.950908452622
struct_250,-47.95275471176
struct_251,-47.95155495955
struct_252,-47.952609565612
struct_253,-47.957640245974
struct_254,-47.950135593956
struct_255,-47.951985758359
struct_256,-47.950828424566
struct_257,-47.947382057099
struct_258,-47.949969496673
struct_259,-47.948645354239
struct_260,-47.949667101985
struct_261,-47.94990153097
struct_262,-47.950228494769
struct_263,-47.951534765773
struct_264,-47.951474302826
struct_265,-47.950889031943
struct_266,-47.951566464667
struct_267,-47.953427452731
struct_268,-47.954229945805
struct_269,-47.952713304673
struct_270,-47.948322611646
struct_271,-47.940790207129
struct_272,-47.948756327614
struct_273,-47.951807579266
struct_274,-47.955978972945
struct_275,-47.956060508489
struct_276,-47.951481112067
struct_277,-47.948065414222
struct_278,-47.950360552862
struct_279,-47.950508842171
struct_280,-47.949183791525
struct_281,-47.953225729438
struct_282,-47.948661844584
struct_283,-47.952019730332
struct_284,-47.957873740758
struct_285,-47.95096179629
struct_286,-47.952057718344
struct_287,-47.948346157549
struct_288,-47.945912611084
struct_289,-47.953649998439
struct_290,-47.959280245627
struct_291,-47.954459479068
struct_292,-47.951741247334
struct_293,-47.951009003879
struct_294,-47.946790791487
struct_295,-47.947261647155
struct_296,-47.951035535479
struct_297,-47.949108735359
struct_298,-47.949611443974
struct_299,-47.951224553961
struct_300,-47.954599185139
struct_301,-47.951771072704
struct_302,-47.955955356633
struct_303,-47.956698906056
struct_304,-47.951211725007
struct_305,-47.960623102177
struct_306,-47.953538502603
struct_307,-47.947326829271
struct_308,-47.950089272994
struct_309,-47.946310607141
struct_310,-47.95006361352
struct_311,-47.949251254771
struct_312,-47.947241757036
struct_313,-47.950058914869
struct_314,-47.948912790079
struct_315,-47.951929177809
struct_316,-47.954393792464
struct_317,-47.946010855607
struct_318,-47.950874530366
struct_319,-47.950550058292
struct_320,-47.950825362646
struct_321,-47.955186962438
struct_322,-47.956985483469
struct_323,-47.955074617212
struct_324,-47.952567146101
struct_325,-47.951649483514
struct_326,-47.939110420605
struct_327,-47.943439385316
struct_328,-47.946260445067
struct_329,-47.946433089963
struct_330,-47.950829222868
struct_331,-47.953325723526
struct_332,-47.957510501748
struct_333,-47.95216729268
struct_334,-47.95649777275
struct_335,-47.949538952423
struct_336,-47.95021283529
struct_337,-47.952719218224
struct_338,-47.947825053339
struct_339,-47.947473877481
struct_340,-47.952950726634
struct_341,-47.955165914657
struct_342,-47.949601005228
struct_343,-47.946738702564
struct_344,-47.948100441663
struct_345,-47.954436984683
struct_346,-47.954307798329
struct_347,-47.952117772337
struct_348,-47.954318287119
struct_349,-47.955118996258
struct_350,-47.952455436932
struct_351,-47.9515663386
struct_352,-47.951926124517
struct_353,-47.949071653627
struct_354,-47.949265530463
struct_355,-47.952201126194
struct_356,-47.95171784071
struct_357,-47.953350838468
struct_358,-47.949440492853
struct_359,-47.953098147464
struct_360,-47.952116482466
struct_361,-47.943585060227
struct_362,-47.946187688103
struct_363,-47.949404420712
struct_364,-47.946568588821
struct_365,-47.954029269207
struct_366,-47.956382470036
struct_367,-47.958549069164
struct_368,-47.949057010773
struct_369,-47.948821962371
struct_370,-47.947808517518
struct_371,-47.947149428133
struct_372,-47.947173870735
struct_373,-47.952227366155
struct_374,-47.951572894777
struct_375,-47.953094237754
struct_376,-47.961569373879
struct_377,-47.955514407582
struct_378,-47.958117536765
struct_379,-47.947152071506
struct_380,-47.950056108926
struct_381,-47.956878845629
struct_382,-47.950956177474
struct_383,-47.950113686788
struct_384,-47.94998398505
struct_385,-47.957366462718
struct_386,-47.956437345516
struct_387,-47.950599046909
struct_388,-47.95331972379
struct_389,-47.953280597555
struct_390,-47.955465756968
struct_391,-47.950462596699
struct_392,-47.950013178296
struct_393,-47.945563653917
struct_394,-47.954502937734
struct_395,-47.953763333986
struct_396,-47.954556680546
struct_397,-47.950421831882
struct_398,-47.951670323133
struct_399,-47.949323926636
struct_400,-47.952051959534
struct_401,-47.950914091431
struct_402,-47.953674657825
struct_403,-47.951526982184
struct_404,-47.945296385497
struct_405,-47.950845864732
struct_406,-47.949200808391
struct_407,-47.945506152477
struct_408,-47.952076065678
struct_409,-47.956444350673
struct_410,-47.951503535383
struct_411,-47.95348837623
struct_412,-47.953301565884
struct_413,-47.955082727643
struct_414,-47.951060488162
struct_415,-47.953743459081
struct_416,-47.949054940386
struct_417,-47.959332493953
struct_418,-47.953851592663
struct_419,-47.953679851797
struct_420,-47.950043885871
struct_421,-47.951839209888
struct_422,-47.951029656514
struct_423,-47.94414497843
struct_424,-47.952840204456
struct_425,-47.956357195615
struct_426,-47.953935460453
struct_427,-47.951902033608
struct_428,-47.956592650883
struct_429,-47.945854425327
struct_430,-47.949076699324
struct_431,-47.94999549595
struct_432,-47.95513204685
struct_433,-47.95036789226
struct_434,-47.953691732732
struct_435,-47.954661091398
struct_436,-47.955126309772
struct_437,-47.956872440769
struct_438,-47.953001795559
struct_439,-47.956638577295
struct_440,-47.952496912287
struct_441,-47.949647260903
struct_442,-47.954991265912
struct_443,-47.947071379086
struct_444,-47.952470808058
struct_445,-47.951720603704
struct_446,-47.948753543676
struct_447,-47.956564892438
struct_448,-47.952983412415
struct_449,-47.95382987474
struct_450,-47.946350867218
struct_451,-47.952776458704
struct_452,-47.950279400584
struct_453,-47.955019786546
struct_454,-47.952569894822
struct_455,-47.952423822953
struct_456,-47.952773971854
struct_457,-47.947712110558
struct_458,-47.950817570955
struct_459,-47.949950746532
struct_460,-47.94187342259
struct_461,-47.951882961499
struct_462,-47.954496699619
struct_463,-47.958755117648
struct_464,-47.954054345648
struct_465,-47.951254948027
struct_466,-47.947881929074
struct_467,-47.951343810509
struct_468,-47.95058168564
struct_469,-47.96153720322
struct_470,-47.953325862187
struct_471,-47.945201590674
struct_472,-47.947194922224
struct_473,-47.954045294352
struct_474,-47.96008164626
struct_475,-47.955076891828
struct_476,-47.952932968721
struct_477,-47.953467256009
struct_478,-47.951751913205
struct_479,-47.951527338812
struct_480,-47.954873446778
struct_481,-47.952577558052
struct_482,-47.951502751643
struct_483,-47.948234690837
struct_484,-47.952595590333
struct_485,-47.954068513709
struct_486,-47.951663824387
struct_487,-47.955110451358
struct_488,-47.950650039818
struct_489,-47.952729925994
struct_490,-47.952969435839
struct_491,-47.947860613923
struct_492,-47.955456823316
struct_493,-47.946051310328
struct_494,-47.949998605588
struct_495,-47.952959711921
struct_496,-47.958022997299
struct_497,-47.945755507464
struct_498,-47.950754326467
struct_499,-47.955183134957
struct_500,-47.954416392508
struct_501,-47.953795602124
struct_502,-47.946636993072
struct_503,-47.952167832083
struct_504,-47.950032313137
struct_505,-47.945697229982
struct_506,-47.949525207893
struct_507,-47.952943949395
struct_508,-47.957212481076
struct_509,-47.955325667544
struct_510,-47.952589675279
struct_511,-47.95796533626
struct_512,-47.953825166351
struct_513,-47.951545342798
struct_514,-47.949878739101
struct_515,-47.952526083585
struct_516,-47.951255496696
struct_517,-47.94800211713
struct_518,-47.957298834062
struct_519,-47.956879702509
struct_520,-47.948156669094
struct_521,-47.956259631799
struct_522,-47.950341943286
struct_523,-47.953790152635
struct_524,-47.950272683779
struct_525,-47.956958878442
struct_526,-47.946831690519
struct_527,-47.958401130822
struct_528,-47.951186069731
struct_529,-47.948333502394
struct_530,-47.949008680484
struct_531,-47.953834039282
struct_532,-47.950749436902
struct_533,-47.951626467285
struct_534,-47.95531019573
struct_535,-47.950979090473
struct_536,-47.950812555181
struct_537,-47.952124973009
struct_538,-47.953485538201
struct_539,-47.945937667558
struct_540,-47.951275263276
struct_541,-47.952851606153
struct_542,-47.94812354646
struct_543,-47.94403714489
struct_544,-47.952676171328
struct_545,-47.95882377556
struct_546,-47.955414947274
struct_547,-47.954171954313
struct_548,-47.951530872187
struct_549,-47.949210098539
struct_550,-47.950489201702
struct_551,-47.950042888144
struct_552,-47.9484614031
struct_553,-47.94837537925
struct_554,-47.955562761457
struct_555,-47.952975436519
struct_556,-47.948910961135
struct_557,-47.952838566747
struct_558,-47.955793335014
struct_559,-47.946536486036
struct_560,-47.945918467141
struct_561,-47.953439699981
struct_562,-47.959617705669
struct_563,-47.948849450535
struct_564,-47.953141033411
struct_565,-47.955905709436
struct_566,-47.955662124908
struct_567,-47.94922682886
struct_568,-47.952538557831
struct_569,-47.955534339234
struct_570,-47.952595231171
struct_571,-47.954914007787
struct_572,-47.950358787615
struct_573,-47.954847070113
struct_574,-47.947504101306
struct_575,-47.951948083071
struct_576,-47.957483215802
struct_577,-47.953825540963
struct_578,-47.953367228019
struct_579,-47.950054677325
struct_580,-47.952472970199
struct_581,-47.947901293786
struct_582,-47.954117283714
struct_583,-47.953259159468
struct_584,-47.947092978727
struct_585,-47.951322155487
struct_586,-47.951454768024
struct_587,-47.953252694534
struct_588,-47.957387847506
struct_589,-47.957051040164
struct_590,-47.954021468705
struct_591,-47.947235740991
struct_592,-47.945101123244
struct_593,-47.94797520288
struct_594,-47.951268705684
struct_595,-47.947373635453
struct_596,-47.950004343553
struct_597,-47.948922525912
struct_598,-47.95650088987
struct_599,-47.955137121898
struct_600,-47.957884046448
struct_601,-47.954479141559
struct_602,-47.958099203619
struct_603,-47.951293687858
struct_604,-47.944342227073
struct_605,-47.948904828475
struct_606,-47.952471394707
struct_607,-47.959266074231
struct_608,-47.955035927674
struct_609,-47.955622937429
struct_610,-47.954551796648
struct_611,-47.948229668842
struct_612,-47.95105196812
struct_613,-47.953744912764
struct_614,-47.953817194449
struct_615,-47.946532358914
struct_616,-47.952138114026
struct_617,-47.950735625944
struct_618,-47.950778903989
struct_619,-47.953317659194
struct_620,-47.954652640451
struct_621,-47.956682265665
struct_622,-47.948649733222
struct_623,-47.951842064642
struct_624,-47.94703529707
struct_625,-47.950581301553
struct_626,-47.956029755327
struct_627,-47.95832803601
struct_628,-47.952135106691
struct_629,-47.953930025779
struct_630,-47.955645116678
struct_631,-47.952996237184
struct_632,-47.951652750057
struct_633,-47.954123139754
struct_634,-47.955427665364
struct_635,-47.948852341307
struct_636,-47.950236702264
struct_637,-47.953980276287
struct_638,-47.955844207186
struct_639,-47.955412230793
struct_640,-47.950869525124
struct_641,-47.954791295576
struct_642,-47.96057707479
struct_643,-47.954502798245
struct_644,-47.956731982353
struct_645,-47.95580457567
struct_646,-47.953244048304
struct_647,-47.953236250075
struct_648,-47.95350569663
struct_649,-47.95554626644
struct_650,-47.959079702265
struct_651,-47.948311274812
struct_652,-47.956437614013
struct_653,-47.957676831921
struct_654,-47.95097039767
struct_655,-47.943992447097
struct_656,-47.958053124441
struct_657,-47.957974173464
struct_658,-47.951453834784
struct_659,-47.95329973714
struct_660,-47.960461740164
struct_661,-47.951127032806
struct_662,-47.946440244156
struct_663,-47.954297558068
struct_664,-47.959416592417
struct_665,-47.954623622587
struct_666,-47.95007932314
struct_667,-47.954936395865
struct_668,-47.951065849348
struct_669,-47.949126357154
struct_670,-47.954567290749
struct_671,-47.955253008123
struct_672,-47.952302847091
struct_673,-47.947615377175
struct_674,-47.953778264668
struct_675,-47.957008237339
struct_676,-47.950569135537
struct_677,-47.953274060734
struct_678,-47.952332256665
struct_679,-47.955062580762
struct_680,-47.953397727972
struct_681,-47.956647767255
struct_682,-47.95813225814
struct_683,-47.956546142452
struct_684,-47.955883690339
