,Energy (kcal/mol)
struct_0,-49.499318266307
struct_1,-49.526059790009
struct_2,-49.530484322124
struct_3,-49.529113654958
struct_4,-49.554429666522
struct_5,-49.510036236984
struct_6,-49.551155069985
struct_7,-49.521694242996
struct_8,-49.530433891596
struct_9,-49.525215226814
struct_10,-49.528901078605
struct_11,-49.550071704191
struct_12,-49.53038019368
struct_13,-49.547182021994
struct_14,-49.551414753512
struct_15,-49.537167810046
struct_16,-49.545818498367
struct_17,-49.563682286111
struct_18,-49.537960428866
struct_19,-49.556999863436
struct_20,-49.54226059539
struct_21,-49.553709979556
struct_22,-49.548520497435
struct_23,-49.551836592296
struct_24,-49.556626304466
struct_25,-49.559380589061
struct_26,-49.551780846151
struct_27,-49.556610843985
struct_28,-49.558796098911
struct_29,-49.558967737223
struct_30,-49.558689468393
struct_31,-49.549763819595
struct_32,-49.572097518771
struct_33,-49.558522727896
struct_34,-49.572626939746
struct_35,-49.555847573106
struct_36,-49.562739384036
struct_37,-49.557119857954
struct_38,-49.560009163477
struct_39,-49.563397961986
struct_40,-49.561777639444
struct_41,-49.565414974386
struct_42,-49.55359939936
struct_43,-49.558219564929
struct_44,-49.562684453982
struct_45,-49.562098899339
struct_46,-49.564696999224
struct_47,-49.562975715825
struct_48,-49.56200953531
struct_49,-49.564671415295
struct_50,-49.572405993058
struct_51,-49.564759274836
struct_52,-49.562592970483
struct_53,-49.558850464987
struct_54,-49.568253307311
struct_55,-49.566324364727
struct_56,-49.573439366231
struct_57,-49.560246069632
struct_58,-49.564486898211
struct_59,-49.568265581419
struct_60,-49.559867872787
struct_61,-49.560619130996
struct_62,-49.559864651327
struct_63,-49.571868988899
struct_64,-49.5582373721
struct_65,-49.569650976176
struct_66,-49.564268808822
struct_67,-49.572040865651
struct_68,-49.565961366839
struct_69,-49.558733357224
struct_70,-49.569288724754
struct_71,-49.563012932536
struct_72,-49.569661137345
struct_73,-49.566479854657
struct_74,-49.568455555936
struct_75,-49.571327086188
struct_76,-49.565343524339
struct_77,-49.565099083293
struct_78,-49.569623036256
struct_79,-49.571676508714
struct_80,-49.573473827833
struct_81,-49.571429097935
struct_82,-49.574849196551
struct_83,-49.57028074046
struct_84,-49.573327285759
struct_85,-49.568020231526
struct_86,-49.573927692503
struct_87,-49.567488719339
struct_88,-49.573204941484
struct_89,-49.571465841764
struct_90,-49.567913553559
struct_91,-49.56391073754
struct_92,-49.566824106655
struct_93,-49.572754203174
struct_94,-49.570783306723
struct_95,-49.565135734552
struct_96,-49.568358856559
struct_97,-49.569496507314
struct_98,-49.575953393822
struct_99,-49.572807458524
struct_100,-49.563905992952
struct_101,-49.574821673467
struct_102,-49.573512064964
struct_103,-49.560024441201
struct_104,-49.567815182825
struct_105,-49.575575851712
struct_106,-49.571538935601
struct_107,-49.576011363481
struct_108,-49.560664766293
struct_109,-49.571406176621
struct_110,-49.574111597025
struct_111,-49.571608175254
struct_112,-49.571509970235
struct_113,-49.571373818115
struct_114,-49.571830344078
struct_115,-49.572358496526
struct_116,-49.563804209847
struct_117,-49.563413172339
struct_118,-49.571675798276
struct_119,-49.56805228329
struct_120,-49.574187588164
struct_121,-49.564178633577
struct_122,-49.576004003795
struct_123,-49.571437735565
struct_124,-49.567711638533
struct_125,-49.570835485164
struct_126,-49.56452529838
struct_127,-49.570457186729
struct_128,-49.566473257986
struct_129,-49.569569350684
struct_130,-49.574173670159
struct_131,-49.570875042771
struct_132,-49.569433591498
struct_133,-49.568660463749
struct_134,-49.568765866667
struct_135,-49.574256387095
struct_136,-49.561955378628
struct_137,-49.576314295473
struct_138,-49.568645684068
struct_139,-49.563590912323
struct_140,-49.575993889323
struct_141,-49.573458733814
struct_142,-49.573124490968
struct_143,-49.571794980991
struct_144,-49.571100748191
struct_145,-49.570005158622
struct_146,-49.579525437333
struct_147,-49.566804372925
struct_148,-49.566550193845
struct_149,-49.574060678989
struct_150,-49.57278280595
struct_151,-49.561419329082
struct_152,-49.580366667848
struct_153,-49.570659978565
struct_154,-49.568911057093
struct_155,-49.568303629523
struct_156,-49.570641839657
struct_157,-49.568720443081
struct_158,-49.574386714958
struct_159,-49.576496554537
struct_160,-49.577330737586
struct_161,-49.576641240176
struct_162,-49.578405976543
struct_163,-49.569818351609
struct_164,-49.582562662603
struct_165,-49.581308989898
struct_166,-49.572673041695
struct_167,-49.575087000755
struct_168,-49.579895696397
struct_169,-49.572542544162
struct_170,-49.569500080978
struct_171,-49.579770888592
struct_172,-49.578237105044
struct_173,-49.579124078402
struct_174,-49.58242653174
struct_175,-49.570523006426
struct_176,-49.583172945852
struct_177,-49.580238000316
struct_178,-49.572997129953
struct_179,-49.575212663259
struct_180,-49.570154768078
struct_181,-49.578674991735
struct_182,-49.575763443114
struct_183,-49.575333889052
struct_184,-49.585358392085
struct_185,-49.571261233768
struct_186,-49.583058225269
struct_187,-49.581470398091
struct_188,-49.583053617577
struct_189,-49.573471546197
struct_190,-49.581428733433
struct_191,-49.581146457179
struct_192,-49.584169339659
struct_193,-49.574462793607
struct_194,-49.579595872784
struct_195,-49.573039953761
struct_196,-49.578404520019
struct_197,-49.577504147595
struct_198,-49.580447956052
struct_199,-49.57583341135
struct_200,-49.577018139916
struct_201,-49.579547737858
struct_202,-49.587474689075
struct_203,-49.576917951474
struct_204,-49.578997447087
struct_205,-49.577572070882
struct_206,-49.582087035587
struct_207,-49.583036384132
struct_208,-49.58396185082
struct_209,-49.582493417097
struct_210,-49.573112109216
struct_211,-49.579412826353
struct_212,-49.574759624982
struct_213,-49.582737210247
struct_214,-49.574875100371
struct_215,-49.574770554476
struct_216,-49.574574228367
struct_217,-49.579306696766
struct_218,-49.575401905574
struct_219,-49.586519483771
struct_220,-49.581792015034
struct_221,-49.58030960593
struct_222,-49.574553183447
struct_223,-49.579878479693
struct_224,-49.586433295211
struct_225,-49.579188063431
struct_226,-49.579434330255
struct_227,-49.581582019003
struct_228,-49.580979023925
struct_229,-49.576575224815
struct_230,-49.579694625252
struct_231,-49.569277159172
struct_232,-49.581797427987
struct_233,-49.577234123419
struct_234,-49.570348309741
struct_235,-49.576688953556
struct_236,-49.579882463918
struct_237,-49.578272204691
struct_238,-49.579033670979
struct_239,-49.579298801504
struct_240,-49.58683121018
struct_241,-49.586431290822
struct_242,-49.581130200508
struct_243,-49.572876281683
struct_244,-49.579470096413
struct_245,-49.576003926214
struct_246,-49.577285483671
struct_247,-49.583623056344
struct_248,-49.586264159005
struct_249,-49.575357881916
struct_250,-49.582220771645
struct_251,-49.575722436626
struct_252,-49.580900595055
struct_253,-49.572994850313
struct_254,-49.577251862993
struct_255,-49.575108527699
struct_256,-49.578291267045
struct_257,-49.577740831472
struct_258,-49.580475020574
struct_259,-49.579238642125
struct_260,-49.581465032842
struct_261,-49.582325704983
struct_262,-49.578083397365
struct_263,-49.579263107105
struct_264,-49.575610692637
struct_265,-49.578947963313
struct_266,-49.584470461687
struct_267,-49.579508082882
struct_268,-49.578829440305
struct_269,-49.586829011294
struct_270,-49.572237294791
struct_271,-49.583341560658
struct_272,-49.574777249785
struct_273,-49.576455630036
struct_274,-49.572936971971
struct_275,-49.575577205539
struct_276,-49.579340308442
struct_277,-49.573115563333
struct_278,-49.571127330306
struct_279,-49.58203058566
struct_280,-49.585399927441
struct_281,-49.581856113011
struct_282,-49.577201123574
struct_283,-49.578073612534
struct_284,-49.573579856571
struct_285,-49.580949235514
struct_286,-49.57748905726
struct_287,-49.578214955065
struct_288,-49.579562300909
struct_289,-49.583934298505
struct_290,-49.581849424569
struct_291,-49.579752135576
struct_292,-49.573932667237
struct_293,-49.579009889745
struct_294,-49.579182507566
struct_295,-49.57856485328
struct_296,-49.57752179821
struct_297,-49.576777602062
struct_298,-49.579704179186
struct_299,-49.576808548881
struct_300,-49.582997566197
struct_301,-49.582140016432
struct_302,-49.57774866028
struct_303,-49.578594177838
struct_304,-49.580568696466
struct_305,-49.586090132587
struct_306,-49.584466009085
struct_307,-49.572252244791
struct_308,-49.575676756797
struct_309,-49.583025738792
struct_310,-49.583926206574
struct_311,-49.58128864085
struct_312,-49.574073289293
struct_313,-49.576914964997
struct_314,-49.570192308947
struct_315,-49.583498982776
struct_316,-49.576644687944
struct_317,-49.583166838559
struct_318,-49.583019252108
struct_319,-49.57503070807
struct_320,-49.579037450636
struct_321,-49.578677369341
struct_322,-49.585480900816
struct_323,-49.581200130478
struct_324,-49.575982838163
struct_325,-49.57960412028
struct_326,-49.577250011274
struct_327,-49.578481985475
struct_328,-49.578973012326
struct_329,-49.577508076853
struct_330,-49.576189327369
struct_331,-49.578271812439
struct_332,-49.579959256903
struct_333,-49.577758722873
struct_334,-49.586929613834
struct_335,-49.577463492859
struct_336,-49.582721715633
struct_337,-49.583410985514
struct_338,-49.581080413941
struct_339,-49.580981316362
struct_340,-49.58154127562
struct_341,-49.575117826697
struct_342,-49.578422923502
struct_343,-49.576237698528
struct_344,-49.580415838289
struct_345,-49.572365945344
struct_346,-49.578357636221
struct_347,-49.58597277964
struct_348,-49.57610894244
struct_349,-49.578283783364
struct_350,-49.582025644556
struct_351,-49.582738596914
struct_352,-49.576040044411
struct_353,-49.581409338452
struct_354,-49.583464937045
struct_355,-49.578322544335
struct_356,-49.577997102418
struct_357,-49.58575929976
struct_358,-49.574571275146
struct_359,-49.582846831528
struct_360,-49.582953511102
struct_361,-49.57726966896
struct_362,-49.579540726432
struct_363,-49.576390488234
struct_364,-49.581374867344
